Genes	N.Sequences	N.Proteotypic.Sequences	a2	a3	a6	a7	a4	a8	a9	a10	b2	b3	b4	b7	b8	b11	b12	b13	b1	b6	b5	b10	b9	b14	b15	b16	b19	b17	b18	b20	b21	t1	t2	t3	c1	c2	c3	c4	c5	d2	d1	d3	d4	d5	d6	d7	d8	d9	e1	e2	e3	e4	e5	e6	e7	e8	e9	e2	e10	e11	e12	e13	f1	f2	f3	f5	f4	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	v1	v2	v3	v4	v5	g1	g2	g3	g4	g5	g6	g7	h1	h2	h3	h4	h5	h6	h7	h8
ATP6V1C2	8	7					1765.68										2297.42											3053.07	3514.2									3834.15	3781.42		990.98					1635.1		3449.25		1675.0			481.406			6688.38	1706.62		1592.73	1096.75				6692.94				1228.6				2156.22	2827.76	1794.77				1782.93	1671.98	1602.94						1587.99		2200.39	2411.99			2757.39	1419.62			1771.44	1401.29
ATP6V1D	10	10	131332.0		79366.3	109321.0	97536.2	105212.0	163491.0								148401.0		110144.0		81224.3	161287.0	139165.0	110842.0	151376.0	121820.0	208897.0	156957.0	178813.0	156195.0	167050.0	117546.0	120069.0	94782.0	189469.0	157048.0	150636.0	139122.0	277076.0	192321.0	135224.0	137371.0	196890.0	202575.0	139084.0	190588.0	163420.0	139124.0	78995.6	157684.0	154870.0	91495.1	103604.0			377076.0	113518.0	73997.1	181718.0	93823.1	68433.5	97516.7	110704.0	279661.0	139828.0	99148.9	147822.0	121327.0	127074.0	103166.0	127404.0	129326.0	124637.0	87215.4	155541.0	151618.0	103544.0	87135.1	122669.0	149192.0	91268.3	108924.0	212596.0	274495.0	206149.0	147255.0	204038.0	337440.0	136348.0	286881.0	247880.0	231722.0	174545.0	156654.0	236134.0	237914.0	112990.0
ATP6V1E1	12	9	941792.0		731356.0	750212.0	648426.0	694258.0	629029.0				600195.0			1009620.0	1003660.0		607987.0		988015.0	746096.0	663782.0	862735.0	781016.0	606236.0	1147540.0	1027640.0	1005870.0	880555.0	810181.0	869102.0	670175.0	728955.0	1358950.0	1443430.0	940882.0	1013240.0	1229420.0	1356200.0	974048.0	852284.0	1234010.0	1200670.0	1093180.0	1354030.0	916842.0	1570960.0	849463.0	1067350.0	1113200.0	1068470.0	872429.0	569368.0		2226150.0	918933.0	696986.0	1183190.0	764630.0	584262.0	969858.0	1224600.0	1795540.0	936440.0	652792.0	1088330.0	896362.0	874282.0	658153.0	920272.0	905034.0	1138900.0	605387.0	1466980.0	1088890.0	836164.0	694036.0	741788.0	877429.0	642115.0	857483.0	1611020.0	1989850.0	1226040.0	897724.0	1477430.0	1526260.0	1052530.0	2185700.0	1570980.0	1699530.0	1365270.0	1177940.0	1525790.0	1769950.0	859669.0
ATP6V1F	6	6	16026.0		15653.4	13055.3		20695.8									14831.5						14540.4	18266.6	17728.0	11686.3	16723.1	23889.5	21541.0	15862.0		21017.4	22820.1		18422.0		14940.8		38302.6		20984.2	23587.0		21374.0	21585.1	28642.2		11894.9	14418.1		19319.1	11881.8	21723.4	18263.7		47019.8	15009.0		18399.5	11958.3	17853.2	18750.2	14168.9	45718.1	12756.0	16028.2	15272.0	18841.7	15888.3	12390.3	21408.8	21784.5	12898.8	17578.7	24723.9	19249.4		21298.3	18604.5	18936.7	10333.6	14037.7	13807.6	31413.3	25715.6	10284.4	24923.2	32602.8	12062.4		15832.8	29196.4	28877.5	24290.1	23315.3	34999.2	18392.4
ATP6V1G1	5	3	324693.0		233691.0	321832.0	262848.0	230710.0	327847.0	1317620.0	1540930.0		722775.0	2012380.0	1575450.0	908643.0	355585.0		588372.0		299957.0	363560.0	268597.0	286952.0	334601.0	202782.0	415873.0	393847.0	332635.0	286712.0	302941.0	327227.0	257505.0	304862.0	515984.0	477451.0	375953.0	377928.0	508840.0	503479.0	300740.0	427013.0	486177.0	527178.0	355294.0	456562.0	384878.0	465611.0	257340.0	360900.0	273000.0	332852.0	310482.0	226681.0	960459.0	963192.0	274468.0	241322.0	266782.0	262143.0	199870.0	275058.0	307411.0	803287.0	281566.0	177909.0	337325.0	294787.0	224815.0	198999.0	272441.0	285906.0	361828.0	192940.0	408795.0	370658.0	230295.0	226190.0	254493.0	327982.0	210726.0	317543.0	592232.0	644334.0	548862.0	377881.0	496825.0	590855.0	339828.0	660447.0	662589.0	675199.0	340005.0	331307.0	403154.0	701775.0	291666.0
ATP6V1H	11	11	213688.0		181171.0	219863.0	221963.0	180126.0	244405.0								204731.0				278899.0	203580.0	204937.0	210285.0	249954.0	185199.0	291384.0	367625.0	395938.0	325496.0	328092.0	213284.0	250092.0	264202.0	268617.0		364244.0	270806.0	371480.0	361040.0	256838.0	291516.0	322987.0	420238.0	336825.0	378524.0	293921.0	405358.0	196164.0	335474.0	328184.0	293011.0	254782.0	178570.0	402222.0	762674.0	271655.0	169900.0	335204.0	237492.0	186202.0	281740.0	263534.0	647174.0	284486.0	200604.0	319663.0	237778.0	240922.0	197489.0	325276.0	277530.0	304928.0	174321.0	377669.0	322162.0	219927.0	209480.0	250124.0	277988.0	172502.0	305079.0	451331.0	417843.0	414457.0	368454.0	434916.0	530135.0	366728.0	632435.0	569763.0	474164.0	334088.0	351718.0	390893.0	515050.0	238027.0
ATP7A	7	7					3538.41	1880.54																13999.4	14140.9	6576.47	9234.35		16838.3	10324.2												6785.16			4672.79	5354.1						6337.84	1837.28			18542.1	4446.52		1124.96		3673.38			26162.8	7942.34		1948.06		1151.72	2021.84	1324.06	1715.0			5060.44				1794.45	2540.23		2520.91		1655.06		2833.17		2916.21						2111.01		9112.19	
ATP8B1	8	7						2453.2															2393.41	2099.51	3559.42	3267.32			1575.42																											5922.62			497.241					1867.78								1876.64								2131.42								3496.95								4562.19	
ATP9A	8	7	38195.2		51006.6	50356.2	46625.7	49305.8	58954.3				105575.0				51971.8		39448.3		79065.5	63988.4	65334.5	40407.4	85754.6	67158.5	53266.5	55214.7	88323.8	49299.7	61932.9	54928.1	44621.8	77147.4			17208.1				16642.3	24848.2		38711.5		23590.6		26136.9	10145.7		21344.6	11819.7	10905.0			38439.7	9260.3	15134.9	10388.2	10387.3	9740.74	19742.8	11336.6	21018.1		13686.5	14403.0	11853.4	10915.9	14463.6	9169.74	16463.3	14499.6	27682.3	10060.3	11100.9		11071.2	8713.9	14123.2		16574.5		8568.18	12446.2	8673.05	12503.6	14956.9	12673.9	15971.7	13022.3	8081.07	12571.6	12785.0		21030.2	9634.22
ATPAF1	1	1															1256.84					645.452		1659.16		1131.61	703.821	871.362		1216.65			502.54					1041.68		1094.02	929.549	1052.98		494.982		767.698		2959.79	934.925				881.187			939.783	547.06	581.967		658.265		815.991					806.468	759.226	704.63						450.244	1437.42		1328.97	875.209	444.719	969.718			548.09			588.592	1034.23			704.581	1248.82					
ATPAF2	3	3					1293.73	1196.94											2365.41					3139.83	2735.56			1959.37	2788.07	2332.74			2320.82	2968.76			3692.41		1867.82		1415.82	2003.21				1286.41			1276.7	1042.95			1316.4				2264.73		1019.48	1289.32			1410.78	1547.56	1863.08	2308.38	927.572	2162.73	1937.06	2063.2	1468.69	2245.16			1188.84	1491.93	953.516	1723.95	1793.15	1952.66	1591.01			1210.52		1433.91	1724.65	2085.09	1965.64		1261.9	1283.51	1833.57	1951.54	1336.3	1750.07	1709.81
ATR	5	5						1188.2									673.843					719.688								756.722				869.13	1605.58						1313.39					705.522			1207.36	1749.19	1405.69	875.754	949.268			587.476	1480.63		784.458	1172.32	640.64				795.537	1073.42	1597.66	674.764	973.408	957.6	781.751	665.73	718.45		737.707	1330.22	1085.5	973.236	1224.29	790.456	1119.17	623.754					1015.04	1030.2	828.366		876.718		505.909	1350.76	1743.65	840.25	1086.51
ATRIP	2	2	1377.71		1126.08	1570.22																				976.434											641.211					2129.78				584.929			1626.73	1957.31		2225.09	1712.63				1924.69		1806.29	588.075	798.576	2588.15			1313.24	1574.16	1828.01	1743.79	2170.47	1042.67	872.249	1636.13			1478.92	1179.28			1520.45	638.587							1488.78				1451.95		1748.39	1384.93	1546.45		1610.07
ATRN	4	4	9933.55		4902.89	11163.3	21092.9	6612.17	5712.62													12009.0	7672.64	7164.12	17829.2	13168.2	8512.07	9687.09	6911.15	4787.5		10918.3	3024.4	7361.89				10453.5			5862.15			15127.3		6014.78		5191.0		5164.87		8776.28	3024.74	6606.75		16754.4			8947.26	3006.68	4527.83			10683.7	4587.81	5737.86	3950.57	7615.85	4530.47	4248.88	6969.23	5145.35	3859.89		4851.48	4029.02			2200.96	6854.5	7157.02	3429.89	11729.3	15211.1		5437.08	4195.35	21207.4		8742.22	15945.9	7956.56	5380.21	10191.5	14865.8	11076.4	6055.65
ATRX	10	10	5360.61		5814.48	6205.54	4631.83	8716.82	6686.53				8084.1									5191.16	4184.66	6454.85		3568.34	4528.67		6387.57	7720.87			6371.6				4975.22			5456.71	5319.25	5858.27				6778.55	5576.12	4570.94	4859.26			4700.11	3374.21				5104.1		3230.97	4160.55	3383.87				3706.69	3597.29	2932.85	4277.05	2396.01	2508.69	3847.01	4892.66	4009.86		4091.71	3787.98	3239.07	3802.69	3435.4	4374.01		3204.79		4085.02		7100.63	3743.58	5981.92			5648.74	4105.89	4197.44	4519.6	3992.44	3670.34	3928.69
ATXN10	14	14	16602.3		26481.8	22892.1	10164.0	20514.9									20641.4				15527.3	18034.3	20878.5	16325.5	15811.9	18625.8	14713.5	11406.7	22483.6	16732.6		19164.5	12911.2	23447.9	9638.21		11063.9				16003.5	12851.3		11024.7	13618.1	12399.8	12196.9	11682.7	15659.7	17215.9	14788.0	14766.1	16943.9	10186.6		12276.4	18437.7	15088.7	11194.4	16852.7	17539.0	15703.7	16089.8	9615.88	12862.4	15157.3	12389.6	21508.8	12925.9	11114.3	15236.9	12876.4	15612.8		15913.0	14230.6	18656.0	13692.8	15082.8	16850.2	13835.7	15598.3	11773.9	11916.0	10128.8	16968.0	16257.3	14529.0	15310.6	13948.4	10645.2	16875.7	8688.62	17447.5	12398.7	12101.4	16631.2
ATXN1L	3	3			1575.52	887.371		1424.81														1475.52		1851.72		993.376			855.745	1199.78			1950.52	1449.19								745.179				1129.02							513.61							586.575	825.978			804.672	1062.42	1349.55			1028.81		526.196	625.949			536.626	856.646			1149.93	540.579							709.372	553.594							1913.62	731.474	
ATXN2	9	9	27673.8		88189.5		18933.1	45262.3	42350.5													27387.0	22242.2	24742.7	22050.4	20808.3				36010.2		27237.9	50969.3	38329.1					33180.9							37161.5			33217.6	33610.9		12875.2	29757.7				48655.8	19983.3	20756.4	32588.7	31489.5		41842.7	22983.9	35456.2	38285.5	15474.2	41685.3	36592.6	21677.7	34578.6	40130.7	19834.0		27466.0	27338.4		39144.7	30282.5	34028.6	39407.1	28540.1		26760.1		27646.6	23502.3	40362.1	69511.7			33165.4	21665.4	27239.5	31554.1	23680.0	27791.2
ATXN2L	24	24	108725.0		114634.0	101621.0	83718.3	135451.0	86529.3								120769.0		100795.0		88266.3	99107.0	106479.0	111146.0	75440.1	89348.9	83366.7	114331.0	103063.0	108532.0	71742.6	128712.0	98586.8	92030.6			76737.1	77012.6	79432.4	86400.4	85645.2	87952.5	135802.0	108473.0	88146.7	91341.9	78836.9	85418.5	171158.0	199128.0	147588.0	221092.0	206707.0	136797.0		95704.5	220029.0	193145.0	142027.0	167147.0	168295.0	173188.0	163529.0	110021.0	120849.0	122863.0	158389.0	169545.0	169355.0	147111.0	127740.0	163217.0	166445.0	87073.2	151763.0	182712.0	186190.0	144086.0	170369.0	153895.0	158796.0	171600.0	76548.5	85492.1	101785.0	93037.6	182881.0	108544.0	176775.0	111734.0	86344.3	131857.0	138239.0	141512.0	116951.0	119854.0	153919.0
ATXN3	5	5	50201.2		39775.6	48351.7	42253.9	54788.2	59589.5													54647.6	32366.9	35754.5	50344.3	35605.1	37821.1	44594.3	28002.0	41679.0	27722.8	50360.1	36602.2	37445.2	45202.5		72445.2		43907.8	35602.5	57315.4	54371.4		48061.2	63713.4	48999.4		37496.6	44733.0	48174.3	53902.3	42695.6	57595.3			50577.1	47392.0		43140.6	38819.1	37858.6	70033.7	40431.1	64856.7	47086.2	33097.4	49528.1	44469.3	56510.2	44557.9	49217.9	38830.8	33577.0	27985.1	39851.8	35859.8	30788.0	45944.1	42273.3	36507.5	31537.9	30712.5	45551.9	30092.4	39352.9	61021.1	39524.5	62696.8	38408.4		42076.3	46413.2	43686.0	41741.9	53155.0	53598.1	45041.1
AUH	4	4	17317.1		11888.7	17774.1	9426.63	12570.2															30684.2	38193.1	19368.7	15779.1	34868.4	21035.0	30186.7	25160.8		20535.3	17593.1	19640.2	22888.9		31922.9	13840.2			26249.1	24111.8	30771.6	32390.4	24211.1	38380.0	35073.6	19431.0	13201.7		20202.2		13587.7			12505.5	11917.0	10518.8	19887.8	13507.6	11778.7	24269.0	18455.4	18036.0	21918.6	12339.3	20322.5	17061.0	14406.7	10539.8	18449.2	17244.3	7761.51		16001.2	16276.1	13456.6	15905.7	15077.4	11118.5	28548.0	10126.4		26692.0	21697.3	29855.2	19694.5	21404.3	16281.0		22909.0	14790.8	15257.7	14572.1	18010.4	19850.9	10040.3
AUP1	11	11	189232.0		243210.0	263319.0	214149.0	238971.0														215646.0		191352.0	278285.0	180814.0	127574.0	206697.0	225214.0	188146.0	181679.0	152475.0	205484.0	249356.0			190435.0				134018.0	155001.0				193052.0	272013.0		420569.0	338274.0	412802.0	320871.0	493130.0	175560.0		339782.0	507151.0	404353.0	339776.0	404742.0	550256.0	272281.0	483774.0	374253.0	373893.0	407763.0	335562.0	375624.0	339513.0	254062.0	305471.0	391305.0	450133.0	202487.0	390671.0	362425.0	344596.0	381346.0	371987.0	314267.0	401109.0	449378.0		257430.0	149186.0	193084.0	342016.0	263954.0	319551.0	253734.0	194705.0	300134.0	227294.0	376175.0	318933.0	266412.0	430928.0
AURKA	1	1																											5402.18												3584.56								3661.62		10287.0	5564.37	6660.46				5517.41			3721.27	4766.96	6734.84	8022.21	10019.6	4000.15	8124.25	7790.33	6996.25	7385.11	4390.13	7474.12		4505.83		5207.16	3593.0		4274.36	5339.53		4539.42						5203.43						8854.07	7221.33	7583.06		5916.47
AURKB	9	8	49190.1			96841.0		84536.6																49470.0		50471.1		67403.1	76347.9				69690.4								55231.4					46678.3			96102.7	69815.3	80449.8	126527.0	112071.0				103649.0	118218.0	96833.9	94026.8	84531.2	101899.0	72736.8	72895.7	66507.9	113296.0	164949.0	102659.0	136056.0	107417.0	100142.0	114399.0	83692.3		68625.7	68881.5	79035.7	98244.5	80958.1	74331.6	100561.0	112035.0		47041.8			109138.0		83427.6		55877.3	57084.6	121299.0	50038.5	96634.5	55814.5	111808.0
AVEN	1	1			1190.78			699.704									792.805							917.939	696.772		1926.35	817.73	1186.54	662.337											805.213					1735.1		602.939				394.68	483.879						540.022	284.544	411.371			1306.35				285.401			106.737				1066.12	937.488			374.096	458.405	693.773	397.393		1679.57		1282.0	462.217	1615.22			595.084	1293.7				780.306	326.57
AVL9	5	5	12521.1		14325.5	16605.1	13390.2	9698.39									11010.4					17260.8	13261.0	17737.7	18013.9	15308.0	20652.5	27164.8	29467.5	21207.6		11556.6	24796.4	16755.2	14968.3		23265.6	20822.9		13363.0	15990.4	23506.2		24797.3	29303.0	25174.9	12992.7	29445.4	21737.8	35160.4	25350.1	14705.3	12250.4	6799.26		13263.8	26398.5	10054.9	12955.2	21560.2	13535.7		27327.4	10783.7	15826.6	22063.0	20158.9	22431.8	10641.4	18040.8	12532.9	19437.1	17536.9		17682.3	14362.8	14351.6	22590.2	17677.0	15107.8	16456.5	23301.8		17201.7	10264.5	14672.9	17366.7	22414.6	16024.7	24736.9	19973.8	19461.6	24399.4	30997.8	11602.7	16954.5	15040.8
AXL	3	3																												934.805																1509.27		3679.54	1442.21																				1267.84		1399.95	1377.43			1611.83					1307.13							1657.66	2429.69			2164.42			3503.46	4204.53	4410.62	
AZGP1	25	25	3427820.0	20943200.0	1983950.0	3072320.0	4145370.0	2852450.0	12673200.0	32030800.0	29868400.0	26992800.0	14331300.0	34794500.0	21651400.0	30645700.0	7005470.0	32946500.0	6971270.0	11469900.0	3908980.0	1318320.0	1575110.0	1114900.0	19596400.0	13702200.0	5891490.0	12140600.0	4782030.0	2562410.0	3066810.0	5845800.0	3355990.0	8354560.0	17171100.0	3037810.0	811756.0	21197200.0	3808950.0	6007410.0	3026290.0	6199950.0	8975560.0	15183300.0	4401220.0	1934860.0	1050680.0	2633480.0	2040760.0	20730600.0	4934560.0	2639480.0	1396330.0	29277400.0	20793100.0	20287400.0	1807000.0	6079690.0	444500.0	513698.0	4350500.0	1765000.0	3751770.0	15617300.0	5152390.0	2591830.0	2600410.0	2017230.0	551204.0	768383.0	1209530.0	5015820.0	2267770.0	5281830.0	922108.0	1069880.0	3130130.0	4025800.0	1574750.0	5941630.0	4579190.0	3965530.0	18603900.0	1664160.0	4449510.0	770301.0	1674430.0	8851260.0	6998940.0	13726300.0	3411730.0	1534230.0	2091900.0	4186030.0	1197000.0	8804690.0	1567300.0
AZU1	6	6	408093.0	2474210.0	156891.0	873296.0	335244.0	732446.0	869724.0	12962700.0	4630960.0	2008470.0	2589970.0	5669190.0	2552680.0	4283740.0	251294.0		871055.0	1779810.0	5677720.0	149306.0	162137.0	479914.0	953031.0	1232920.0	346335.0	503080.0	290547.0	91128.6	895053.0	666504.0	296781.0	445314.0	1563750.0		315928.0	1742640.0	393950.0	1111870.0	392055.0	190710.0	725230.0	1039910.0	439133.0	224892.0	462147.0	801963.0	132277.0	3032400.0	498020.0	135250.0	62990.1	759480.0		271798.0	111040.0	268184.0	132102.0	36062.8	215756.0	205266.0	246875.0	304009.0	276216.0	130998.0	161778.0	167356.0	65637.0	75377.9	151162.0	108865.0	148256.0	196448.0	113707.0	75032.1	179930.0	246744.0	109743.0	71107.9	486505.0	186361.0	4167860.0	139065.0	447026.0	199790.0	208618.0	178493.0	269262.0	730236.0	1893140.0	241998.0	157268.0	407216.0	46972.0	212060.0	164265.0
B2M	7	7	1398450.0	1403690.0	770174.0	1836770.0	877640.0	1006260.0	775475.0	1169560.0	1294170.0		1876030.0	1081320.0	2131330.0	1988260.0	2328480.0	1750000.0	2043420.0	1413620.0	1501360.0	2732370.0	2603210.0	1056600.0	4190910.0	1333620.0	1854940.0	3039960.0	1551080.0	1327300.0	3880110.0	1967040.0	877604.0	1413460.0	3089230.0	2698190.0	3319450.0	1653040.0	2443610.0	3828140.0	2252680.0	3417330.0	1218090.0	3640310.0	4574580.0	2613900.0	2417190.0	3128740.0	1547620.0	3585630.0	1523710.0	1666680.0	1555980.0	2888510.0	4292490.0	69618000.0	1494790.0	2306340.0	2123660.0	1695500.0	1633710.0	2103730.0	2004890.0	59211900.0	1207230.0	1643590.0	2306980.0	2084420.0	1544150.0	1773570.0	2356080.0	21985400.0	2647100.0	1544130.0	2654980.0	2235110.0	1922880.0	1436110.0	1862990.0	19509700.0	2442590.0	1858500.0	5353510.0	2516920.0	2112090.0	1703410.0	2869140.0	27443100.0	1780840.0	2666790.0	2543580.0	2975410.0	2185870.0	2217050.0	2791800.0	36830900.0	2350780.0
B3GALT6	3	3					963.089																																							949.411							1161.6			1677.12	1955.19		1315.97	785.523	759.076					965.454	606.988	1475.65	752.62	615.123		785.274			997.89	1190.72								1123.16	1535.81		1229.67	1556.92	1404.87	1889.68	1064.36			1551.94	718.71	1117.39	913.498
B3GAT3	10	9	17359.4		25367.0	16127.2	12599.6	13454.0	21674.4				14145.0				14502.3		10129.6		25927.1	22501.8	24433.0	24120.5	27365.2	22081.4	13130.2	25006.8	23147.2	23686.2	15023.8	22542.7	19126.6	27814.8			12892.6	16730.5	19113.0	11668.2	16442.8	13811.2		13179.9	21470.6	19169.2	12896.5	20954.2	14723.9	22720.9	24246.2	14213.8	14298.0	18144.4		22849.0	15049.7	18999.5	17412.8	13471.3	11723.3	10455.6	24331.7	22171.0	14472.5	14945.6	15298.9	15188.6	17182.1	18488.3	15511.3	17998.6	19491.9	8957.33	15220.5	13558.7	18027.7	10527.3	13743.1	15043.7	15632.8	15033.0	8879.45	17585.4	10759.7	15223.0	17429.6	21954.7	17894.3	24101.7	22650.2	17984.4	15775.5	14168.2	23292.1	18661.6	17146.4
B3GNT2	6	6																								13465.6		20905.4	12596.9	15969.5																11804.5			17405.9			21261.1	12180.7			66548.1	26886.6		16327.8	24507.4	21233.4			47276.8	31382.1	16831.3	28241.6	26737.2	14079.4	12183.8	16146.7	29440.6	29473.5		14236.1	27421.0	21033.0	14048.5	18994.7	45463.1	12328.5	23017.1			21376.9		20020.9	51645.0				16271.0	21354.4	13511.9		66764.6	24926.6
B3GNT3	5	5	17168.2				16267.7																										10119.2																							158045.0								105616.0								47713.2								52284.1								87925.9								89253.3	
B3GNT6	5	5																																																						51125.9								16890.3								15850.0								9917.86								20369.8								24529.6	
B3GNT7	6	6																					6999.45							4640.89																				12671.1						54634.2					2495.52			39573.1								14432.6								19549.3								20454.5								29804.0	
B3GNT9	4	4	1527.27																																														722.916	3917.15							829.358			1687.86					728.377		1599.47	914.447		499.272		1583.42	672.719			1105.0				1039.59		1471.02														2037.87	652.72
B4GALT1	9	9	52493.3		33496.9	38790.2		32800.8									41744.9					39868.3	74131.1	25323.4	42274.5	44282.1	28359.1	84614.6	37608.1	30889.3		52396.7	33222.9	72412.0			27027.0	66928.6		44809.6	29245.9	37273.2	63312.6		27674.5	29905.6			50410.1	91601.3	52250.0	67581.6	42196.3	69962.2		735810.0	68963.2	51055.3	34278.7	34496.1	27266.9	33369.7	51706.8	471914.0	51383.4	43541.6	29981.7	30911.3	34526.2	38477.1	47027.4	176467.0	59691.3		49878.6	54998.2	70865.7	42338.3	43332.8	195805.0	56408.7	74130.2	77703.4	32828.5		33513.0	53782.4	288229.0	76008.3	55937.5	35305.0	32429.4	41515.7	47050.4	36329.0	277043.0	53356.4
B4GALT3	6	6			100275.0		112822.0	76702.8											125807.0			134806.0	127475.0	140560.0	178072.0	168052.0	140002.0	276868.0	98043.4	125835.0		91653.5	129678.0	207094.0							99141.8					124479.0			92241.4	112519.0	139587.0	272664.0	222395.0	170650.0		198862.0	181149.0	156291.0	150008.0	163291.0	164407.0		128992.0	128632.0	135143.0	166404.0	199890.0	205233.0	140488.0	181173.0	157428.0	162260.0	211443.0	160262.0	128075.0	173848.0	222317.0	165138.0	144062.0	174441.0	183748.0	220199.0	129482.0	140051.0	114113.0		124401.0	131599.0	229197.0	207769.0	180762.0	187727.0	104806.0	90297.0	139972.0	174873.0	170146.0
B4GALT4	7	7	11448.2		8075.15			8256.77									10226.3						9313.46			8069.21		7646.43	8034.53	3131.83			7394.07	16014.4										8490.3		4051.26			9147.78	14930.6			6741.92			49010.0	5695.95		5746.94	4969.36	9963.46	7272.74		24007.1	7603.71	7657.12	7297.42	8917.07	6820.81	6338.09	4790.81	13947.0	7487.03		7321.28	5123.75		6367.61	5089.49	15002.3	8647.76	14160.0					5587.92	22794.1	8434.33					9035.43	7350.83	22788.3	10270.7
B4GALT5	2	2					29236.4		35238.7		258082.0											16229.8		13642.1	33497.0						22207.9				21023.3						12024.7				23630.2	19060.7											16142.4			10286.7	22694.1	23201.4					18903.7			10845.1		14569.1			13013.7				11981.8										16742.5								14679.4
B4GALT7	4	4	10850.5				7451.19										22550.7					14389.1	14438.2	9896.62	12923.4	13553.1		13881.6	7600.78	11220.9		8807.38	7188.12	15870.4						8426.52	3691.65	8637.85	16578.9	5209.23		12285.3		12360.8	13112.6	14021.4	11484.7	14141.8	8767.19			14385.2	13832.6		23167.8	18292.7	15045.3	13905.6	15956.8	9200.35	8383.87	8895.68	14410.1	12939.9	13187.5	7528.59	10902.7	11296.9	18469.3	14085.7	12850.3	16264.8	19929.9	9318.46	12646.4	13402.6	8878.42	14116.5		5450.88		10834.6	18829.5	12316.8	12749.4		8845.47	13493.1	13132.3	11268.5	8507.5	11116.0	11851.5
B4GAT1	4	4																				4505.34	7098.37	3022.66		3031.19		3803.48		4104.0		3561.34									3347.6					2012.8			3017.51				1402.4			9125.71	2315.7		1561.14	1611.81	3360.54	3376.47		8835.57		2566.18	1360.67	2736.92	1984.13	1668.48	2051.65	1815.75	2319.69		1758.07					3453.55	2809.05	3828.18	2421.45			3029.48	2365.0	4196.79			1797.99	1351.32	2338.94	3280.67	1690.83	4029.06	1294.42
BABAM1	6	6	3266.17		2290.94		3530.45														4947.48	6408.68	4187.78	2849.79	5786.79	3866.87		5789.42	4019.81	6428.7		2916.14	3861.81				2493.46				3015.17	5861.2				2947.54	2694.61		2606.34	3648.66	3736.45	2293.01	4412.49			4751.89	4141.96	4072.13	6381.38	5922.71	5318.21	4677.35	5566.2	10735.1	3435.75	4078.1	4384.36	4125.67	3254.41	6407.51	5466.02	3115.6	4466.06		4526.45	4161.07	3148.73	2746.14	4395.0	2517.26	4030.79	4843.02	3974.34	3213.67				2948.21			4623.52	4561.56	6694.38		4642.42	4209.27	4041.24
BABAM2	3	3	5955.12		18444.2	6336.88	4993.48	3919.27									3362.35					2412.61		5712.21	4080.16	2068.4	3978.99		3563.95	5059.23		5060.46	5509.02		3642.04		9374.16	4132.54			7432.42	7528.95		9840.48	7820.59	4891.21		5596.97	3280.06	2950.6	6160.92	5504.46	4959.18			6468.07	2619.27		3548.98		3757.51			3858.05	4240.53	1957.41		2246.04	2072.38	3844.0	2135.77	1942.45			2738.86	2499.26		3620.43	3166.36	1620.37		4040.4	4278.79	5600.06	4428.94	6064.45	4842.21				4073.73	3983.52	3641.38	3851.06	3171.23	2724.37	1924.42
BAG1	2	2				1485060.0																							1076490.0											918491.0													1445730.0						1500170.0	1186930.0			1760410.0	2133700.0	772286.0		1151930.0			1306230.0		1127370.0			1137980.0	1296570.0		1251440.0	915573.0					1110220.0				979485.0	1859620.0		939730.0		1367530.0		827203.0	1035400.0	
BAG2	8	8	206941.0		169492.0	171262.0	134560.0	141706.0	216587.0							501869.0	280993.0		276091.0			269759.0	212147.0	282067.0	322424.0	183883.0	284044.0	607377.0	242278.0	319079.0	241833.0	138310.0	196966.0	529966.0			414398.0	245580.0	346493.0	297171.0	334015.0	263048.0	755306.0	299805.0	342023.0	302615.0	229783.0	171960.0	612376.0	999037.0	627837.0	667172.0	505658.0	684491.0	1125900.0	430730.0	950235.0	466513.0	687304.0	720663.0	669706.0	652693.0	723378.0	582350.0	434653.0	461011.0	843021.0	518079.0	460116.0	399201.0	523340.0	520671.0	593792.0	332017.0	436411.0	664022.0	581268.0	624568.0	520075.0	456507.0	610150.0	653619.0		270319.0	252962.0	158154.0	537737.0	309503.0	618197.0	170680.0	249773.0	417031.0	365781.0	467948.0	590877.0	406614.0	708672.0
BAG3	11	11	75612.5		73896.8	54963.8	52290.6	67051.0		95077.2							71703.4		36788.5		45701.0	38639.4		55082.6	55061.2	46951.9	46903.7	48453.3	88333.5	56382.2		52002.9	55934.4	45298.5			28277.1	47955.4	61896.6		39418.9	55127.3		69418.0		46236.2	29227.9	39245.6	49938.1	54819.8	69380.6	56463.5	42654.8			185100.0	57231.0	33851.3	59382.4	48316.9	38199.2	39783.6	54202.7	184787.0	34708.4	26683.9	44069.9	50090.1	30223.8	25387.0	33910.6	60507.8	47440.5		59116.3	53939.6	46619.0	44496.6	35378.4	61631.0	59215.4	34624.6	160217.0	59289.5	40703.1	69313.4	51727.1	98874.9	48883.6	78970.8	94967.0	70063.9	34800.6	56606.2	59273.7	99880.7	38966.7
