gene,predicted_direction,observed_direction,matches_hypothesis,log2_fc,p,p_bh
KIF20A,e>f,e<f,False,-0.014650668677719025,0.9717725686765935,1.0
KIF22,e>f,e>f,True,0.10053138060531808,0.48690581626049245,0.8759325431891738
INCENP,e>f,e>f,True,0.3167600957715475,0.057039874249055496,0.6216964771326329
MYH11,e>f,e>f,True,0.6669781441489384,0.0022907941597880574,0.4616009354198992
TAGLN,e>f,e<f,False,-0.03354442859157558,0.8262002033788082,0.9827024512481006
NCAM1,e>f,(not measured / filtered),False,,,
APOBEC3C,e>f,e<f,False,-0.2831116839354788,0.20360201785036391,0.7243474221320891
