spot_id,X,Y,tile_x_topleft,tile_y_topleft
slide2_152_19_x10600y1000,10600,1000,10400,800
slide2_152_19_x11000y1000,11000,1000,10800,800
slide2_152_19_x11400y1000,11400,1000,11200,800
slide2_152_19_x11800y1000,11800,1000,11600,800
slide2_152_19_x12200y1000,12200,1000,12000,800
slide2_152_19_x12600y1000,12600,1000,12400,800
slide2_152_19_x13000y1000,13000,1000,12800,800
slide2_152_19_x13400y1000,13400,1000,13200,800
slide2_152_19_x13800y1000,13800,1000,13600,800
slide2_152_19_x14200y1000,14200,1000,14000,800
slide2_152_19_x14600y1000,14600,1000,14400,800
slide2_152_19_x15000y1000,15000,1000,14800,800
slide2_152_19_x15400y1000,15400,1000,15200,800
slide2_152_19_x15800y1000,15800,1000,15600,800
slide2_152_19_x16200y1000,16200,1000,16000,800
slide2_152_19_x16600y1000,16600,1000,16400,800
slide2_152_19_x17000y1000,17000,1000,16800,800
slide2_152_19_x17400y1000,17400,1000,17200,800
slide2_152_19_x17800y1000,17800,1000,17600,800
slide2_152_19_x18200y1000,18200,1000,18000,800
slide2_152_19_x18600y1000,18600,1000,18400,800
slide2_152_19_x19800y1000,19800,1000,19600,800
slide2_152_19_x20600y1000,20600,1000,20400,800
slide2_152_19_x21400y1000,21400,1000,21200,800
slide2_152_19_x21800y1000,21800,1000,21600,800
slide2_152_19_x22600y1000,22600,1000,22400,800
slide2_152_19_x23000y1000,23000,1000,22800,800
slide2_152_19_x23800y1000,23800,1000,23600,800
slide2_152_19_x221000y1000,221000,1000,220800,800
slide2_152_19_x200y1400,200,1400,0,1200
slide2_152_19_x600y1400,600,1400,400,1200
slide2_152_19_x1000y1400,1000,1400,800,1200
slide2_152_19_x1400y1400,1400,1400,1200,1200
slide2_152_19_x1800y1400,1800,1400,1600,1200
slide2_152_19_x2200y1400,2200,1400,2000,1200
slide2_152_19_x2600y1400,2600,1400,2400,1200
slide2_152_19_x3000y1400,3000,1400,2800,1200
slide2_152_19_x3400y1400,3400,1400,3200,1200
slide2_152_19_x3800y1400,3800,1400,3600,1200
slide2_152_19_x9000y1400,9000,1400,8800,1200
slide2_152_19_x9400y1400,9400,1400,9200,1200
slide2_152_19_x9800y1400,9800,1400,9600,1200
slide2_152_19_x10200y1400,10200,1400,10000,1200
slide2_152_19_x10600y1400,10600,1400,10400,1200
slide2_152_19_x11000y1400,11000,1400,10800,1200
slide2_152_19_x11400y1400,11400,1400,11200,1200
slide2_152_19_x11800y1400,11800,1400,11600,1200
slide2_152_19_x12200y1400,12200,1400,12000,1200
slide2_152_19_x12600y1400,12600,1400,12400,1200
slide2_152_19_x13000y1400,13000,1400,12800,1200
slide2_152_19_x13400y1400,13400,1400,13200,1200
slide2_152_19_x13800y1400,13800,1400,13600,1200
slide2_152_19_x14200y1400,14200,1400,14000,1200
slide2_152_19_x14600y1400,14600,1400,14400,1200
slide2_152_19_x15000y1400,15000,1400,14800,1200
slide2_152_19_x15400y1400,15400,1400,15200,1200
slide2_152_19_x15800y1400,15800,1400,15600,1200
slide2_152_19_x16200y1400,16200,1400,16000,1200
slide2_152_19_x16600y1400,16600,1400,16400,1200
slide2_152_19_x17000y1400,17000,1400,16800,1200
slide2_152_19_x17400y1400,17400,1400,17200,1200
slide2_152_19_x18200y1400,18200,1400,18000,1200
slide2_152_19_x18600y1400,18600,1400,18400,1200
slide2_152_19_x19000y1400,19000,1400,18800,1200
slide2_152_19_x221000y1400,221000,1400,220800,1200
slide2_152_19_x600y1800,600,1800,400,1600
slide2_152_19_x1000y1800,1000,1800,800,1600
slide2_152_19_x1400y1800,1400,1800,1200,1600
slide2_152_19_x1800y1800,1800,1800,1600,1600
slide2_152_19_x7400y1800,7400,1800,7200,1600
slide2_152_19_x7800y1800,7800,1800,7600,1600
slide2_152_19_x8200y1800,8200,1800,8000,1600
slide2_152_19_x8600y1800,8600,1800,8400,1600
slide2_152_19_x9000y1800,9000,1800,8800,1600
slide2_152_19_x9400y1800,9400,1800,9200,1600
slide2_152_19_x9800y1800,9800,1800,9600,1600
slide2_152_19_x10200y1800,10200,1800,10000,1600
slide2_152_19_x10600y1800,10600,1800,10400,1600
slide2_152_19_x11000y1800,11000,1800,10800,1600
slide2_152_19_x11400y1800,11400,1800,11200,1600
slide2_152_19_x11800y1800,11800,1800,11600,1600
slide2_152_19_x12200y1800,12200,1800,12000,1600
slide2_152_19_x12600y1800,12600,1800,12400,1600
slide2_152_19_x13000y1800,13000,1800,12800,1600
slide2_152_19_x13400y1800,13400,1800,13200,1600
slide2_152_19_x13800y1800,13800,1800,13600,1600
slide2_152_19_x14200y1800,14200,1800,14000,1600
slide2_152_19_x14600y1800,14600,1800,14400,1600
slide2_152_19_x15000y1800,15000,1800,14800,1600
slide2_152_19_x15400y1800,15400,1800,15200,1600
slide2_152_19_x15800y1800,15800,1800,15600,1600
slide2_152_19_x16200y1800,16200,1800,16000,1600
slide2_152_19_x16600y1800,16600,1800,16400,1600
slide2_152_19_x17000y1800,17000,1800,16800,1600
slide2_152_19_x17400y1800,17400,1800,17200,1600
slide2_152_19_x17800y1800,17800,1800,17600,1600
slide2_152_19_x18200y1800,18200,1800,18000,1600
slide2_152_19_x18600y1800,18600,1800,18400,1600
slide2_152_19_x19000y1800,19000,1800,18800,1600
slide2_152_19_x19400y1800,19400,1800,19200,1600
slide2_152_19_x19800y1800,19800,1800,19600,1600
slide2_152_19_x20200y1800,20200,1800,20000,1600
slide2_152_19_x20600y1800,20600,1800,20400,1600
slide2_152_19_x21000y1800,21000,1800,20800,1600
slide2_152_19_x21400y1800,21400,1800,21200,1600
slide2_152_19_x200y2200,200,2200,0,2000
slide2_152_19_x600y2200,600,2200,400,2000
slide2_152_19_x1000y2200,1000,2200,800,2000
slide2_152_19_x1400y2200,1400,2200,1200,2000
slide2_152_19_x1800y2200,1800,2200,1600,2000
slide2_152_19_x2600y2200,2600,2200,2400,2000
slide2_152_19_x3000y2200,3000,2200,2800,2000
slide2_152_19_x7400y2200,7400,2200,7200,2000
slide2_152_19_x7800y2200,7800,2200,7600,2000
slide2_152_19_x8200y2200,8200,2200,8000,2000
slide2_152_19_x8600y2200,8600,2200,8400,2000
slide2_152_19_x9000y2200,9000,2200,8800,2000
slide2_152_19_x9400y2200,9400,2200,9200,2000
slide2_152_19_x9800y2200,9800,2200,9600,2000
slide2_152_19_x11800y2200,11800,2200,11600,2000
slide2_152_19_x12200y2200,12200,2200,12000,2000
slide2_152_19_x12600y2200,12600,2200,12400,2000
slide2_152_19_x13000y2200,13000,2200,12800,2000
slide2_152_19_x13400y2200,13400,2200,13200,2000
slide2_152_19_x13800y2200,13800,2200,13600,2000
slide2_152_19_x14200y2200,14200,2200,14000,2000
slide2_152_19_x14600y2200,14600,2200,14400,2000
slide2_152_19_x15000y2200,15000,2200,14800,2000
slide2_152_19_x15400y2200,15400,2200,15200,2000
slide2_152_19_x15800y2200,15800,2200,15600,2000
slide2_152_19_x16200y2200,16200,2200,16000,2000
slide2_152_19_x16600y2200,16600,2200,16400,2000
slide2_152_19_x17000y2200,17000,2200,16800,2000
slide2_152_19_x17400y2200,17400,2200,17200,2000
slide2_152_19_x17800y2200,17800,2200,17600,2000
slide2_152_19_x18200y2200,18200,2200,18000,2000
slide2_152_19_x18600y2200,18600,2200,18400,2000
slide2_152_19_x19000y2200,19000,2200,18800,2000
slide2_152_19_x19400y2200,19400,2200,19200,2000
slide2_152_19_x19800y2200,19800,2200,19600,2000
slide2_152_19_x20200y2200,20200,2200,20000,2000
slide2_152_19_x20600y2200,20600,2200,20400,2000
slide2_152_19_x21000y2200,21000,2200,20800,2000
slide2_152_19_x21400y2200,21400,2200,21200,2000
slide2_152_19_x21800y2200,21800,2200,21600,2000
slide2_152_19_x171800y2200,171800,2200,171600,2000
slide2_152_19_x172200y2200,172200,2200,172000,2000
slide2_152_19_x2600y2600,2600,2600,2400,2400
slide2_152_19_x3000y2600,3000,2600,2800,2400
slide2_152_19_x13000y2600,13000,2600,12800,2400
slide2_152_19_x13400y2600,13400,2600,13200,2400
slide2_152_19_x13800y2600,13800,2600,13600,2400
slide2_152_19_x14200y2600,14200,2600,14000,2400
slide2_152_19_x14600y2600,14600,2600,14400,2400
slide2_152_19_x15000y2600,15000,2600,14800,2400
slide2_152_19_x15400y2600,15400,2600,15200,2400
slide2_152_19_x15800y2600,15800,2600,15600,2400
slide2_152_19_x16200y2600,16200,2600,16000,2400
slide2_152_19_x16600y2600,16600,2600,16400,2400
slide2_152_19_x17000y2600,17000,2600,16800,2400
slide2_152_19_x17400y2600,17400,2600,17200,2400
slide2_152_19_x17800y2600,17800,2600,17600,2400
slide2_152_19_x18200y2600,18200,2600,18000,2400
slide2_152_19_x19400y2600,19400,2600,19200,2400
slide2_152_19_x19800y2600,19800,2600,19600,2400
slide2_152_19_x20200y2600,20200,2600,20000,2400
slide2_152_19_x20600y2600,20600,2600,20400,2400
slide2_152_19_x21000y2600,21000,2600,20800,2400
slide2_152_19_x21400y2600,21400,2600,21200,2400
slide2_152_19_x21800y2600,21800,2600,21600,2400
slide2_152_19_x171000y2600,171000,2600,170800,2400
slide2_152_19_x171400y2600,171400,2600,171200,2400
slide2_152_19_x171800y2600,171800,2600,171600,2400
slide2_152_19_x172200y2600,172200,2600,172000,2400
slide2_152_19_x172600y2600,172600,2600,172400,2400
slide2_152_19_x2600y3000,2600,3000,2400,2800
slide2_152_19_x17000y3000,17000,3000,16800,2800
slide2_152_19_x17400y3000,17400,3000,17200,2800
slide2_152_19_x17800y3000,17800,3000,17600,2800
slide2_152_19_x18200y3000,18200,3000,18000,2800
slide2_152_19_x20200y3000,20200,3000,20000,2800
slide2_152_19_x170600y3000,170600,3000,170400,2800
slide2_152_19_x171000y3000,171000,3000,170800,2800
slide2_152_19_x171400y3000,171400,3000,171200,2800
slide2_152_19_x171800y3000,171800,3000,171600,2800
slide2_152_19_x172200y3000,172200,3000,172000,2800
slide2_152_19_x172600y3000,172600,3000,172400,2800
slide2_152_19_x173000y3000,173000,3000,172800,2800
slide2_152_19_x9000y3400,9000,3400,8800,3200
slide2_152_19_x9400y3400,9400,3400,9200,3200
slide2_152_19_x13400y3400,13400,3400,13200,3200
slide2_152_19_x13800y3400,13800,3400,13600,3200
slide2_152_19_x171000y3400,171000,3400,170800,3200
slide2_152_19_x171400y3400,171400,3400,171200,3200
slide2_152_19_x171800y3400,171800,3400,171600,3200
slide2_152_19_x172200y3400,172200,3400,172000,3200
slide2_152_19_x8600y3800,8600,3800,8400,3600
slide2_152_19_x9000y3800,9000,3800,8800,3600
slide2_152_19_x9400y3800,9400,3800,9200,3600
slide2_152_19_x14200y3800,14200,3800,14000,3600
