spot_id,X,Y,array_col,array_row
slide1_085_12_r1c1101,220312,458,1101,1
slide1_085_12_r1c1103,220712,458,1103,1
slide1_085_12_r1c1105,221112,458,1105,1
slide1_085_12_r2c1102,220512,804,1102,2
slide1_085_12_r2c1104,220912,804,1104,2
slide1_085_12_r2c1106,221312,804,1106,2
slide1_085_12_r3c1103,220712,1151,1103,3
slide1_085_12_r3c1105,221112,1151,1105,3
slide1_085_12_r4c1106,221312,1497,1106,4
slide1_085_12_r51c351,70312,17778,351,51
slide1_085_12_r52c352,70512,18125,352,52
slide1_085_12_r53c349,69912,18471,349,53
slide1_085_12_r54c408,81712,18818,408,54
slide1_085_12_r54c410,82112,18818,410,54
slide1_085_12_r55c411,82312,19164,411,55
slide1_085_12_r59c413,82712,20550,413,59
slide1_085_12_r60c470,94112,20896,470,60
slide1_085_12_r62c320,64112,21589,320,62
slide1_085_12_r62c468,93712,21589,468,62
slide1_085_12_r63c319,63912,21935,319,63
slide1_085_12_r63c467,93512,21935,467,63
slide1_085_12_r63c469,93912,21935,469,63
slide1_085_12_r64c320,64112,22282,320,64
slide1_085_12_r65c465,93112,22628,465,65
slide1_085_12_r66c318,63712,22975,318,66
slide1_085_12_r67c319,63912,23321,319,67
slide1_085_12_r67c321,64312,23321,321,67
slide1_085_12_r68c316,63312,23667,316,68
slide1_085_12_r68c320,64112,23667,320,68
slide1_085_12_r69c315,63112,24014,315,69
slide1_085_12_r69c351,70312,24014,351,69
slide1_085_12_r69c461,92312,24014,461,69
slide1_085_12_r69c581,116312,24014,581,69
slide1_085_12_r69c583,116712,24014,583,69
slide1_085_12_r69c585,117112,24014,585,69
slide1_085_12_r70c316,63312,24360,316,70
slide1_085_12_r70c350,70112,24360,350,70
slide1_085_12_r70c462,92512,24360,462,70
slide1_085_12_r70c584,116912,24360,584,70
slide1_085_12_r71c317,63512,24707,317,71
slide1_085_12_r71c457,91512,24707,457,71
slide1_085_12_r71c461,92312,24707,461,71
slide1_085_12_r71c551,110312,24707,551,71
slide1_085_12_r71c579,115912,24707,579,71
slide1_085_12_r71c675,135112,24707,675,71
slide1_085_12_r71c677,135512,24707,677,71
slide1_085_12_r72c318,63712,25053,318,72
slide1_085_12_r72c320,64112,25053,320,72
slide1_085_12_r72c460,92112,25053,460,72
slide1_085_12_r72c552,110512,25053,552,72
slide1_085_12_r72c676,135312,25053,676,72
slide1_085_12_r72c678,135712,25053,678,72
slide1_085_12_r73c319,63912,25399,319,73
slide1_085_12_r73c459,91912,25399,459,73
slide1_085_12_r73c553,110712,25399,553,73
slide1_085_12_r74c320,64112,25746,320,74
slide1_085_12_r74c350,70112,25746,350,74
slide1_085_12_r74c458,91712,25746,458,74
slide1_085_12_r74c552,110512,25746,552,74
slide1_085_12_r74c676,135312,25746,676,74
slide1_085_12_r74c680,136112,25746,680,74
slide1_085_12_r75c319,63912,26092,319,75
slide1_085_12_r75c477,95512,26092,477,75
slide1_085_12_r75c657,131512,26092,657,75
slide1_085_12_r75c677,135512,26092,677,75
slide1_085_12_r76c456,91312,26439,456,76
slide1_085_12_r76c466,93312,26439,466,76
slide1_085_12_r77c317,63512,26785,317,77
slide1_085_12_r77c319,63912,26785,319,77
slide1_085_12_r77c457,91512,26785,457,77
slide1_085_12_r77c459,91912,26785,459,77
slide1_085_12_r77c467,93512,26785,467,77
slide1_085_12_r78c458,91712,27131,458,78
slide1_085_12_r78c460,92112,27131,460,78
slide1_085_12_r78c468,93712,27131,468,78
slide1_085_12_r79c461,92312,27478,461,79
slide1_085_12_r79c463,92712,27478,463,79
slide1_085_12_r79c465,93112,27478,465,79
slide1_085_12_r79c477,95512,27478,477,79
slide1_085_12_r79c651,130312,27478,651,79
slide1_085_12_r80c460,92112,27824,460,80
slide1_085_12_r80c476,95312,27824,476,80
slide1_085_12_r81c399,79912,28171,399,81
slide1_085_12_r81c643,128712,28171,643,81
slide1_085_12_r81c681,136312,28171,681,81
slide1_085_12_r82c476,95312,28517,476,82
slide1_085_12_r82c478,95712,28517,478,82
slide1_085_12_r82c642,128512,28517,642,82
slide1_085_12_r83c409,81912,28864,409,83
slide1_085_12_r83c443,88712,28864,443,83
slide1_085_12_r83c455,91112,28864,455,83
slide1_085_12_r83c483,96712,28864,483,83
slide1_085_12_r83c485,97112,28864,485,83
slide1_085_12_r83c603,120712,28864,603,83
slide1_085_12_r84c404,80912,29210,404,84
slide1_085_12_r84c408,81712,29210,408,84
slide1_085_12_r84c410,82112,29210,410,84
slide1_085_12_r84c430,86112,29210,430,84
slide1_085_12_r84c432,86512,29210,432,84
slide1_085_12_r84c434,86912,29210,434,84
slide1_085_12_r84c436,87312,29210,436,84
slide1_085_12_r84c438,87712,29210,438,84
slide1_085_12_r84c442,88512,29210,442,84
slide1_085_12_r84c454,90912,29210,454,84
slide1_085_12_r84c456,91312,29210,456,84
slide1_085_12_r84c458,91712,29210,458,84
slide1_085_12_r84c484,96912,29210,484,84
slide1_085_12_r84c486,97312,29210,486,84
slide1_085_12_r84c488,97712,29210,488,84
slide1_085_12_r84c594,118912,29210,594,84
slide1_085_12_r84c602,120512,29210,602,84
slide1_085_12_r85c311,62312,29556,311,85
slide1_085_12_r85c393,78712,29556,393,85
slide1_085_12_r85c395,79112,29556,395,85
slide1_085_12_r85c397,79512,29556,397,85
slide1_085_12_r85c401,80312,29556,401,85
slide1_085_12_r85c403,80712,29556,403,85
slide1_085_12_r85c405,81112,29556,405,85
slide1_085_12_r85c407,81512,29556,407,85
slide1_085_12_r85c409,81912,29556,409,85
slide1_085_12_r85c411,82312,29556,411,85
slide1_085_12_r85c413,82712,29556,413,85
slide1_085_12_r85c415,83112,29556,415,85
slide1_085_12_r85c423,84712,29556,423,85
slide1_085_12_r85c425,85112,29556,425,85
slide1_085_12_r85c427,85512,29556,427,85
slide1_085_12_r85c429,85912,29556,429,85
slide1_085_12_r85c431,86312,29556,431,85
slide1_085_12_r85c433,86712,29556,433,85
slide1_085_12_r85c435,87112,29556,435,85
slide1_085_12_r85c437,87512,29556,437,85
slide1_085_12_r85c439,87912,29556,439,85
slide1_085_12_r85c441,88312,29556,441,85
slide1_085_12_r85c443,88712,29556,443,85
slide1_085_12_r85c445,89112,29556,445,85
slide1_085_12_r85c447,89512,29556,447,85
slide1_085_12_r85c449,89912,29556,449,85
slide1_085_12_r85c451,90312,29556,451,85
slide1_085_12_r85c453,90712,29556,453,85
slide1_085_12_r85c455,91112,29556,455,85
slide1_085_12_r85c457,91512,29556,457,85
slide1_085_12_r85c481,96312,29556,481,85
slide1_085_12_r85c483,96712,29556,483,85
slide1_085_12_r85c485,97112,29556,485,85
slide1_085_12_r85c487,97512,29556,487,85
slide1_085_12_r85c489,97912,29556,489,85
slide1_085_12_r85c619,123912,29556,619,85
slide1_085_12_r85c623,124712,29556,623,85
slide1_085_12_r85c647,129512,29556,647,85
slide1_085_12_r86c372,74512,29903,372,86
slide1_085_12_r86c382,76512,29903,382,86
slide1_085_12_r86c388,77712,29903,388,86
slide1_085_12_r86c390,78112,29903,390,86
slide1_085_12_r86c392,78512,29903,392,86
slide1_085_12_r86c394,78912,29903,394,86
slide1_085_12_r86c396,79312,29903,396,86
slide1_085_12_r86c398,79712,29903,398,86
slide1_085_12_r86c400,80112,29903,400,86
slide1_085_12_r86c402,80512,29903,402,86
slide1_085_12_r86c404,80912,29903,404,86
slide1_085_12_r86c406,81312,29903,406,86
slide1_085_12_r86c408,81712,29903,408,86
slide1_085_12_r86c410,82112,29903,410,86
slide1_085_12_r86c412,82512,29903,412,86
slide1_085_12_r86c414,82912,29903,414,86
slide1_085_12_r86c416,83312,29903,416,86
slide1_085_12_r86c418,83712,29903,418,86
slide1_085_12_r86c420,84112,29903,420,86
slide1_085_12_r86c422,84512,29903,422,86
slide1_085_12_r86c424,84912,29903,424,86
slide1_085_12_r86c426,85312,29903,426,86
slide1_085_12_r86c428,85712,29903,428,86
slide1_085_12_r86c430,86112,29903,430,86
slide1_085_12_r86c432,86512,29903,432,86
slide1_085_12_r86c434,86912,29903,434,86
slide1_085_12_r86c436,87312,29903,436,86
slide1_085_12_r86c438,87712,29903,438,86
slide1_085_12_r86c440,88112,29903,440,86
slide1_085_12_r86c442,88512,29903,442,86
slide1_085_12_r86c444,88912,29903,444,86
slide1_085_12_r86c446,89312,29903,446,86
slide1_085_12_r86c448,89712,29903,448,86
slide1_085_12_r86c450,90112,29903,450,86
slide1_085_12_r86c452,90512,29903,452,86
slide1_085_12_r86c454,90912,29903,454,86
slide1_085_12_r86c474,94912,29903,474,86
slide1_085_12_r86c480,96112,29903,480,86
slide1_085_12_r86c616,123312,29903,616,86
slide1_085_12_r86c618,123712,29903,618,86
slide1_085_12_r86c620,124112,29903,620,86
slide1_085_12_r86c622,124512,29903,622,86
slide1_085_12_r86c648,129712,29903,648,86
slide1_085_12_r87c375,75112,30249,375,87
slide1_085_12_r87c377,75512,30249,377,87
slide1_085_12_r87c379,75912,30249,379,87
slide1_085_12_r87c381,76312,30249,381,87
slide1_085_12_r87c383,76712,30249,383,87
slide1_085_12_r87c385,77112,30249,385,87
slide1_085_12_r87c387,77512,30249,387,87
slide1_085_12_r87c389,77912,30249,389,87
slide1_085_12_r87c391,78312,30249,391,87
slide1_085_12_r87c393,78712,30249,393,87
slide1_085_12_r87c395,79112,30249,395,87
slide1_085_12_r87c397,79512,30249,397,87
slide1_085_12_r87c399,79912,30249,399,87
slide1_085_12_r87c401,80312,30249,401,87
slide1_085_12_r87c403,80712,30249,403,87
slide1_085_12_r87c405,81112,30249,405,87
slide1_085_12_r87c407,81512,30249,407,87
slide1_085_12_r87c409,81912,30249,409,87
slide1_085_12_r87c411,82312,30249,411,87
slide1_085_12_r87c413,82712,30249,413,87
slide1_085_12_r87c415,83112,30249,415,87
slide1_085_12_r87c417,83512,30249,417,87
slide1_085_12_r87c419,83912,30249,419,87
slide1_085_12_r87c421,84312,30249,421,87
slide1_085_12_r87c423,84712,30249,423,87
slide1_085_12_r87c425,85112,30249,425,87
slide1_085_12_r87c427,85512,30249,427,87
slide1_085_12_r87c429,85912,30249,429,87
slide1_085_12_r87c431,86312,30249,431,87
slide1_085_12_r87c433,86712,30249,433,87
slide1_085_12_r87c435,87112,30249,435,87
slide1_085_12_r87c437,87512,30249,437,87
slide1_085_12_r87c439,87912,30249,439,87
slide1_085_12_r87c441,88312,30249,441,87
slide1_085_12_r87c443,88712,30249,443,87
slide1_085_12_r87c445,89112,30249,445,87
slide1_085_12_r87c447,89512,30249,447,87
slide1_085_12_r87c449,89912,30249,449,87
slide1_085_12_r87c451,90312,30249,451,87
slide1_085_12_r87c453,90712,30249,453,87
slide1_085_12_r87c455,91112,30249,455,87
slide1_085_12_r87c457,91512,30249,457,87
slide1_085_12_r87c459,91912,30249,459,87
slide1_085_12_r87c461,92312,30249,461,87
slide1_085_12_r87c463,92712,30249,463,87
slide1_085_12_r87c531,106312,30249,531,87
slide1_085_12_r87c615,123112,30249,615,87
slide1_085_12_r87c647,129512,30249,647,87
slide1_085_12_r87c649,129912,30249,649,87
slide1_085_12_r87c651,130312,30249,651,87
slide1_085_12_r87c653,130712,30249,653,87
slide1_085_12_r88c366,73312,30596,366,88
slide1_085_12_r88c370,74112,30596,370,88
slide1_085_12_r88c372,74512,30596,372,88
slide1_085_12_r88c374,74912,30596,374,88
slide1_085_12_r88c376,75312,30596,376,88
slide1_085_12_r88c378,75712,30596,378,88
slide1_085_12_r88c380,76112,30596,380,88
slide1_085_12_r88c382,76512,30596,382,88
slide1_085_12_r88c384,76912,30596,384,88
slide1_085_12_r88c386,77312,30596,386,88
slide1_085_12_r88c388,77712,30596,388,88
slide1_085_12_r88c390,78112,30596,390,88
slide1_085_12_r88c392,78512,30596,392,88
slide1_085_12_r88c394,78912,30596,394,88
slide1_085_12_r88c396,79312,30596,396,88
slide1_085_12_r88c398,79712,30596,398,88
slide1_085_12_r88c400,80112,30596,400,88
slide1_085_12_r88c402,80512,30596,402,88
slide1_085_12_r88c404,80912,30596,404,88
slide1_085_12_r88c406,81312,30596,406,88
slide1_085_12_r88c408,81712,30596,408,88
slide1_085_12_r88c410,82112,30596,410,88
slide1_085_12_r88c412,82512,30596,412,88
slide1_085_12_r88c414,82912,30596,414,88
slide1_085_12_r88c416,83312,30596,416,88
slide1_085_12_r88c418,83712,30596,418,88
slide1_085_12_r88c420,84112,30596,420,88
slide1_085_12_r88c422,84512,30596,422,88
slide1_085_12_r88c424,84912,30596,424,88
slide1_085_12_r88c426,85312,30596,426,88
slide1_085_12_r88c428,85712,30596,428,88
slide1_085_12_r88c430,86112,30596,430,88
slide1_085_12_r88c432,86512,30596,432,88
slide1_085_12_r88c434,86912,30596,434,88
slide1_085_12_r88c436,87312,30596,436,88
slide1_085_12_r88c438,87712,30596,438,88
slide1_085_12_r88c440,88112,30596,440,88
slide1_085_12_r88c442,88512,30596,442,88
slide1_085_12_r88c444,88912,30596,444,88
slide1_085_12_r88c446,89312,30596,446,88
slide1_085_12_r88c448,89712,30596,448,88
slide1_085_12_r88c450,90112,30596,450,88
slide1_085_12_r88c452,90512,30596,452,88
slide1_085_12_r88c454,90912,30596,454,88
slide1_085_12_r88c456,91312,30596,456,88
slide1_085_12_r88c458,91712,30596,458,88
slide1_085_12_r88c460,92112,30596,460,88
slide1_085_12_r88c462,92512,30596,462,88
slide1_085_12_r88c464,92912,30596,464,88
slide1_085_12_r88c466,93312,30596,466,88
slide1_085_12_r88c468,93712,30596,468,88
slide1_085_12_r88c470,94112,30596,470,88
slide1_085_12_r88c474,94912,30596,474,88
slide1_085_12_r88c476,95312,30596,476,88
slide1_085_12_r88c508,101712,30596,508,88
slide1_085_12_r88c608,121712,30596,608,88
slide1_085_12_r88c630,126112,30596,630,88
slide1_085_12_r88c648,129712,30596,648,88
slide1_085_12_r88c650,130112,30596,650,88
slide1_085_12_r88c652,130512,30596,652,88
slide1_085_12_r88c654,130912,30596,654,88
slide1_085_12_r89c363,72712,30942,363,89
slide1_085_12_r89c365,73112,30942,365,89
slide1_085_12_r89c367,73512,30942,367,89
slide1_085_12_r89c369,73912,30942,369,89
slide1_085_12_r89c371,74312,30942,371,89
slide1_085_12_r89c373,74712,30942,373,89
slide1_085_12_r89c375,75112,30942,375,89
slide1_085_12_r89c377,75512,30942,377,89
slide1_085_12_r89c379,75912,30942,379,89
slide1_085_12_r89c381,76312,30942,381,89
slide1_085_12_r89c383,76712,30942,383,89
slide1_085_12_r89c385,77112,30942,385,89
slide1_085_12_r89c387,77512,30942,387,89
slide1_085_12_r89c389,77912,30942,389,89
slide1_085_12_r89c391,78312,30942,391,89
slide1_085_12_r89c393,78712,30942,393,89
slide1_085_12_r89c395,79112,30942,395,89
slide1_085_12_r89c397,79512,30942,397,89
slide1_085_12_r89c399,79912,30942,399,89
slide1_085_12_r89c401,80312,30942,401,89
slide1_085_12_r89c403,80712,30942,403,89
slide1_085_12_r89c405,81112,30942,405,89
slide1_085_12_r89c407,81512,30942,407,89
slide1_085_12_r89c409,81912,30942,409,89
slide1_085_12_r89c411,82312,30942,411,89
slide1_085_12_r89c413,82712,30942,413,89
slide1_085_12_r89c415,83112,30942,415,89
slide1_085_12_r89c417,83512,30942,417,89
slide1_085_12_r89c419,83912,30942,419,89
slide1_085_12_r89c421,84312,30942,421,89
slide1_085_12_r89c423,84712,30942,423,89
slide1_085_12_r89c425,85112,30942,425,89
slide1_085_12_r89c427,85512,30942,427,89
slide1_085_12_r89c429,85912,30942,429,89
slide1_085_12_r89c431,86312,30942,431,89
slide1_085_12_r89c433,86712,30942,433,89
slide1_085_12_r89c435,87112,30942,435,89
slide1_085_12_r89c437,87512,30942,437,89
slide1_085_12_r89c439,87912,30942,439,89
slide1_085_12_r89c441,88312,30942,441,89
slide1_085_12_r89c443,88712,30942,443,89
slide1_085_12_r89c445,89112,30942,445,89
slide1_085_12_r89c447,89512,30942,447,89
slide1_085_12_r89c449,89912,30942,449,89
