slide,cell_type,mean_abundance,std,frac_pos_over_0.1,rank_in_slide
4245-BS1,AT1,0.17069104313850403,0.2572823762893677,0.4254152823920266,20
4245-BS1,AT2,0.24827735126018524,0.350263386964798,0.5350498338870432,13
4245-BS1,B_memory,0.05215250328183174,0.02831282839179039,0.06727574750830564,53
4245-BS1,B_naive,0.06311673671007156,0.038826216012239456,0.16245847176079733,44
4245-BS1,B_plasma_IgA,0.3148275315761566,0.2772204875946045,0.728405315614618,10
4245-BS1,B_plasma_IgG,0.04070565849542618,0.04300367087125778,0.09003322259136212,58
4245-BS1,B_plasmablast,0.07374538481235504,0.08799540251493454,0.2895348837209302,38
4245-BS1,Basal,0.2430455982685089,0.23932719230651855,0.6787375415282392,14
4245-BS1,CD4_EM_Effector,0.07471153885126114,0.04368828982114792,0.25099667774086376,36
4245-BS1,CD4_TRM,0.0746036097407341,0.04411159083247185,0.2601328903654485,37
4245-BS1,CD4_naive_CM,0.0841982290148735,0.051475491374731064,0.3229235880398671,31
4245-BS1,CD8_EM,0.07278037816286087,0.044837433844804764,0.24069767441860465,39
4245-BS1,CD8_EM_EMRA,0.05773431062698364,0.04061329737305641,0.12956810631229235,49
4245-BS1,CD8_TRM_EM,0.06685253232717514,0.04749126359820366,0.21046511627906977,43
4245-BS1,CD8_TRM,0.0903007835149765,0.06860718131065369,0.3350498338870432,29
4245-BS1,Chondrocyte,0.14356669783592224,0.07312239706516266,0.7315614617940199,22
4245-BS1,Ciliated,2.040616512298584,1.8661895990371704,0.9852159468438538,2
4245-BS1,DC_1,0.01866326294839382,0.01600833609700203,0.000664451827242525,74
4245-BS1,DC_2,0.017984943464398384,0.020554276183247566,0.006312292358803987,76
4245-BS1,DC_activated,0.02977048046886921,0.026675647124648094,0.02956810631229236,66
4245-BS1,DC_plasmacytoid,0.031524594873189926,0.02042475901544094,0.0051495016611295685,64
4245-BS1,Deuterosomal,0.15032461285591125,0.14785705506801605,0.506312292358804,21
4245-BS1,Dividing_AT2,0.011338508687913418,0.012704284861683846,0.00016611295681063124,80
4245-BS1,Dividing_Basal,0.03451624885201454,0.043664637953042984,0.0941860465116279,62
4245-BS1,Endothelia_Lymphatic,0.03412770479917526,0.024206170812249184,0.013787375415282393,63
4245-BS1,Endothelia_vascular_Cap_a,0.18389402329921722,0.18770617246627808,0.6014950166112957,17
4245-BS1,Endothelia_vascular_Cap_g,0.1435193121433258,0.14590337872505188,0.49451827242524915,23
4245-BS1,Endothelia_vascular_arterial_pulmonary,0.08820624649524689,0.07561465352773666,0.36146179401993356,30
