group,n_celltypes,mean_per_spot,max_per_spot,fraction_spots_nonzero,sum_total
Epithelial-airway,14,2.706049919128418,35.91860580444336,1.0,109600.4296875
Epithelial-alveolar,3,1.8023875951766968,10.774429321289062,0.9991605352822083,73000.3046875
Immune-lymphoid,20,1.6366569995880127,7.488365173339844,1.0,66287.8828125
Stromal-fibroblast,6,1.48795747756958,8.031655311584473,1.0,60265.25390625
Cancer-proxy (proliferative epithelial),5,1.42698335647583,7.744308948516846,1.0,57795.6796875
Vascular,7,1.312072992324829,7.024773120880127,0.9943706483630438,53141.578125
Stromal-muscle,6,1.1939810514450073,30.340770721435547,0.9889881981136734,48358.62109375
Immune-myeloid,16,1.0866646766662598,6.566411972045898,0.99982716902869,44012.09375
Stromal-other,4,0.14462201297283173,1.3771181106567383,0.8605994765690583,5857.48095703125
Other-blood,2,0.09241418540477753,0.4903104305267334,0.9726186361167349,3742.95947265625
Neural,2,0.08110224455595016,0.8655836582183838,0.7156436719174362,3284.802978515625
