cell_type,mean,median,max,fraction_nonzero
Muscle_smooth_syst_arterial,1.565459966659546,0.7708268165588379,25.077449798583984,0.9476891823260538
Fibro_adventitial,1.1377651691436768,0.9942305088043213,4.9568305015563965,0.9996768087169307
AT2,1.0745118856430054,0.6378483176231384,6.566557884216309,0.9541991781707373
Muscle_airway,0.9237295389175415,0.5095884799957275,13.267594337463379,0.9410868461147791
Fibro_alveolar,0.8492262363433838,0.525194525718689,5.9635467529296875,0.9705895932406852
Muscle_smooth_pulmonary,0.8347025513648987,0.3870429992675781,11.486410140991211,0.962555981347246
AT1,0.8034173846244812,0.5069289803504944,5.26588773727417,0.9722978900226233
Fibro_myofibroblast,0.6491521000862122,0.5823771357536316,3.0326056480407715,0.959324068516552
Endothelia_vascular_Cap_a,0.5957887172698975,0.3242058753967285,4.217816352844238,0.9530449235883467
Ciliated,0.5350484848022461,0.1448415368795395,17.914304733276367,0.7487418625051941
Endothelia_vascular_Cap_g,0.4103156328201294,0.21150457859039307,3.005835771560669,0.886790710559121
SMG_Duct,0.39208436012268066,0.0,5.472954750061035,0.4847869246040907
Endothelia_vascular_venous_systemic,0.3428158760070801,0.3032342493534088,2.0507078170776367,0.9980608523015836
SMG_Serous,0.2891210615634918,0.03397313505411148,4.207608222961426,0.6357172537974976
CD4_naive_CM,0.19151410460472107,0.1664477288722992,0.8959807753562927,0.986980008310633
B_plasmablast,0.1647815704345703,0.06369869410991669,1.4892524480819702,0.6568631977468951
Secretory_Goblet,0.1348550170660019,0.04100751504302025,3.9941840171813965,0.710697631469597
Muscle_pericyte_parenchyma,0.12684018909931183,0.07122069597244263,0.8589585423469543,0.9561383258691537
SMG_Mucous,0.12527786195278168,0.034373894333839417,1.7102398872375488,0.8002677870631146
Macro_alv,0.12420721352100372,0.0568002350628376,1.1924729347229004,0.7695184449882266
B_plasma_IgA,0.11296016722917557,0.0,1.9679360389709473,0.28667066808255226
CD8_EM_EMRA,0.10976811498403549,0.061081573367118835,0.7404104471206665,0.956092155685858
NAF_perineurial,0.10708802938461304,0.062276795506477356,0.946965217590332,0.8396509534142851
Monocyte_CD14,0.10191033035516739,0.05867132544517517,0.7225490808486938,0.938362805300337
NKT,0.09654029458761215,0.056782469153404236,0.5788754224777222,0.9745602290041091
Mast_cell,0.08800603449344635,0.07167162001132965,0.3920172452926636,0.9901657509580313
CD8_TRM,0.08675447106361389,0.04753710329532623,0.5442941784858704,0.9725287409391016
Macro_CHIT1,0.08403171598911285,0.04257049411535263,0.6544228792190552,0.7773673761484833
Endothelia_vascular_arterial_systemic,0.08384567499160767,0.05962326005101204,0.8388487100601196,0.7317974052356988
CD8_TRM_EM,0.08141100406646729,0.044351402670145035,0.5223397612571716,0.9664342767440787
Erythrocyte,0.08119146525859833,0.05085787549614906,0.5709574818611145,0.9347615310032781
B_memory,0.08049973845481873,0.05508198216557503,0.4255865216255188,0.9925666004894039
CD4_EM_Effector,0.07888060808181763,0.0504596121609211,0.4230286478996277,0.9899349000415532
MAIT,0.0784129723906517,0.04439913108944893,0.5001855492591858,0.9670344891269218
Basal,0.07759958505630493,0.04576869681477547,2.329084634780884,0.879957523431368
CD8_EM,0.07616546750068665,0.0458093024790287,0.42446422576904297,0.987487880326885
Muscle_pericyte_airway,0.07482562214136124,0.059315554797649384,0.4122903048992157,0.9597857703495083
