slide,dino_only,hex_only(19d),hexdino_perdim,hexdino_blockEQ
4245-BS1,0.466,0.442,0.4718,0.4734
4245-TS1,0.395,0.4298,0.405,0.4306
4390-BS1,0.3648,0.3977,0.3731,0.3913
