tube_id,section,section_label,n_spots,top1,top1_group,top2,top2_group,top3,top3_group,top4,top4_group,top5,top5_group
a2,a,High-risk Tumor,19,AT2 (4.17),Epithelial-alveolar,Ciliated (3.65),Epithelial-airway,Fibro_alveolar (3.01),Stromal-fibroblast,AT1 (2.88),Epithelial-alveolar,Endothelia_vascular_Cap_a (2.27),Vascular
a3,a,High-risk Tumor,19,AT2 (3.66),Epithelial-alveolar,Fibro_alveolar (3.01),Stromal-fibroblast,AT1 (2.98),Epithelial-alveolar,Endothelia_vascular_Cap_a (2.35),Vascular,Ciliated (1.75),Epithelial-airway
a4,a,High-risk Tumor,27,AT2 (3.46),Epithelial-alveolar,Fibro_alveolar (2.70),Stromal-fibroblast,AT1 (2.57),Epithelial-alveolar,Ciliated (2.41),Epithelial-airway,Endothelia_vascular_Cap_a (2.05),Vascular
a5,a,High-risk Tumor,18,AT2 (2.69),Epithelial-alveolar,Fibro_alveolar (1.91),Stromal-fibroblast,AT1 (1.85),Epithelial-alveolar,Fibro_adventitial (1.62),Stromal-fibroblast,Endothelia_vascular_Cap_a (1.50),Vascular
a6,a,High-risk Tumor,27,AT2 (3.77),Epithelial-alveolar,Fibro_alveolar (2.97),Stromal-fibroblast,AT1 (2.89),Epithelial-alveolar,Ciliated (2.89),Epithelial-airway,Endothelia_vascular_Cap_a (2.23),Vascular
a7,a,High-risk Tumor,23,AT2 (3.60),Epithelial-alveolar,Fibro_alveolar (2.94),Stromal-fibroblast,AT1 (2.69),Epithelial-alveolar,Ciliated (2.49),Epithelial-airway,Endothelia_vascular_Cap_a (2.20),Vascular
a8,a,High-risk Tumor,25,AT2 (3.39),Epithelial-alveolar,Fibro_alveolar (2.65),Stromal-fibroblast,AT1 (2.50),Epithelial-alveolar,Ciliated (2.49),Epithelial-airway,Endothelia_vascular_Cap_a (1.99),Vascular
a9,a,High-risk Tumor,19,AT2 (2.74),Epithelial-alveolar,Ciliated (2.28),Epithelial-airway,Fibro_adventitial (1.91),Stromal-fibroblast,AT1 (1.87),Epithelial-alveolar,Fibro_alveolar (1.83),Stromal-fibroblast
a10,a,High-risk Tumor,14,AT2 (3.88),Epithelial-alveolar,Fibro_alveolar (2.79),Stromal-fibroblast,AT1 (2.78),Epithelial-alveolar,Ciliated (2.16),Epithelial-airway,Endothelia_vascular_Cap_a (2.13),Vascular
b1,b,Low-risk Tumor,24,Fibro_adventitial (1.74),Stromal-fibroblast,AT2 (1.63),Epithelial-alveolar,Fibro_alveolar (1.22),Stromal-fibroblast,SMG_Duct (1.16),Epithelial-airway,AT1 (1.04),Epithelial-alveolar
b2,b,Low-risk Tumor,21,AT2 (2.13),Epithelial-alveolar,Fibro_adventitial (1.97),Stromal-fibroblast,SMG_Duct (1.50),Epithelial-airway,Fibro_alveolar (1.37),Stromal-fibroblast,AT1 (1.35),Epithelial-alveolar
b3,b,Low-risk Tumor,27,Fibro_adventitial (2.60),Stromal-fibroblast,AT2 (2.00),Epithelial-alveolar,SMG_Duct (1.95),Epithelial-airway,Ciliated (1.78),Epithelial-airway,SMG_Serous (1.45),Epithelial-airway
b4,b,Low-risk Tumor,31,SMG_Duct (2.38),Epithelial-airway,Fibro_adventitial (2.33),Stromal-fibroblast,AT2 (2.28),Epithelial-alveolar,SMG_Serous (1.61),Epithelial-airway,Fibro_alveolar (1.59),Stromal-fibroblast
b5,b,Low-risk Tumor,25,AT2 (2.29),Epithelial-alveolar,Fibro_adventitial (2.00),Stromal-fibroblast,Fibro_alveolar (1.57),Stromal-fibroblast,AT1 (1.51),Epithelial-alveolar,SMG_Duct (1.37),Epithelial-airway
b6,b,Low-risk Tumor,25,AT2 (2.22),Epithelial-alveolar,Fibro_adventitial (2.11),Stromal-fibroblast,SMG_Duct (1.95),Epithelial-airway,Fibro_alveolar (1.57),Stromal-fibroblast,AT1 (1.48),Epithelial-alveolar
b7,b,Low-risk Tumor,27,AT2 (2.57),Epithelial-alveolar,Fibro_adventitial (2.17),Stromal-fibroblast,SMG_Duct (2.02),Epithelial-airway,AT1 (1.74),Epithelial-alveolar,Fibro_alveolar (1.72),Stromal-fibroblast
b8,b,Low-risk Tumor,30,AT2 (2.77),Epithelial-alveolar,Fibro_adventitial (2.19),Stromal-fibroblast,Fibro_alveolar (2.12),Stromal-fibroblast,AT1 (1.96),Epithelial-alveolar,Ciliated (1.69),Epithelial-airway
b9,b,Low-risk Tumor,21,AT2 (2.52),Epithelial-alveolar,Fibro_adventitial (2.03),Stromal-fibroblast,Fibro_alveolar (2.00),Stromal-fibroblast,AT1 (1.89),Epithelial-alveolar,Endothelia_vascular_Cap_a (1.49),Vascular
b10,b,Low-risk Tumor,30,AT2 (1.81),Epithelial-alveolar,Fibro_adventitial (1.78),Stromal-fibroblast,SMG_Duct (1.45),Epithelial-airway,Fibro_alveolar (1.30),Stromal-fibroblast,AT1 (1.20),Epithelial-alveolar
b11,b,Low-risk Tumor,25,AT2 (2.06),Epithelial-alveolar,Fibro_adventitial (1.70),Stromal-fibroblast,Fibro_alveolar (1.61),Stromal-fibroblast,AT1 (1.49),Epithelial-alveolar,Endothelia_vascular_Cap_a (1.17),Vascular
b12,b,Low-risk Tumor,22,AT2 (2.71),Epithelial-alveolar,Fibro_alveolar (2.03),Stromal-fibroblast,AT1 (1.90),Epithelial-alveolar,Fibro_adventitial (1.62),Stromal-fibroblast,Endothelia_vascular_Cap_a (1.46),Vascular
b13,b,Low-risk Tumor,31,Fibro_adventitial (1.93),Stromal-fibroblast,AT2 (1.64),Epithelial-alveolar,SMG_Duct (1.41),Epithelial-airway,Fibro_alveolar (1.10),Stromal-fibroblast,SMG_Serous (1.08),Epithelial-airway
b14,b,Low-risk Tumor,20,AT2 (2.00),Epithelial-alveolar,Fibro_adventitial (1.93),Stromal-fibroblast,SMG_Duct (1.88),Epithelial-airway,Ciliated (1.76),Epithelial-airway,Fibro_alveolar (1.33),Stromal-fibroblast
b15,b,Low-risk Tumor,25,Fibro_adventitial (1.88),Stromal-fibroblast,AT2 (1.79),Epithelial-alveolar,SMG_Duct (1.35),Epithelial-airway,Fibro_alveolar (1.17),Stromal-fibroblast,AT1 (1.14),Epithelial-alveolar
b16,b,Low-risk Tumor,25,Fibro_adventitial (2.29),Stromal-fibroblast,SMG_Duct (2.14),Epithelial-airway,AT2 (2.10),Epithelial-alveolar,Ciliated (1.98),Epithelial-airway,SMG_Serous (1.60),Epithelial-airway
