rep,4245-BS1,4245-TS1,4390-BS1
prediction_log1p,0.6122,0.6438,0.7319
dino768,0.3728,0.4519,0.5091
dino19_pca,0.3609,0.4338,0.487
dino19_imp,0.3526,0.4304,0.486
hex19,0.36,0.4242,0.477
dino19pca+hex19,0.381,0.4487,0.4982
dino19imp+hex19,0.3791,0.4419,0.4965
