spot_id,X,Y,tile_x_topleft,tile_y_topleft
slide1_085_12_x200y200,200,200,0,0
slide1_085_12_x600y200,600,200,400,0
slide1_085_12_x1000y200,1000,200,800,0
slide1_085_12_x1400y200,1400,200,1200,0
slide1_085_12_x1800y200,1800,200,1600,0
slide1_085_12_x2200y200,2200,200,2000,0
slide1_085_12_x2600y200,2600,200,2400,0
slide1_085_12_x3000y200,3000,200,2800,0
slide1_085_12_x3400y200,3400,200,3200,0
slide1_085_12_x3800y200,3800,200,3600,0
slide1_085_12_x4200y200,4200,200,4000,0
slide1_085_12_x4600y200,4600,200,4400,0
slide1_085_12_x5000y200,5000,200,4800,0
slide1_085_12_x5400y200,5400,200,5200,0
slide1_085_12_x5800y200,5800,200,5600,0
slide1_085_12_x6200y200,6200,200,6000,0
slide1_085_12_x6600y200,6600,200,6400,0
slide1_085_12_x7000y200,7000,200,6800,0
slide1_085_12_x7400y200,7400,200,7200,0
slide1_085_12_x7800y200,7800,200,7600,0
slide1_085_12_x203000y200,203000,200,202800,0
slide1_085_12_x203400y200,203400,200,203200,0
slide1_085_12_x203800y200,203800,200,203600,0
slide1_085_12_x204200y200,204200,200,204000,0
slide1_085_12_x204600y200,204600,200,204400,0
slide1_085_12_x205000y200,205000,200,204800,0
slide1_085_12_x205400y200,205400,200,205200,0
slide1_085_12_x205800y200,205800,200,205600,0
slide1_085_12_x206200y200,206200,200,206000,0
slide1_085_12_x206600y200,206600,200,206400,0
slide1_085_12_x207000y200,207000,200,206800,0
slide1_085_12_x207400y200,207400,200,207200,0
slide1_085_12_x207800y200,207800,200,207600,0
slide1_085_12_x208200y200,208200,200,208000,0
slide1_085_12_x208600y200,208600,200,208400,0
slide1_085_12_x209000y200,209000,200,208800,0
slide1_085_12_x209400y200,209400,200,209200,0
slide1_085_12_x209800y200,209800,200,209600,0
slide1_085_12_x210200y200,210200,200,210000,0
slide1_085_12_x210600y200,210600,200,210400,0
slide1_085_12_x211000y200,211000,200,210800,0
slide1_085_12_x211400y200,211400,200,211200,0
slide1_085_12_x211800y200,211800,200,211600,0
slide1_085_12_x212200y200,212200,200,212000,0
slide1_085_12_x212600y200,212600,200,212400,0
slide1_085_12_x213000y200,213000,200,212800,0
slide1_085_12_x213400y200,213400,200,213200,0
slide1_085_12_x213800y200,213800,200,213600,0
slide1_085_12_x214200y200,214200,200,214000,0
slide1_085_12_x214600y200,214600,200,214400,0
slide1_085_12_x215000y200,215000,200,214800,0
slide1_085_12_x215400y200,215400,200,215200,0
slide1_085_12_x215800y200,215800,200,215600,0
slide1_085_12_x216200y200,216200,200,216000,0
slide1_085_12_x216600y200,216600,200,216400,0
slide1_085_12_x217000y200,217000,200,216800,0
slide1_085_12_x217400y200,217400,200,217200,0
slide1_085_12_x217800y200,217800,200,217600,0
