sample,section,section_label,n_detected,median_log2
a2,a,High-risk Tumor,5748,15.842284034776448
a3,a,High-risk Tumor,1043,20.03402514597491
a6,a,High-risk Tumor,5147,16.197070757248728
a7,a,High-risk Tumor,4799,16.42090433388147
a4,a,High-risk Tumor,4926,16.20361508013491
a8,a,High-risk Tumor,5682,15.766283020542149
a9,a,High-risk Tumor,3174,17.455839759032823
a10,a,High-risk Tumor,919,20.608539999858863
b2,b,Low-risk Tumor,1020,20.561272711931345
b3,b,Low-risk Tumor,555,21.290735488204785
b4,b,Low-risk Tumor,2341,18.548524677126164
b7,b,Low-risk Tumor,1034,20.57209256439961
b8,b,Low-risk Tumor,1207,20.08460858777374
b11,b,Low-risk Tumor,1253,19.93471022135544
b12,b,Low-risk Tumor,4305,16.925635566009056
b13,b,Low-risk Tumor,1076,20.110792957887156
b1,b,Low-risk Tumor,2461,18.103564435058072
b6,b,Low-risk Tumor,1145,19.874026773270565
b5,b,Low-risk Tumor,3050,17.717170875298052
b10,b,Low-risk Tumor,5319,16.129864566663894
b9,b,Low-risk Tumor,4392,16.531563917795538
b14,b,Low-risk Tumor,5855,15.607284072782896
b15,b,Low-risk Tumor,5700,16.135001711775885
b16,b,Low-risk Tumor,5645,15.885265006328526
b19,b,Low-risk Tumor,4729,16.341221705884454
b17,b,Low-risk Tumor,5605,16.044648122668576
b18,b,Low-risk Tumor,5935,15.711621270291808
b20,b,Low-risk Tumor,6545,15.30488959349543
b21,b,Low-risk Tumor,3615,17.192841812680395
t1,t,Middle-risk Tumor (ctrl),5523,15.991907091996328
t2,t,Middle-risk Tumor (ctrl),5817,15.653418912556479
t3,t,Middle-risk Tumor (ctrl),4490,16.732862104434993
c1,c,High-risk T-cell,3771,17.299708867217475
c2,c,High-risk T-cell,2064,18.678269989288317
c3,c,High-risk T-cell,5192,16.060970798717474
c4,c,High-risk T-cell,3880,17.183499376919706
c5,c,High-risk T-cell,4147,16.98700858624569
d2,d,Low-risk T-cell,4271,16.92546171870376
d1,d,Low-risk T-cell,6175,15.606324238125143
d3,d,Low-risk T-cell,5365,16.126371746808
d4,d,Low-risk T-cell,2819,18.045599703768875
d5,d,Low-risk T-cell,4854,16.652039591973057
d6,d,Low-risk T-cell,4341,16.713225394969523
d7,d,Low-risk T-cell,6705,15.380538852718828
d8,d,Low-risk T-cell,4297,16.74980397263092
d9,d,Low-risk T-cell,4746,16.524379932994506
