cell_type,n_dominant,abundance_at_example,slide,spot_id,x,y
Ciliated,7432,4.623,4390-BS1,TCGA-05-4390-01A-01-BS1_x17136y2352,17136,2352
SMG_Duct,2619,2.709,4390-BS1,TCGA-05-4390-01A-01-BS1_x29456y10416,29456,10416
Fibro_adventitial,1915,1.779,4245-BS1,TCGA-05-4245-01A-01-BS1_x10416y11536,10416,11536
Muscle_smooth_syst_arterial,1472,3.257,4390-BS1,TCGA-05-4390-01A-01-BS1_x7056y19152,7056,19152
SMG_Serous,1038,2.795,4245-TS1,TCGA-05-4245-01A-01-TS1_x10192y8848,10192,8848
AT2,732,2.322,4390-BS1,TCGA-05-4390-01A-01-BS1_x7952y13328,7952,13328
Fibro_alveolar,80,2.132,4390-BS1,TCGA-05-4390-01A-01-BS1_x25648y3248,25648,3248
Muscle_airway,39,2.032,4245-BS1,TCGA-05-4245-01A-01-BS1_x9744y7952,9744,7952
Suprabasal,15,1.374,4390-BS1,TCGA-05-4390-01A-01-BS1_x26544y4368,26544,4368
Endothelia_vascular_Cap_a,14,0.979,4390-BS1,TCGA-05-4390-01A-01-BS1_x31248y16016,31248,16016
AT1,11,1.451,4390-BS1,TCGA-05-4390-01A-01-BS1_x31024y5264,31024,5264
Endothelia_vascular_venous_systemic,9,1.026,4390-BS1,TCGA-05-4390-01A-01-BS1_x20720y18032,20720,18032
B_plasma_IgG,6,0.42,4245-BS1,TCGA-05-4245-01A-01-BS1_x12208y9072,12208,9072
Macro_CHIT1,6,1.051,4245-TS1,TCGA-05-4245-01A-01-TS1_x7056y9072,7056,9072
Basal,6,0.791,4245-BS1,TCGA-05-4245-01A-01-BS1_x10640y15792,10640,15792
Secretory_Goblet,4,0.788,4245-BS1,TCGA-05-4245-01A-01-BS1_x9072y16688,9072,16688
B_plasmablast,2,1.025,4245-TS1,TCGA-05-4245-01A-01-TS1_x7728y7280,7728,7280
Macro_alv,1,0.3,4245-BS1,TCGA-05-4245-01A-01-BS1_x2800y11984,2800,11984
