rep,4245-BS1,4245-TS1,4390-BS1
hist2cell,0.6122,0.6438,0.7319
dino768,0.3728,0.4519,0.5091
PCA,0.3609,0.4338,0.487
hex_orig,0.36,0.4242,0.477
hex,0.3418,0.4238,0.473
pca+hex_orig,0.381,0.4487,0.4982
pca+hex,0.3789,0.4402,0.4963
