cell_type,mean,median,max,fraction_nonzero
Muscle_smooth_syst_arterial,0.9634649157524109,0.20286259055137634,25.077449798583984,0.9249602188660283
AT2,0.8475880026817322,0.49697941541671753,6.566557884216309,0.9723067474386533
Fibro_adventitial,0.7088169455528259,0.2842557430267334,4.9568305015563965,0.9994416682951341
Fibro_alveolar,0.638874888420105,0.3462297320365906,5.9635467529296875,0.9820217191033193
AT1,0.5985985398292542,0.31828999519348145,5.26588773727417,0.9829987995868346
Muscle_airway,0.579556405544281,0.12885387241840363,13.267594337463379,0.9528209709388348
Muscle_smooth_pulmonary,0.5077245235443115,0.09139825403690338,11.486410140991211,0.7686273415035872
Endothelia_vascular_Cap_a,0.471639484167099,0.282016396522522,4.217816352844238,0.9715250830518412
Fibro_myofibroblast,0.39281517267227173,0.08468755334615707,3.0326056480407715,0.6032774071075626
Ciliated,0.364962637424469,0.10063260793685913,17.914304733276367,0.8477987772535663
Endothelia_vascular_Cap_g,0.3387863039970398,0.22101223468780518,3.005835771560669,0.9314647832277155
SMG_Duct,0.23876439034938812,0.0,5.472954750061035,0.3734122442142877
Endothelia_vascular_venous_systemic,0.21484164893627167,0.10640658438205719,2.0507078170776367,0.9984366712263756
SMG_Serous,0.17605824768543243,0.0014963001012802124,4.207608222961426,0.5306105357192709
CD4_naive_CM,0.12812644243240356,0.051201846450567245,0.8959807753562927,0.9915412746712822
B_plasmablast,0.09972573816776276,0.0,1.4892524480819702,0.40381340554423384
Schwann_nonmyelinating,0.09691741317510605,0.1021018996834755,0.8434298038482666,0.8597191591524525
Muscle_pericyte_parenchyma,0.09585987776517868,0.05105643719434738,0.8589585423469543,0.9733675776778984
Macro_alv,0.0950508713722229,0.05186449736356735,1.1924729347229004,0.8563970855085006
Secretory_Goblet,0.08218539506196976,0.0,3.9941840171813965,0.4424499595209514
CD8_EM_EMRA,0.08114522695541382,0.040245845913887024,0.7404104471206665,0.9733396610926551
SMG_Mucous,0.07638907432556152,0.004042372107505798,1.7102398872375488,0.5447363278523771
NAF_perineurial,0.07465802878141403,0.03168711066246033,0.946965217590332,0.8924932302280785
Monocyte_CD14,0.07202053815126419,0.03093022294342518,0.7225490808486938,0.9621451104100947
NKT,0.07145611196756363,0.035941679030656815,0.5788754224777222,0.9846179615309455
B_plasma_IgA,0.06993524730205536,0.0,1.9679360389709473,0.37695765054018593
CD8_TRM,0.06867574155330658,0.04176956042647362,0.5442941784858704,0.9833896317802406
Basal,0.06722097098827362,0.05016569048166275,2.329084634780884,0.9273331286117082
CD8_TRM_EM,0.06297576427459717,0.03594415634870529,0.5223397612571716,0.979704642528126
Macro_CHIT1,0.06201363354921341,0.030090486630797386,0.6544228792190552,0.8597191591524525
Mast_cell,0.061704766005277634,0.02634621225297451,0.3920172452926636,0.9940537673431786
B_memory,0.05979711934924126,0.03138650581240654,0.4255865216255188,0.9955054297758298
CD4_EM_Effector,0.059727732092142105,0.03286481648683548,0.4230286478996277,0.9939141844169621
Erythrocyte,0.0592966191470623,0.029890229925513268,0.5709574818611145,0.9590463694480891
MAIT,0.05920856073498726,0.03160480037331581,0.5001855492591858,0.9800675581362888
CD8_EM,0.058516725897789,0.03326300531625748,0.42446422576904297,0.9924346053990676
