cell_type,gene,r,p,rank,direction,p_bh
AT1,PEBP1,-0.6376404278212748,1.8801278132141164e-06,1,neg,6.064928429722956e-06
AT1,UPF2,-0.5737685499039646,3.0646234208120404e-05,2,neg,4.498529792017674e-05
AT1,GSTK1,-0.5709424027728702,3.421787176094426e-05,3,neg,4.845008390930161e-05
AT1,CLPP,-0.5496296962727086,7.613116799398689e-05,4,neg,9.428008420307974e-05
AT1,CCT3,-0.5457311922525525,8.761331533690964e-05,5,neg,0.00010571742423759836
AT2,UPF2,-0.6158766779161963,5.21520985574675e-06,1,neg,1.22350964357695e-05
AT2,GSTK1,-0.5738436381160015,3.055618113556591e-05,2,neg,4.4935560493479275e-05
AT2,CCT3,-0.564657555053252,4.356711322706097e-05,3,neg,5.818646173897959e-05
AT2,CLPP,-0.5610421462802274,4.9951470341369486e-05,4,neg,6.508334897898304e-05
AT2,PEBP1,-0.5587184520637658,5.4494911603031326e-05,5,neg,7.042961111861883e-05
B_memory,GSTK1,-0.5873925407140556,1.7752593599817956e-05,1,neg,2.983629176439993e-05
B_memory,UPF2,-0.5720679921938856,3.275200556784874e-05,2,neg,4.695628038401253e-05
B_memory,ADK,-0.5693844319495321,3.6346114184349076e-05,3,neg,5.0745011077625236e-05
B_memory,PPAT,-0.5643398843408126,4.4096576465646464e-05,4,neg,5.861319655721928e-05
B_memory,TRIM14,-0.5628890773424096,4.6590311400640516e-05,5,neg,6.130304131663226e-05
B_naive,GSTK1,-0.656181196127908,7.38958160662051e-07,1,neg,3.844462337295859e-06
B_naive,GDI2,-0.6062565053489355,7.993031415187701e-06,2,neg,1.648047714471691e-05
B_naive,CCT3,-0.6027801433640959,9.294803317017042e-06,3,neg,1.833651031779188e-05
B_naive,UPF2,-0.5974752375040873,1.1661763432035954e-05,4,neg,2.154716459534672e-05
B_naive,TRIM14,-0.5930399909702091,1.4053985772033428e-05,5,neg,2.487431110094412e-05
B_plasma_IgA,GRB2,-0.8081039695970278,1.1265877120081313e-11,1,neg,9.01270169606505e-09
B_plasma_IgA,PAXX,-0.7413566322469739,3.795295855368863e-09,2,neg,6.218788052415726e-07
B_plasma_IgA,CSK,-0.7393318111036239,4.402884057341794e-09,3,neg,6.218788052415726e-07
B_plasma_IgA,IFI16,-0.7353246442251846,5.883641573944942e-09,4,neg,6.218788052415726e-07
B_plasma_IgA,CORO1A,-0.734317513359973,6.3232130642632e-09,5,neg,6.218788052415726e-07
B_plasma_IgG,UBA7,-0.6217212499894547,3.995546465240807e-06,1,neg,9.865546827755079e-06
B_plasma_IgG,HBA1,-0.6145585430631831,5.534054625888629e-06,2,neg,1.256706388619927e-05
B_plasma_IgG,STAT1,-0.6063589270580333,7.957362496258114e-06,3,neg,1.6470201492970725e-05
B_plasma_IgG,H1-10,-0.5657052987106782,4.186180032683673e-05,4,neg,5.6665719562553944e-05
B_plasma_IgG,HBB,-0.5642738929684935,4.420730051268862e-05,5,neg,5.8649818258956706e-05
B_plasmablast,HBA1,-0.6306018948056129,2.6375935091582647e-06,1,neg,7.389553039091438e-06
B_plasmablast,DLST,-0.5947279678771992,1.3094853573702991e-05,2,neg,2.3701092441091388e-05
B_plasmablast,GRB2,-0.587734446724056,1.7505443520748898e-05,3,neg,2.9607515468497076e-05
B_plasmablast,AIP,-0.5820953996866617,2.2015026342581123e-05,4,neg,3.480636575902154e-05
B_plasmablast,ARID1A,-0.5729957516656916,3.158729089247636e-05,5,neg,4.602883918757939e-05
Basal,MFF,-0.6902621529125923,1.1111051123613436e-07,1,neg,2.777762780903359e-06
Basal,UGDH,-0.6771601633609513,2.3706910834420114e-07,2,neg,2.9397727785429595e-06
Basal,PRDX6,-0.6287070146809908,2.885136574759528e-06,3,neg,7.855242636854975e-06
Basal,KIF5B,-0.6212430442001421,4.084423596673048e-06,4,neg,9.992473631004398e-06
Basal,TPD52L2,-0.6199712328261454,4.329767227861936e-06,5,neg,1.043317404304081e-05
CD4_EM_Effector,GSTK1,-0.6337762244463419,2.266507026726927e-06,1,neg,6.765692617095305e-06
CD4_EM_Effector,PEBP1,-0.5967751955569572,1.2012535847150119e-05,2,neg,2.2092019948781828e-05
CD4_EM_Effector,UPF2,-0.5956057592415116,1.2620245688932386e-05,3,neg,2.2998169820377926e-05
CD4_EM_Effector,GDI2,-0.5855626523023268,1.9130735165351354e-05,4,neg,3.1555851819136256e-05
CD4_EM_Effector,PPAT,-0.5821960531625956,2.1925957464974388e-05,5,neg,3.473419004352378e-05
CD4_TRM,GSTK1,-0.6406845807361276,1.6197586232280514e-06,1,neg,5.759141771477516e-06
CD4_TRM,TRIM14,-0.5979317709325159,1.1438113881157008e-05,2,neg,2.1329816095397683e-05
CD4_TRM,GDI2,-0.593355672939567,1.3869839256885896e-05,3,neg,2.4657492012241595e-05
CD4_TRM,UPF2,-0.5888610676764623,1.67132616928356e-05,4,neg,2.8567161958322326e-05
CD4_TRM,PPAT,-0.5879587261275956,1.7345042969907354e-05,5,neg,2.939837791509721e-05
CD4_naive_CM,PGGT1B,-0.5633288301682859,4.582114244566782e-05,1,neg,6.0390303058540776e-05
CD4_naive_CM,ACAD8,-0.5046066509798239,0.0003488767241173196,2,neg,0.000377164026072778
CD4_naive_CM,PDXP,-0.49527432986994135,0.0004661734468549561,3,neg,0.000496589557235639
CD4_naive_CM,ADK,-0.48979654379763804,0.0005505258458886608,4,neg,0.0005825670326864136
CD4_naive_CM,COQ8A,-0.4857188678398718,0.0006219693385640657,5,neg,0.0006512767943079222
CD8_EM,GSTK1,-0.6383191166188492,1.8189274313407111e-06,1,neg,5.971684204081407e-06
CD8_EM,UPF2,-0.5966304443357117,1.2086267949795726e-05,2,neg,2.2176638439992157e-05
CD8_EM,PEBP1,-0.5963811746545362,1.2214215981964927e-05,3,neg,2.2360120790782473e-05
CD8_EM,GDI2,-0.59114758924784,1.5205864976719496e-05,4,neg,2.6444982568207823e-05
CD8_EM,CCT3,-0.583500136422962,2.0801493532340842e-05,5,neg,3.3465049154292004e-05
CD8_EM_EMRA,UPF2,-0.576581618920916,2.743358562118381e-05,1,neg,4.10990046759308e-05
CD8_EM_EMRA,ADK,-0.5648571327336596,4.323745854484251e-05,2,neg,5.802547911551172e-05
CD8_EM_EMRA,PPAT,-0.5615122521943984,4.907553168487233e-05,3,neg,6.425601529934183e-05
CD8_EM_EMRA,CLPP,-0.5564952199680695,5.919242538787728e-05,4,neg,7.504586420016137e-05
CD8_EM_EMRA,GSTK1,-0.5520787154802471,6.963849997876359e-05,5,neg,8.696931948672344e-05
CD8_TRM,GSTK1,-0.6825928268926407,1.739593995520039e-07,1,neg,2.9397727785429595e-06
CD8_TRM,PEBP1,-0.6809288955034977,1.9139117179989285e-07,2,neg,2.9397727785429595e-06
CD8_TRM,CALML5,-0.6229266080282964,3.7793957026188707e-06,3,neg,9.46408838575774e-06
CD8_TRM,GDI2,-0.602159863951657,9.546659422099424e-06,4,neg,1.8663515610588165e-05
CD8_TRM,CCT3,-0.5890408818453458,1.6589919907827877e-05,5,neg,2.8419563011268313e-05
CD8_TRM_EM,GSTK1,-0.6391277704723479,1.748419432789916e-06,1,neg,5.881362427512203e-06
CD8_TRM_EM,PEBP1,-0.6259492585098816,3.2840045969262377e-06,2,neg,8.447600249327943e-06
CD8_TRM_EM,UPF2,-0.5938971540486677,1.3559139222962813e-05,3,neg,2.421274861243359e-05
CD8_TRM_EM,GDI2,-0.5876670094748251,1.7553939354764125e-05,4,neg,2.9626901864580802e-05
CD8_TRM_EM,CCT3,-0.581916973532858,2.217373364787889e-05,5,neg,3.498813987830989e-05
Chondrocyte,DLST,-0.7588584486088388,9.907037412659747e-10,1,neg,2.823034250809542e-07
Chondrocyte,CUTC,-0.7361435343406462,5.547527326399404e-09,2,neg,6.218788052415726e-07
Chondrocyte,PTK2B,-0.7264001636204259,1.1018935763829063e-08,3,neg,7.345957175886042e-07
Chondrocyte,MECP2,-0.7100109960190593,3.280917582060283e-08,4,neg,1.2030302165083846e-06
Chondrocyte,CCAR2,-0.7073895855456388,3.8797038026672226e-08,5,neg,1.2932346008890743e-06
Ciliated,GSTK1,-0.6371327316374719,1.927150638847408e-06,1,neg,6.134948549876741e-06
Ciliated,MFF,-0.5844202836480415,2.0040225761075448e-05,2,neg,3.2519636123449006e-05
Ciliated,ISLR,-0.5823576393457848,2.178366061578174e-05,3,neg,3.4645981098658835e-05
Ciliated,OGFR,-0.5762871345348943,2.7754797660151098e-05,4,neg,4.150250117405772e-05
Ciliated,F11R,-0.5739913222343835,3.0379771425614877e-05,5,neg,4.4758410940132414e-05
DC_1,GSTK1,-0.644078264049691,1.3691187590314513e-06,1,neg,5.140110011767741e-06
DC_1,CCT3,-0.5791448260944504,2.4778374937861614e-05,2,neg,3.8120576827479405e-05
DC_1,PEBP1,-0.5658639826637417,4.1608920634317315e-05,3,neg,5.651466300077055e-05
DC_1,GDI2,-0.5647462347947183,4.3420352555223474e-05,4,neg,5.808742816752304e-05
DC_1,ALDH9A1,-0.56357650522141,4.539306721107472e-05,5,neg,6.0023890527040955e-05
DC_2,GSTK1,-0.6689982363565874,3.729317770151397e-07,1,neg,3.1077648084594975e-06
DC_2,PEBP1,-0.6223603430514884,3.879557661123911e-06,2,neg,9.668679529280775e-06
DC_2,CCT3,-0.6078057892718385,7.4689177764764025e-06,3,neg,1.58913144180349e-05
DC_2,GDI2,-0.6075001638842887,7.569728579071011e-06,4,neg,1.5987422563766074e-05
DC_2,UPF2,-0.5837030609319397,2.0631360301059942e-05,5,neg,3.3276387582354745e-05
DC_activated,PEBP1,-0.6511577697701005,9.576805493072271e-07,1,neg,4.304182244077425e-06
DC_activated,GSTK1,-0.6398496380772324,1.6876272306287632e-06,2,neg,5.815520302993681e-06
