tube_id,section,H2C_canon1,P_canon1,H2C_canon2,P_canon2,H2C_canon3,P_canon3
a2,a,0.9361962460055503,1.1032638509833266,2.469518921941015,1.7382032314678861,-0.9400633549778099,-1.2117156037112538
a3,a,0.9798923831902859,0.7067479574497562,-0.07107634043996801,-0.40231362766115614,-2.4587974939264723,-1.252700074442698
a4,a,1.2810868299081604,1.2423586680701164,1.1103732716869126,1.5158475429739762,-0.7988261161459496,-0.8843487171099609
a6,a,0.915048857578056,1.1308900723336732,1.9724787896309703,2.865430746877181,-1.1102800053018238,-1.483705075784246
a7,a,0.8614459140616201,0.8846369499291113,1.6752416624600177,1.5021131780641055,0.654285719784193,-1.1710620449784248
a8,a,0.976868774890471,1.1822384967882116,1.2201805097740286,1.842777331558032,-0.5073786679110693,-0.8521508878020136
a9,a,0.9471440103747032,0.07282680311951073,-0.1683542226001648,1.0779874042526345,-0.49171145771515656,0.6177654922776555
a10,a,0.1765432282922116,0.6417769318799599,0.6215306266507373,-0.17026166114218377,-2.0938772529730185,-0.42834002487139833
b1,b,0.10313279604841273,0.12123444946493539,-1.1202866244149574,-1.4717487027371285,0.7778362769676805,0.3311704340715089
b2,b,0.3999500461087193,0.7604989080147755,-0.6573171323099412,-0.8349796312006802,0.09069257911000458,-0.6476189881203884
b3,b,0.34852540519597935,0.5942123603757793,-1.0301871982383068,-0.30878955748704406,0.03778746310242126,-0.46441582234721723
b4,b,0.7279095142355383,0.5283078232143478,-0.8028250353332269,-0.6930677687852717,1.8086029021501215,0.8679883905593956
b5,b,0.5623077819253401,0.2480473954763998,-0.39357239669709976,-0.5266531034238443,0.5080158770716287,1.6040378406838032
b6,b,0.42597700949476425,0.43916676384468284,-0.21021659613883678,-0.14278612917813185,1.0068163617817734,-0.29946599282051417
b7,b,0.8637437171160939,0.7719935855714787,-0.576189560064058,-0.45510188921736766,0.14851394811587965,-0.1603383798709863
b8,b,0.8305096893175746,0.569619300509924,-0.09416355593993943,-0.9498368658645685,0.32937650667590646,0.5627137489664336
