scope,modality,n,pearson_r,pearson_p_param,pearson_p_perm_2sided,spearman_rho,spearman_p_param
slide1,Hist2Cell axis 1,46,-0.0977162525718059,0.5182445706380658,0.515,0.0923219241443108,0.5417087578345627
slide1,Proteomics axis 1,46,-0.10587610209801636,0.48374204959524425,0.494,-0.016219549799568304,0.9148001969882433
slide2,Hist2Cell axis 1,48,-0.02057122093389386,0.889624496490327,0.886,0.24598349978289186,0.09192963152272222
slide2,Proteomics axis 1,48,-0.008142521596492897,0.9561967164547167,0.956,0.22351280937907075,0.12673224302713934
combined (n=94),Hist2Cell axis 1,94,-0.06137844655278435,0.5567481761395683,0.551,0.09035870389769896,0.38642870404266794
combined (n=94),Proteomics axis 1,94,-0.060472937393076985,0.5625942924060282,0.572,0.06325181519344002,0.5447466708558525
