,feature_type,axis1,axis2,axis3
AARSD1,gene,0.016156075208271527,0.003219309500428085,-0.007241226292314721
AASDHPPT,gene,-0.0005332995572346013,-0.024656350028977196,-0.0014790588267567582
AATF,gene,0.015221820065136182,0.011879624062517847,0.006574411719716394
ABCB10,gene,0.001186202916053464,0.0191510165748814,0.0068497764375234135
ABCB7,gene,0.001280426589424972,0.007748460359567108,0.004816183310971164
ABCC1,gene,0.013239002087238301,0.032821267256331894,-0.03202702806059428
ABCD1,gene,0.012538827866759932,-0.03253404778804852,-0.02550388966704837
ABCD3,gene,0.021952887430761382,-0.011750317598219278,-0.0045993941508389174
ABCE1,gene,0.0077921658395453414,-0.019059244943254006,-0.038088859333470095
ABCF1,gene,-0.0021084639217860586,0.010453388083282262,-0.024696104268909735
ABCF2,gene,0.011413887208141474,-0.005595407400992674,-0.00825275332986459
ABCF3,gene,0.022242343483638148,-0.0038990437827717407,-0.006813545951714613
ABHD10,gene,-0.016754817712060523,-9.506724395756815e-05,0.017537589942665598
ABHD11,gene,0.02678611541411377,-0.014856084301500108,0.02382176134716553
ABHD12,gene,0.009203880674601502,-0.01754873512082156,-0.03520732008375716
ABHD14B,gene,-0.019740501833875383,0.002179839523099788,0.021913613412426244
ABHD16A,gene,0.012014167931396062,0.002301437517673299,-0.02460174636039994
ABHD5,gene,0.004001361535462488,-0.007212946961014283,0.0025182734772860116
ABI1,gene,-0.006163326849217736,0.008644838245716453,0.009306600409745933
ABI3,gene,-0.031142947050259127,-0.010809948879040356,-0.0033865973125866786
ABLIM1,gene,-0.020654983056786116,0.011548827425011177,0.025371146112019387
ABR,gene,-0.016507803064342345,-0.014474673596460196,-0.02095306421064807
ABRACL,gene,-0.0011051442255612068,-0.02186578148902447,0.004294020596798718
ABRAXAS2,gene,-0.011764032860679226,-0.0014780206877014008,-0.010231183982805635
ACAA1,gene,0.004581077333727782,-0.0018470930236983414,-0.015642820643383813
ACAA2,gene,-0.019858897469111358,0.013417434264740147,-0.007887105694068988
ACACA,gene,0.02856663869314696,-0.009482060213029142,-0.009332685708610643
ACAD8,gene,-0.024655653606081,-0.013835523712348368,0.0309639548643586
ACAD9,gene,0.028063476533008058,0.013718489012281067,0.008865116118562059
ACADM,gene,-0.0301211344178726,-0.00815208748249016,0.00962729744138223
ACADS,gene,-0.019556598282664255,-0.01846459584395617,0.017933243457463513
ACADVL,gene,0.004119193983294357,0.01176707490395428,-0.00045829397869375047
ACAP2,gene,-0.01672184530189057,0.009550729885467376,-0.0009439018898547341
ACAT1,gene,-0.007101850489085337,0.004687037667188809,0.018413879035314933
ACAT2,gene,0.00285870209924326,0.03402827273031572,-0.0006665886886507396
ACBD3,gene,0.023156445461711053,-0.0134719418506125,-0.004634245681619759
ACBD5,gene,0.008703443569449987,-0.033662800602213765,-0.024316355477792113
ACE,gene,0.008328770560111021,-0.0012012791444806728,-0.02012616520607448
ACIN1,gene,-0.014531718652819598,0.021068387139758112,0.006042130729317945
ACLY,gene,0.0025032479272582256,-0.025353987964707794,-0.037172409912207785
ACO1,gene,-0.005535065869474733,0.02190553046348777,-0.01940659515610531
ACO2,gene,-0.013492585275098197,0.03559499679966432,0.014621593396403102
ACOT1,gene,-0.008387722250903966,0.006507171071107618,-0.010336047113478821
ACOT13,gene,0.005290096701978874,0.023267155595579778,-0.016744951785678037
ACOT7,gene,0.02873927704564165,0.012713436350064042,-0.01940894147443249
ACOT8,gene,-0.00047816520271355266,-0.01567021207618666,0.01364772458887448
ACOT9,gene,-0.002044357253875335,-0.005980248996108027,0.008778405390418327
ACOX1,gene,0.016451908787654127,0.013019965124693274,-0.01763541555278993
ACOX3,gene,0.002652900165535265,0.004208609575926246,-0.007952203390924955
ACP1,gene,-0.009307052205434511,-0.012319991815445129,0.008230096435011871
ACP2,gene,0.0019970190309031013,-0.02475553409596261,-0.03539336226636282
ACP3,gene,0.0009890031763691296,0.008075369519979388,-0.00646414641667819
ACP5,gene,-0.007247973644262698,-0.008388792432474968,-0.020551889360042482
ACP7,gene,-0.0005803332341134248,0.0034155539553937476,0.001206338937464429
ACSF3,gene,-0.0318564843009507,0.012780859493865324,0.01048574729209324
ACSL1,gene,0.004555726207929115,-0.02559147337280323,-0.01472010598162907
ACSL3,gene,0.019840380820660152,-0.002546867695283558,-0.026330763989160295
ACSL4,gene,0.0020994938676746244,0.002402456164090188,0.0005401264002245341
ACSS1,gene,-0.012963620621296908,0.016043285332426473,0.013698656236170437
ACSS2,gene,0.01816849748791747,-0.02224893628915115,-0.013272077453742828
ACTA1,gene,-0.009972017767321604,0.03582391325580009,-0.013325589275644895
ACTB,gene,-0.02806553219661722,0.009472074333740095,-0.009027801171379437
ACTBL2,gene,-0.026029841479084933,0.006001431188366573,-0.009610298789761653
ACTG1,gene,-0.0021762717721687365,0.018145659632597864,0.0113772153603085
ACTG2,gene,-0.017346545196257328,0.0212373597567141,-0.009128300884267889
ACTL6A,gene,0.01934613996776282,0.015491656850408486,-0.00375366773846869
ACTN1,gene,-0.00280197666503825,0.02811747296652469,-0.010929108663407778
ACTN2,gene,0.017825894509656853,0.00431015309935583,-0.005628862367436891
