slide,tube_id,section,group,risk,H_c1,P_c1,H_c2,P_c2,H_c3,P_c3
slide1,a2,a,Tumor-h,0.7688882350921631,1.0135741379941359,0.886225382986602,3.4344333505990767,2.656115755087105,0.32078873822811727,-1.3601280976429926
slide1,a3,a,Tumor-h,0.7425448894500732,0.6768515176750963,0.221385373686872,0.7807682386448259,0.289023423412339,-0.6716052311979936,-0.07887559136592576
slide1,a4,a,Tumor-h,0.7416150867938995,0.5373762920075406,0.5962123733005181,2.6428765741523828,3.0473387571288337,-1.434306855535667,-0.5077353336820264
slide1,a6,a,Tumor-h,0.6682297140359879,0.5501681494668589,0.9110965048975492,2.217708307383257,4.439724583425169,-0.2838799403212096,-0.06579618303887907
slide1,a7,a,Tumor-h,0.6473953276872635,0.9547348527770638,0.877056124185102,1.6485565706399334,2.6745698603801817,0.1192971366316304,-1.4698636436110137
slide1,a8,a,Tumor-h,0.638302206993103,0.5396353399879193,0.908186927654373,1.9245713981660244,2.8074249470301207,-0.60751817715583,-1.0327323679663907
slide1,a9,a,Tumor-h,0.6396400531133016,1.2907180036292834,0.31272335233452825,1.0389637522856834,0.8569679412082579,0.06451349371187963,0.1575909975460272
slide1,a10,a,Tumor-h,0.6557540496190389,0.5315503313491448,0.47366818869272065,1.8163665912331455,0.16687912443529215,-0.9620042081839889,-0.17067460310629678
slide1,b1,b,Tumor-l,0.08340474714835484,0.15027436976941794,0.33239690365373664,-1.6030224558789383,-1.007678895527413,0.88456770999533,0.790563842976677
slide1,b2,b,Tumor-l,0.15748412410418192,0.6462881321681546,0.5627812808062205,-0.5541712139394894,-0.028657449442473084,0.8056927389879075,-0.22264907375665965
slide1,b3,b,Tumor-l,0.14966458640992641,0.7300027932837506,0.2843570057789407,-0.6009345475219524,-0.059047511336128594,1.1612295533263624,-0.058099040049180144
slide1,b4,b,Tumor-l,0.17898348867893218,0.8955152928395392,1.1048164847702244,-0.4909866533861832,-0.4620824038834066,0.9109479604423524,-0.045318333539244415
slide1,b5,b,Tumor-l,0.18014337867498398,0.555402053264418,0.9267031667144275,-0.40619529155126455,-0.30013410166174226,-0.06266358464557936,0.5339433618599081
slide1,b6,b,Tumor-l,0.1771395169198513,0.6802956589910801,0.3350435890062086,-0.7329524424479361,-0.07703467863767542,1.0127840927146101,-0.1410079694336972
slide1,b7,b,Tumor-l,0.1543617583811283,0.9751081139663942,0.6503161921707522,-0.22652207192380097,0.015445576180664635,0.7268018897986646,-0.14763786709078622
slide1,b8,b,Tumor-l,0.16773755848407745,0.6484670263337691,0.6799921178315999,0.5796453215257485,-0.26313440151504014,-0.10833700305351798,-0.014110045292317522
slide1,b9,b,Tumor-l,0.15837732454140982,0.21879801293421455,0.45761316293579785,-0.1698271995189605,-1.1222492057542637,-0.5860621466865267,0.6482911937771091
slide1,b10,b,Tumor-l,0.14693401753902435,0.49159408752961725,0.411630694281634,-1.4059015926964014,-0.8688402937124065,0.5778839923956329,-0.3102283008968424
slide1,b11,b,Tumor-l,0.15976116061210632,0.16571186907552765,0.45555099034101915,-0.5032483728904958,-0.20218649247901888,-1.2899758282538085,-0.1664159730601783
slide1,b12,b,Tumor-l,0.18560399115085602,0.3687388849782963,0.6087805399277763,-0.6110916735916401,-0.9414453794741265,-0.9113336101172059,-0.5006785045105407
slide1,b13,b,Tumor-l,0.16419369876384735,-0.10727584731306371,0.32815343759287324,-0.6987046865068491,-0.03255963924531049,0.1886222409769485,0.022246048945417637
slide1,b14,b,Tumor-l,0.26505276933312416,0.9468151082955386,0.8281597449909807,-0.5606668281593256,0.14953313763826456,1.6092854460160284,2.3112824551944007
slide1,b15,b,Tumor-l,0.2363932989537716,-0.3862423214813346,0.18442456383700387,-1.028537919346178,-1.5474778544599885,0.12000883282917223,0.3303366676052988
slide1,b16,b,Tumor-l,0.22676507011055946,1.2422817838760398,0.5435298870139755,-0.2779032034826088,-1.0321834010247843,1.9187028640004078,2.1501919427198324
slide1,b17,b,Tumor-l,0.24542446061968803,0.20973265604873761,0.24929015850930916,-1.8284164497773907,-2.1656640112624777,-0.9787869016236094,-1.2924563112487593
slide1,b18,b,Tumor-l,0.2442297451198101,0.08587823058325714,1.164041363839433,0.3214367808945682,-0.083782535275393,-0.02614446594264308,0.9454844041768041
slide1,b19,b,Tumor-l,0.2673580199480057,0.8609994795267049,0.582626201197205,-0.7860429175475058,-0.18029054239648015,2.3746862360979226,1.0031932991086128
slide1,b20,b,Tumor-l,0.2709696084260941,0.6345907034326398,0.7157998836907236,0.4170653683751282,0.34616467008390106,0.5415490176176455,1.1062167757205938
slide1,b21,b,Tumor-l,0.24508526623249055,-0.3516808460989472,-0.10754916874610801,-1.9027044798958825,-1.8488907642993364,-0.08579393020053644,0.2863425605118873
slide1,c1,c,Tcell-h,0.6461309343576431,-0.8539408807040613,-1.309233341778031,0.40972489758834835,0.17117739312686972,-1.8230881306091582,-1.2394755011519367
slide1,c2,c,Tcell-h,0.6408363580703735,-1.442679020572694,-0.525112214780934,-1.5670908294257748,0.13893805219838484,-0.46401888142582454,-0.0939549116946525
slide1,c3,c,Tcell-h,0.5322659909725189,-3.0344166893830566,-2.7209237417790457,0.5236930840604576,-0.6970344985596312,1.7851165787979957,1.042418777559379
slide1,c4,c,Tcell-h,0.5271709859371185,-2.5093774565547227,-1.4298194860710027,-0.0017733113240054961,0.12854488587665203,1.5995613374178763,0.7469606908180404
slide1,c5,c,Tcell-h,0.5648272633552551,-1.2607424319501592,-0.8504836002203282,-1.6292654405405862,-0.07309061586550449,-1.8532095793277075,-1.7735267475587815
slide1,d1,d,Tcell-l,0.40831954032182693,-0.7499102121571308,-2.1343736926241745,-0.23036779010521832,-0.834437360685879,0.41147348445611626,0.08971652128881054
slide1,d2,d,Tcell-l,0.42980699986219406,-0.8200399530862422,-1.629915310652256,-1.3347741191302402,-0.3468808989514664,-0.16802085062983066,-0.2353467541314823
slide1,d3,d,Tcell-l,0.41772861033678055,-1.2495992557730604,-1.7498236481441944,-0.2396312684216024,-0.22935906415316104,-1.7986650096689816,0.5589406503916544
slide1,d4,d,Tcell-l,0.4466707458098729,1.0199278096389317,0.3010674212857077,0.884159895102321,-0.05725579293449862,-0.03511150003410374,-0.295512712045098
slide1,d5,d,Tcell-l,0.4073273837566376,-0.9093886766713742,-0.8562831825006779,-0.6095526063341835,0.0418125463146019,-1.3161124056817384,-1.258320688003125
slide1,d6,d,Tcell-l,0.43246834476788837,-1.8298895777480244,-2.1240052884980707,-0.19984339724862918,-0.5853946666818963,0.0357748174238011,0.44691037676674356
slide1,d7,d,Tcell-l,0.38599446912606555,-0.7602927806637506,-0.9026124533454871,-0.8966479021205265,-0.6193809468180098,-0.8675118879825027,-1.6596649142005533
slide1,d8,d,Tcell-l,0.36460806131362916,-1.0792606149402328,-1.0301651518061121,-0.8437806353503059,-0.9221966428885352,-0.11000680154638073,0.39014322996720563
slide1,d9,d,Tcell-l,0.24453295767307281,-1.7727633752067034,-1.4798062885462735,1.6816981090450736,-1.0518981808993024,-0.8992913144116772,-1.1231022867333718
slide1,t1,t,Tumor-ctrl,0.5333981315294901,0.3569247359784878,0.6259730632428386,1.9902985122247412,0.7880882968769343,-0.36595954981597945,-0.8279057940419928
slide1,t2,t,Tumor-ctrl,0.44105661660432816,0.5961464677181108,0.8717355040515355,0.7324032042020119,0.3390757341892539,0.4317755557542648,2.3643677047162015
slide1,t3,t,Tumor-ctrl,0.44160088151693344,0.5433980451848817,0.4587689842845043,-1.1038126560588482,-1.4165564547674963,0.10834407643133052,0.16607604720212363
slide2,e1,e,Tumor-h,0.7393320947885513,0.5957642009378705,0.37951427811221683,0.30269488684944673,0.21311131115694387,-0.9853649772511627,1.0356926842647594
slide2,e2,e,Tumor-h,0.6459152817726135,0.21219144887018768,0.8999272994862858,0.7571295192972074,0.8537675058661299,0.5945463785059238,1.0842839215776146
slide2,e3,e,Tumor-h,0.6723908185958862,0.6036163467848285,0.37602694129249403,0.7360147021007503,0.7327953731783116,-0.07871978445557358,0.7531475099445184
slide2,e4,e,Tumor-h,0.6589565674463908,0.2761101535832473,0.6519666037036839,-0.45081300605170066,0.5969392533319473,-0.5080951486839731,-0.2745814476413068
slide2,e5,e,Tumor-h,0.6371888717015585,0.3668323700603499,0.47660466579697675,-0.07048882437845752,-0.012779422168271399,0.18829128540834927,-0.5749544783262006
slide2,e6,e,Tumor-h,0.6177492340405782,0.5508536134326155,1.073812727277067,0.12062260618381626,0.09071067626402667,-0.32560032249785076,0.9648521438872905
slide2,e7,e,Tumor-h,0.6504790484905243,1.2508720929099784,1.156778491226186,0.8700620979869332,-0.06810494227346996,0.9419347386800478,0.05500051506914462
slide2,e8,e,Tumor-h,0.6407572776079178,1.0381984753273548,0.6043288638542702,0.1317959437514664,-0.0037926106560932787,-0.7861176364489824,-1.1886127938682416
slide2,e9,e,Tumor-h,0.6366511583328247,0.698470486024946,0.6594316406187843,-0.0055130926918316395,-0.03717999016460943,-0.4997005292751448,0.6764868567027076
slide2,e10,e,Tumor-h,0.6367444296677908,0.1593835291389117,-0.3106642045396465,1.4832579296699082,0.15641735301477294,1.279976492138202,-0.19546732922916668
slide2,e11,e,Tumor-h,0.6618435621261597,0.9758402203573087,0.7904918125250284,0.047218631869436825,-0.4299988857316284,-0.34682225003251255,0.0038750689033498053
slide2,e12,e,Tumor-h,0.644543727238973,0.7435885246699866,0.7430546639041786,-0.1523696283106707,-0.02392736455682483,0.5014383642603245,0.06909791544299715
slide2,e13,e,Tumor-h,0.629656990369161,0.9394116177237767,0.7041200291555114,-0.18668988832712183,-0.040569248582303534,0.2575754914875681,1.0010238605175943
slide2,f1,f,Tumor-l,0.2869280204176903,0.12405896453919865,0.6585399306027873,0.29853153721244985,-0.09898909383465446,0.7804472142260165,1.233718026646738
slide2,f2,f,Tumor-l,0.3210669383406639,0.31745165159874966,0.460076872329353,0.23543452942120677,0.5161714234356596,-0.4300044668837889,-1.379399846103785
slide2,f3,f,Tumor-l,0.3421897739171982,0.6878726860370705,0.10280541738872934,-0.21134687468708252,-0.096595481264102,1.0578029599832257,1.2554352075283794
slide2,f4,f,Tumor-l,0.3190572038292885,0.17381448308796835,0.4463462630087111,-0.020462171662732134,-0.9924316423510171,0.3974870128862328,-0.711630902265305
slide2,f5,f,Tumor-l,0.32717519253492355,0.22017451272982677,0.669424926566767,0.30870608762832286,-0.6369540556082532,0.22790300344729472,0.5336307823563029
slide2,f6,f,Tumor-l,0.3331407109896342,-0.12108426648122392,0.4404454838893942,-0.3550098579366373,-0.3236708319476684,-0.5892956675712722,-0.5361266173116886
slide2,f7,f,Tumor-l,0.35066454112529755,0.1649406777084944,0.31056256796882403,-0.33507483451620074,-0.7081785842299685,0.49354970205105014,0.2590966390058809
slide2,f8,f,Tumor-l,0.3757149204611778,0.540256688658983,0.3585376723212568,-1.2295011423309592,-0.5737527759397063,1.4030311381159117,0.8690011770962868
slide2,f9,f,Tumor-l,0.3830985327561696,0.39860559206678225,0.18739500149802266,-0.8563951913574426,-1.1789942636653843,0.29956948222378604,-0.04878839364315621
slide2,f10,f,Tumor-l,0.35256921251614887,0.023717723114431623,0.5774206868901904,-0.8507510924042077,-0.3503094155273979,-0.13085246395766553,-0.36623899400144944
slide2,f11,f,Tumor-l,0.34205831090609234,0.38714419883518464,0.5116469347172915,-1.6092983087293193,-0.5057422468201038,-0.9808690669812704,-0.7366894635646847
slide2,f12,f,Tumor-l,0.3541194647550583,0.5592894115876821,0.06597494739601645,0.49377514242702103,0.5452029746501805,1.972407539819923,2.967480749634631
slide2,f13,f,Tumor-l,0.35794357061386106,0.11208355007478268,-0.2926304266764784,-0.04483789048176285,-0.6360294812003102,-1.2285906729324432,-1.3129586095523846
slide2,f14,f,Tumor-l,0.33838286250829697,0.6808737072851723,0.17103204577384498,0.1444724307690605,-0.4681412101035394,-1.99874517424692,-0.6817439136434069
slide2,f15,f,Tumor-l,0.3667588233947754,0.7553549790312758,0.4520034124087727,-0.5941563819806821,-0.025897102438385278,0.29019094817194013,-0.08751055131738103
slide2,g1,g,Tcell-h,0.6909281313419342,-2.482198938823244,-2.469653768824727,0.2682096723432555,0.7762300994674076,1.3614397980792226,1.3623303047185884
slide2,g2,g,Tcell-h,0.5451165288686752,-1.6513490076428932,-2.136127698303988,-0.5527066574187043,0.5442069742716582,0.397851406202591,-0.7175484955422916
slide2,g3,g,Tcell-h,0.584101527929306,-2.683878136726588,-2.3617870306724713,0.7654425483323644,0.8604568765291285,1.136765110724619,0.9229359834611444
slide2,g4,g,Tcell-h,0.6008639335632324,-2.7327369576429854,-3.2549549116563994,1.2663804596877892,2.2160321834554892,2.030658372513552,2.8802953018304684
slide2,g5,g,Tcell-h,0.5641840845346451,-1.1006580031465232,-0.3452460055009154,0.6453861672346407,-0.2589318350307099,-0.02361879657188295,-0.8970225145967696
slide2,g6,g,Tcell-h,0.46227120856444043,-2.050139155154486,-2.009312069102732,1.7822488604229068,1.3864916955440727,-0.5899791225583956,-0.2838034867215667
slide2,g7,g,Tcell-h,0.46084312597910565,-0.4720474837277188,-0.03498061158077881,1.1438960241352185,0.04604171379867353,1.2100012119817634,0.32418774618592827
slide2,h1,h,Tcell-l,0.17440054814020792,-0.1387014648292254,-0.9563776350047876,-0.14949377349900084,0.6229705249540592,-2.0649766473158544,-1.3454038329952054
slide2,h2,h,Tcell-l,0.24265525862574577,-2.2517951718549036,-1.6367868107019348,0.553464066811566,0.536083223829715,-0.6466044684970236,-0.6172439842992098
slide2,h3,h,Tcell-l,0.2225509248673916,-0.4831054078602311,-0.853012649439676,-0.291871939793836,-0.11216976431506694,-0.4973828004949413,-1.5434774719631468
slide2,h4,h,Tcell-l,0.26264766976237297,-0.173712506735137,-0.1821200517015424,-0.15742171706599575,-0.4017719012039511,-0.06136182657027379,-1.102287305647725
slide2,h5,h,Tcell-l,0.2702067978680134,-0.08353006953525577,-0.20025541355848564,-0.42873129333621046,-0.364272910648375,-1.2183159315240206,-1.095895477731281
slide2,h6,h,Tcell-l,0.29242128133773804,0.28565894311035395,-0.6063821822359292,-0.5295537055717349,0.003755304984193095,-2.323513024511479,-1.2956469429627722
slide2,h7,h,Tcell-l,0.3994779348373413,-0.21506314813644578,-0.16625314687295056,0.1627431638517755,-0.17618156697055312,-0.6090656596916867,-0.9836891008537245
slide2,h8,h,Tcell-l,0.41990499198436737,0.21382630165481065,0.551383649599767,-0.9920917601109083,-0.5947354980001109,-0.21069509768147945,-0.7529571320094507
slide2,v1,v,Tumor-ctrl,0.43950317800045013,0.9860364813150131,0.6246064540804942,-0.9131672985252519,-0.028629890595620777,1.585595378152379,1.7258375367993675
slide2,v2,v,Tumor-ctrl,0.441025011241436,0.44465377610682066,0.49512527928065675,-0.7547087379400914,-0.8827883691706832,0.5646224033863626,-0.3398417250981594
slide2,v3,v,Tumor-ctrl,0.4772086441516876,0.17638084186515762,0.5169225167717776,-0.29197132572263584,-0.3082994086620696,-0.2811902619773208,-0.2711839944555467
slide2,v4,v,Tumor-ctrl,0.4778878167271614,0.49229524824692833,0.8744729310950282,-0.3894981609742435,0.01593152481272622,0.009763899200929266,-0.14743719626500357
slide2,v5,v,Tumor-ctrl,0.504091719786326,0.484376219820816,0.8257636058330786,-0.09356245218112605,-0.3734961988842441,-1.5673675330342935,-0.48926792996368357
