slide,n_pairs,pearson_r,pearson_p_perm,spearman_rho
slide1,1035,0.2040389575649771,0.008,0.20741435477790707
slide2,1128,0.16269735368165775,0.036,0.2124017054211949
combined (z-score stacked),2163,0.18247939714871067,,0.21050416789929685
