panel,subset,n_ROI,n_markers,n_h2c_types,pearson_r,pearson_p,spearman_r,spearman_p
Smooth muscle,all (e+f+g+h+v),47,4,6,0.43,0.002573509270480678,0.309,0.03437199169580327
Smooth muscle,Tumor (e+f+v),32,4,6,0.181,0.3205211882152723,0.198,0.2774796774561295
Smooth muscle,Tumor e vs f only,27,4,6,0.292,0.1396786225564097,0.327,0.09569316920762391
Smooth muscle,T-cell (g+h),15,4,6,0.322,0.24222798918129151,0.261,0.34797945986279355
Fibroblast,all (e+f+g+h+v),48,6,6,-0.332,0.02127046735655807,-0.268,0.06505126200568298
Fibroblast,Tumor (e+f+v),33,6,6,-0.071,0.6965114603053495,-0.018,0.9205913289978269
Fibroblast,Tumor e vs f only,28,6,6,-0.085,0.6675385402229861,-0.028,0.8878675784408949
Fibroblast,T-cell (g+h),15,6,6,-0.21,0.45146698537613644,-0.375,0.16843274984674558
Epithelial (broad proxy),all (e+f+g+h+v),48,7,5,0.157,0.2878411158820944,0.194,0.18670662747418548
Epithelial (broad proxy),Tumor (e+f+v),33,7,5,0.227,0.20441921498866417,0.298,0.09196027379819002
Epithelial (broad proxy),Tumor e vs f only,28,7,5,0.187,0.3401667695631597,0.264,0.1740022678183272
Epithelial (broad proxy),T-cell (g+h),15,7,5,0.034,0.9046153280542439,0.118,0.6757115292213043
Macrophage,all (e+f+g+h+v),48,2,9,0.202,0.16762945514023725,0.252,0.08392789579984226
Macrophage,Tumor (e+f+v),33,2,9,0.138,0.444656863129514,0.197,0.2713536533097305
Macrophage,Tumor e vs f only,28,2,9,0.114,0.5632904387135371,0.112,0.5697174427785479
Macrophage,T-cell (g+h),15,2,9,0.532,0.04142112895949573,0.586,0.021776517619042774
B cell,all (e+f+g+h+v),48,3,5,-0.301,0.037950915087986495,-0.265,0.06838593299496626
B cell,Tumor (e+f+v),33,3,5,0.127,0.4819882659704573,0.231,0.19530819771687935
B cell,Tumor e vs f only,28,3,5,0.022,0.9103131805495523,0.072,0.7148451916268383
B cell,T-cell (g+h),15,3,5,-0.414,0.12483420268638562,-0.393,0.14746665531132622
Endothelial,all (e+f+g+h+v),44,2,7,0.077,0.61959688848222,0.156,0.3122814070285607
Endothelial,Tumor (e+f+v),29,2,7,0.364,0.05239455796310007,0.33,0.08036632698792497
Endothelial,Tumor e vs f only,25,2,7,0.352,0.08456109515942589,0.308,0.1345826496160396
Endothelial,T-cell (g+h),15,2,7,-0.359,0.1890553605874601,-0.254,0.3618161038158896
