spot_id,X,Y,tile_x_topleft,tile_y_topleft,tile_size
TCGA-05-4245-01A-01-TS1_x8687y1387,8687,1387,8614,1314,146
TCGA-05-4245-01A-01-TS1_x8833y1387,8833,1387,8760,1314,146
TCGA-05-4245-01A-01-TS1_x8687y1533,8687,1533,8614,1460,146
TCGA-05-4245-01A-01-TS1_x8833y1533,8833,1533,8760,1460,146
TCGA-05-4245-01A-01-TS1_x8979y1533,8979,1533,8906,1460,146
TCGA-05-4245-01A-01-TS1_x10439y1533,10439,1533,10366,1460,146
TCGA-05-4245-01A-01-TS1_x10585y1533,10585,1533,10512,1460,146
TCGA-05-4245-01A-01-TS1_x10731y1533,10731,1533,10658,1460,146
TCGA-05-4245-01A-01-TS1_x10877y1533,10877,1533,10804,1460,146
TCGA-05-4245-01A-01-TS1_x11023y1533,11023,1533,10950,1460,146
TCGA-05-4245-01A-01-TS1_x11169y1533,11169,1533,11096,1460,146
TCGA-05-4245-01A-01-TS1_x11315y1533,11315,1533,11242,1460,146
TCGA-05-4245-01A-01-TS1_x11461y1533,11461,1533,11388,1460,146
TCGA-05-4245-01A-01-TS1_x11607y1533,11607,1533,11534,1460,146
TCGA-05-4245-01A-01-TS1_x11753y1533,11753,1533,11680,1460,146
TCGA-05-4245-01A-01-TS1_x8833y1679,8833,1679,8760,1606,146
TCGA-05-4245-01A-01-TS1_x9855y1679,9855,1679,9782,1606,146
TCGA-05-4245-01A-01-TS1_x10001y1679,10001,1679,9928,1606,146
TCGA-05-4245-01A-01-TS1_x10147y1679,10147,1679,10074,1606,146
TCGA-05-4245-01A-01-TS1_x10293y1679,10293,1679,10220,1606,146
TCGA-05-4245-01A-01-TS1_x10439y1679,10439,1679,10366,1606,146
TCGA-05-4245-01A-01-TS1_x10585y1679,10585,1679,10512,1606,146
TCGA-05-4245-01A-01-TS1_x10731y1679,10731,1679,10658,1606,146
TCGA-05-4245-01A-01-TS1_x10877y1679,10877,1679,10804,1606,146
TCGA-05-4245-01A-01-TS1_x11023y1679,11023,1679,10950,1606,146
TCGA-05-4245-01A-01-TS1_x11169y1679,11169,1679,11096,1606,146
TCGA-05-4245-01A-01-TS1_x11315y1679,11315,1679,11242,1606,146
TCGA-05-4245-01A-01-TS1_x11461y1679,11461,1679,11388,1606,146
TCGA-05-4245-01A-01-TS1_x11607y1679,11607,1679,11534,1606,146
TCGA-05-4245-01A-01-TS1_x11753y1679,11753,1679,11680,1606,146
TCGA-05-4245-01A-01-TS1_x11899y1679,11899,1679,11826,1606,146
TCGA-05-4245-01A-01-TS1_x12045y1679,12045,1679,11972,1606,146
TCGA-05-4245-01A-01-TS1_x12191y1679,12191,1679,12118,1606,146
TCGA-05-4245-01A-01-TS1_x12337y1679,12337,1679,12264,1606,146
TCGA-05-4245-01A-01-TS1_x12483y1679,12483,1679,12410,1606,146
TCGA-05-4245-01A-01-TS1_x12629y1679,12629,1679,12556,1606,146
TCGA-05-4245-01A-01-TS1_x12775y1679,12775,1679,12702,1606,146
TCGA-05-4245-01A-01-TS1_x8833y1825,8833,1825,8760,1752,146
TCGA-05-4245-01A-01-TS1_x9563y1825,9563,1825,9490,1752,146
TCGA-05-4245-01A-01-TS1_x9709y1825,9709,1825,9636,1752,146
TCGA-05-4245-01A-01-TS1_x9855y1825,9855,1825,9782,1752,146
TCGA-05-4245-01A-01-TS1_x10001y1825,10001,1825,9928,1752,146
TCGA-05-4245-01A-01-TS1_x10147y1825,10147,1825,10074,1752,146
TCGA-05-4245-01A-01-TS1_x10293y1825,10293,1825,10220,1752,146
TCGA-05-4245-01A-01-TS1_x10439y1825,10439,1825,10366,1752,146
TCGA-05-4245-01A-01-TS1_x10585y1825,10585,1825,10512,1752,146
TCGA-05-4245-01A-01-TS1_x10731y1825,10731,1825,10658,1752,146
TCGA-05-4245-01A-01-TS1_x10877y1825,10877,1825,10804,1752,146
TCGA-05-4245-01A-01-TS1_x11023y1825,11023,1825,10950,1752,146
TCGA-05-4245-01A-01-TS1_x11169y1825,11169,1825,11096,1752,146
TCGA-05-4245-01A-01-TS1_x11315y1825,11315,1825,11242,1752,146
TCGA-05-4245-01A-01-TS1_x11461y1825,11461,1825,11388,1752,146
TCGA-05-4245-01A-01-TS1_x11607y1825,11607,1825,11534,1752,146
TCGA-05-4245-01A-01-TS1_x11753y1825,11753,1825,11680,1752,146
TCGA-05-4245-01A-01-TS1_x11899y1825,11899,1825,11826,1752,146
TCGA-05-4245-01A-01-TS1_x12045y1825,12045,1825,11972,1752,146
TCGA-05-4245-01A-01-TS1_x12191y1825,12191,1825,12118,1752,146
TCGA-05-4245-01A-01-TS1_x12337y1825,12337,1825,12264,1752,146
TCGA-05-4245-01A-01-TS1_x12483y1825,12483,1825,12410,1752,146
TCGA-05-4245-01A-01-TS1_x12629y1825,12629,1825,12556,1752,146
TCGA-05-4245-01A-01-TS1_x12775y1825,12775,1825,12702,1752,146
TCGA-05-4245-01A-01-TS1_x12921y1825,12921,1825,12848,1752,146
TCGA-05-4245-01A-01-TS1_x13067y1825,13067,1825,12994,1752,146
TCGA-05-4245-01A-01-TS1_x8833y1971,8833,1971,8760,1898,146
TCGA-05-4245-01A-01-TS1_x9271y1971,9271,1971,9198,1898,146
TCGA-05-4245-01A-01-TS1_x9417y1971,9417,1971,9344,1898,146
TCGA-05-4245-01A-01-TS1_x9563y1971,9563,1971,9490,1898,146
TCGA-05-4245-01A-01-TS1_x9709y1971,9709,1971,9636,1898,146
TCGA-05-4245-01A-01-TS1_x9855y1971,9855,1971,9782,1898,146
TCGA-05-4245-01A-01-TS1_x10001y1971,10001,1971,9928,1898,146
TCGA-05-4245-01A-01-TS1_x10147y1971,10147,1971,10074,1898,146
TCGA-05-4245-01A-01-TS1_x10293y1971,10293,1971,10220,1898,146
TCGA-05-4245-01A-01-TS1_x10439y1971,10439,1971,10366,1898,146
TCGA-05-4245-01A-01-TS1_x10585y1971,10585,1971,10512,1898,146
TCGA-05-4245-01A-01-TS1_x10731y1971,10731,1971,10658,1898,146
TCGA-05-4245-01A-01-TS1_x10877y1971,10877,1971,10804,1898,146
TCGA-05-4245-01A-01-TS1_x11023y1971,11023,1971,10950,1898,146
TCGA-05-4245-01A-01-TS1_x11169y1971,11169,1971,11096,1898,146
TCGA-05-4245-01A-01-TS1_x11315y1971,11315,1971,11242,1898,146
TCGA-05-4245-01A-01-TS1_x11461y1971,11461,1971,11388,1898,146
