protein_marker,hist2cell_type,predicted_direction,observed_direction,matches_hypothesis,delta,p,p_bh
KIF20A / KIF22 / INCENP (mitosis),Dividing_AT2,a>b,a>b,True,0.024988258316639866,3.816417139026809e-05,0.0006576165830386801
KIF20A / KIF22 / INCENP (mitosis),Dividing_Basal,a>b,a>b,True,0.044820800955806456,0.006620037571481189,0.00897632213082195
KIF20A / KIF22 / INCENP (mitosis),Basal,a>b,a>b,True,0.09708293302664683,0.0013126665993459191,0.0021431291417892554
MYH11 / TAGLN (smooth muscle),Muscle_smooth_syst_arterial,a>b,a>b,True,0.13955364577353946,0.06352377908727286,0.07699852010578528
MYH11 / TAGLN (smooth muscle),Muscle_smooth_pulmonary,a>b,a>b,True,0.0608211387954061,0.10326515099344515,0.11972771129674799
MYH11 / TAGLN (smooth muscle),Muscle_airway,a>b,a>b,True,0.029428611199061094,0.31942596292793934,0.3318711303147422
(generic active Tumor),AT2,a>b,a>b,True,1.2605491138639904,5.62990215562866e-05,0.0006576165830386801
(generic active Tumor),Suprabasal,a>b,a>b,True,0.09031299170520571,0.002818084078230336,0.004174939375156053
