tube_id,section,n_patches,n_spots,AT1,AT2,B_memory,B_naive,B_plasma_IgA,B_plasma_IgG,B_plasmablast,Basal,CD4_EM_Effector,CD4_TRM,CD4_naive_CM,CD8_EM,CD8_EM_EMRA,CD8_TRM_EM,CD8_TRM,Chondrocyte,Ciliated,DC_1,DC_2,DC_activated,DC_plasmacytoid,Deuterosomal,Dividing_AT2,Dividing_Basal,Endothelia_Lymphatic,Endothelia_vascular_Cap_a,Endothelia_vascular_Cap_g,Endothelia_vascular_arterial_pulmonary,Endothelia_vascular_arterial_systemic,Endothelia_vascular_venous_pulmonary,Endothelia_vascular_venous_systemic,Erythrocyte,Fibro_adventitial,Fibro_alveolar,Fibro_immune_recruiting,Fibro_myofibroblast,Fibro_peribronchial,Fibro_perichondrial,ILC,Ionocyte_n_Brush,MAIT,Macro_CHIT1,Macro_interstitial,Macro_AW_CX3CR1,Macro_alveolar_metallothioneins,Macro_alv,Macro_dividing,Macro_int,Macro_CCL,Mast_cell,Megakaryocyte,Mesothelia,Macrophage_intermediate,Monocyte_CD14,Monocyte_CD16,Muscle_airway,Muscle_pericyte_airway,Muscle_pericyte_parenchyma,Muscle_perivascular_immune_recruiting,Muscle_smooth_pulmonary,Muscle_smooth_syst_arterial,Myoepithelial,NAF_endoneurial,NAF_perineurial,NK_CD16hi,NKT,NK_CD11d,NK_CD56bright,Neuroendocrine,SMG_Basal,SMG_Duct,SMG_Mucous,SMG_Serous,Schwann_Myelinating,Schwann_nonmyelinating,Secretory_Club,Secretory_Goblet,Suprabasal,T_reg,gdT,score_strict_proxy,score_broad_proxy,score_immune_total
a2,a,3,19,2.8313846588134766,4.111558437347412,0.2342628389596939,0.22846753895282745,0.7531757950782776,0.09542814642190933,0.3401586711406708,0.3140183389186859,0.25458329916000366,0.22410118579864502,0.3692849576473236,0.25807270407676697,0.38238945603370667,0.30604591965675354,0.3471323251724243,0.1390427201986313,3.307760238647461,0.12775301933288574,0.16628575325012207,0.20677119493484497,0.09973600506782532,0.11558336019515991,0.07700219005346298,0.10729452222585678,0.06121044233441353,2.2381250858306885,1.587079405784607,0.15574361383914948,0.11953557282686234,0.0885680615901947,0.21724474430084229,0.2878071367740631,0.9781940579414368,2.960374593734741,0.07632094621658325,0.5255681872367859,0.05716277286410332,0.02247323840856552,0.18194326758384705,0.1816260665655136,0.2775501608848572,0.2988138496875763,0.19503948092460632,0.07017601281404495,0.0852605327963829,0.5056172609329224,0.19114865362644196,0.2048584222793579,0.11361635476350784,0.22288116812705994,0.0393143892288208,0.049172256141901016,0.06396669149398804,0.33667731285095215,0.15390387177467346,0.3066612184047699,0.07149647176265717,0.44269365072250366,0.0900222584605217,0.2938978970050812,0.5879785418510437,0.14935007691383362,0.044249698519706726,0.049320194870233536,0.26297539472579956,0.31312891840934753,0.2519404888153076,0.2580690085887909,0.041988689452409744,0.046717796474695206,1.1515239477157593,0.41292843222618103,0.9269533753395081,0.0935518890619278,0.11083953082561493,0.07162076234817505,0.8544522523880005,0.2841086983680725,0.23757776618003845,0.23153157532215118,0.4983150511980057,4.89398218691349,8.850325003266335
a3,a,3,19,3.126112699508667,3.8619401454925537,0.21742761135101318,0.2103830873966217,0.4717092514038086,0.026781605556607246,0.21148161590099335,0.21512974798679352,0.24178434908390045,0.20811410248279572,0.33846142888069153,0.24430453777313232,0.37237486243247986,0.29257431626319885,0.3215603530406952,0.11214069277048111,2.1193394660949707,0.115206278860569,0.14851534366607666,0.1936711221933365,0.0916178822517395,0.05294012278318405,0.07250606268644333,0.09275233745574951,0.05274473875761032,2.463399887084961,1.7584503889083862,0.15584486722946167,0.0796307772397995,0.08866070955991745,0.2146223783493042,0.29292768239974976,0.8000019788742065,3.0989034175872803,0.06830763071775436,0.37638258934020996,0.052999526262283325,0.03410288318991661,0.17206858098506927,0.1309049427509308,0.2666451930999756,0.275976300239563,0.18532291054725647,0.06376077979803085,0.07352790981531143,0.48787879943847656,0.19062189757823944,0.18166856467723846,0.10739888995885849,0.189533993601799,0.03658708184957504,0.042781177908182144,0.05901819095015526,0.329667329788208,0.14485496282577515,0.15743912756443024,0.05579754710197449,0.4618157744407654,0.07768195122480392,0.1361754685640335,0.2343050092458725,0.20473209023475647,0.04008388891816139,0.04017500579357147,0.2529663145542145,0.3011334538459778,0.23650440573692322,0.2389158010482788,0.038573164492845535,0.05871269479393959,1.270721435546875,0.40587446093559265,1.1485555171966553,0.09581306576728821,0.09832781553268433,0.055307500064373016,0.4372144043445587,0.15554150938987732,0.22388558089733124,0.22239810228347778,0.38038814812898636,4.397869803011417,7.90971571020782
a4,a,4,27,2.605105400085449,3.4720256328582764,0.21371899545192719,0.20048271119594574,0.49244067072868347,0.09325500577688217,0.42779237031936646,0.21810343861579895,0.224905863404274,0.19976498186588287,0.39240747690200806,0.2266438603401184,0.3432193100452423,0.2644866406917572,0.2924197018146515,0.1342022567987442,2.4384446144104004,0.11204470694065094,0.14177784323692322,0.17492149770259857,0.08598186075687408,0.05973875895142555,0.0647418200969696,0.14128388464450836,0.08094614744186401,2.03048038482666,1.4105108976364136,0.13524630665779114,0.11344560235738754,0.08915635198354721,0.2994377613067627,0.24888917803764343,1.473686695098877,2.723510503768921,0.09230988472700119,0.7996318936347961,0.06433600932359695,0.05748118460178375,0.16295719146728516,0.12993066012859344,0.24367094039916992,0.2715173065662384,0.17200244963169098,0.06286147236824036,0.08588853478431702,0.4368121922016144,0.16855379939079285,0.20576372742652893,0.0991230383515358,0.20924536883831024,0.03192736208438873,0.06897301226854324,0.060493215918540955,0.3125867545604706,0.1437932848930359,0.3252401053905487,0.09836987406015396,0.39697423577308655,0.10242223739624023,0.30874019861221313,0.5602350234985352,0.14363667368888855,0.041859764605760574,0.05063994228839874,0.23026205599308014,0.28439146280288696,0.21747100353240967,0.21782761812210083,0.03709826245903969,0.07440484315156937,1.2861969470977783,0.4162192642688751,0.7761940956115723,0.07586785405874252,0.09717676043510437,0.06149397790431976,0.5858487486839294,0.19722464680671692,0.2078445702791214,0.20632870495319366,0.4241291433572769,4.09337942302227,7.88565818965435
a5,a,3,18,1.886925220489502,2.723243474960327,0.17064233124256134,0.14715154469013214,0.36416563391685486,0.09495773166418076,0.45027101039886475,0.09856120496988297,0.1679314821958542,0.14832724630832672,0.3549680709838867,0.16801384091377258,0.2706556022167206,0.19422169029712677,0.20267552137374878,0.16151642799377441,0.8449284434318542,0.08243533223867416,0.0982828438282013,0.12760819494724274,0.061724722385406494,0.025097601115703583,0.04826764762401581,0.10972078144550323,0.0924924835562706,1.5601508617401123,1.0854458808898926,0.10906000435352325,0.09759906679391861,0.08162165433168411,0.4525022506713867,0.1898641437292099,1.6503000259399414,1.9598846435546875,0.08701279759407043,0.8766727447509766,0.05337073653936386,0.03210587054491043,0.12360657751560211,0.05635866895318031,0.18574775755405426,0.20133528113365173,0.1356123834848404,0.043950941413640976,0.0725838765501976,0.3345000445842743,0.13006198406219482,0.1861771196126938,0.07656270265579224,0.1643040031194687,0.02070794813334942,0.0687432810664177,0.04834389314055443,0.2631083130836487,0.11703460663557053,0.21892273426055908,0.1096242293715477,0.3118486702442169,0.0991465151309967,0.17085081338882446,0.33127886056900024,0.10229478031396866,0.03423605114221573,0.046302489936351776,0.1688738614320755,0.22475570440292358,0.1530979722738266,0.1489313542842865,0.026578465476632118,0.03658491373062134,0.7653623819351196,0.3305191993713379,0.6271688938140869,0.04766175523400307,0.05148525908589363,0.014618009328842163,0.1862354874610901,0.08021212369203568,0.15329845249652863,0.15694065392017365,0.256549634039402,3.060005232691765,6.192860282957554
a6,a,4,27,2.900768518447876,3.826978921890259,0.2185809314250946,0.21352149546146393,0.4947202205657959,0.07703053206205368,0.3011032044887543,0.2573501467704773,0.23962095379829407,0.20961473882198334,0.35061508417129517,0.24251669645309448,0.3612072467803955,0.288895845413208,0.325466126203537,0.1129797175526619,2.8882906436920166,0.11762398481369019,0.1527184545993805,0.19191688299179077,0.09249435365200043,0.09246242791414261,0.07136737555265427,0.12937837839126587,0.05706963315606117,2.2574150562286377,1.5741826295852661,0.13942889869213104,0.10379014164209366,0.0829581692814827,0.2174389809370041,0.27283069491386414,0.8766705989837646,2.9683306217193604,0.07009079307317734,0.45860445499420166,0.05188274011015892,0.02059832774102688,0.1704011857509613,0.1632813662290573,0.2615797221660614,0.2941558361053467,0.1842186599969864,0.06534857302904129,0.07759350538253784,0.49150073528289795,0.18470537662506104,0.193511500954628,0.1058182418346405,0.20509183406829834,0.03467092663049698,0.046736590564250946,0.05963004007935524,0.3188164234161377,0.14359228312969208,0.25500765442848206,0.0636705532670021,0.4299528896808624,0.08089662343263626,0.20222380757331848,0.38187459111213684,0.15795446932315826,0.038286544382572174,0.03612038493156433,0.24787886440753937,0.2947635352611542,0.23602552711963654,0.24113506078720093,0.03968992456793785,0.05033094808459282,1.1506834030151367,0.42518576979637146,0.89825439453125,0.08155400305986404,0.08773775398731232,0.0600038580596447,0.7836953401565552,0.24455954134464264,0.22257071733474731,0.21816159784793854,0.45809590071439743,4.529634363949299,8.094145972281694
a7,a,4,23,2.5413522720336914,3.375847816467285,0.2255483865737915,0.21899186074733734,0.7478234767913818,0.07322336733341217,0.48268234729766846,0.3319467604160309,0.24189314246177673,0.21830050647258759,0.3878382742404938,0.24590528011322021,0.3626863956451416,0.28580260276794434,0.3197370767593384,0.14764422178268433,2.649240493774414,0.12588734924793243,0.15649747848510742,0.18900157511234283,0.09636089950799942,0.10938410460948944,0.07081742584705353,0.16411741077899933,0.07572182267904282,2.0796401500701904,1.484358549118042,0.14197289943695068,0.07295476645231247,0.09680657833814621,0.3358303904533386,0.2639084458351135,1.3509117364883423,2.738351345062256,0.1076742485165596,0.7050362229347229,0.06314247846603394,0.04992518201470375,0.17814303934574127,0.18463271856307983,0.26195618510246277,0.2832441031932831,0.18658077716827393,0.07513164728879929,0.09100524336099625,0.470607727766037,0.18457336723804474,0.21080170571804047,0.1085309237241745,0.21284373104572296,0.038969188928604126,0.07896112650632858,0.0675356462597847,0.32894161343574524,0.15396811068058014,0.142973855137825,0.09849686175584793,0.41301780939102173,0.11696162074804306,0.14709436893463135,0.29342442750930786,0.23695728182792664,0.047221504151821136,0.044275280088186264,0.2570470869541168,0.3026964068412781,0.2482529580593109,0.24550791084766388,0.0471605584025383,0.10726293176412582,1.8848223686218262,0.6085620522499084,1.367210030555725,0.11134354770183563,0.10187302529811859,0.07323728501796722,0.6850944757461548,0.3213883340358734,0.2239428013563156,0.22462362051010132,0.5668815970420837,4.264117747545242,8.694114625453949
a8,a,4,25,2.5983386039733887,3.5150203704833984,0.2242814600467682,0.2121703326702118,0.5635401606559753,0.08872192353010178,0.4113827049732208,0.2572711408138275,0.23603519797325134,0.2097732573747635,0.39212799072265625,0.23895405232906342,0.35994628071784973,0.280227392911911,0.3119198679924011,0.1210285946726799,2.6615352630615234,0.12187018990516663,0.15338319540023804,0.18848812580108643,0.09205359220504761,0.07986389100551605,0.06865707039833069,0.1342480629682541,0.07239673286676407,2.0686209201812744,1.464953899383545,0.1475871503353119,0.11379106342792511,0.0908253863453865,0.27320703864097595,0.2693013548851013,1.2231167554855347,2.766026496887207,0.08735713362693787,0.6519563794136047,0.060472164303064346,0.03308764100074768,0.17143678665161133,0.15494702756404877,0.2575875520706177,0.28467023372650146,0.1850176453590393,0.06638580560684204,0.0862903967499733,0.4840080142021179,0.18532241880893707,0.21004623174667358,0.10630689561367035,0.21547043323516846,0.035282306373119354,0.0631416067481041,0.06329613924026489,0.3292597234249115,0.14972443878650665,0.2706897556781769,0.08756428956985474,0.40490275621414185,0.09853536635637283,0.23851339519023895,0.4762527048587799,0.16247549653053284,0.04319647327065468,0.042524632066488266,0.24390560388565063,0.2963569164276123,0.23186057806015015,0.23344680666923523,0.04069431126117706,0.07300345599651337,1.2651612758636475,0.4539157450199127,0.9489901661872864,0.08435198664665222,0.08507322520017624,0.0658685564994812,0.6184106469154358,0.2233617752790451,0.21917127072811127,0.21727554500102997,0.4601762741804123,4.198558419942856,8.321715161204338
a9,a,3,19,1.673514723777771,2.5365185737609863,0.16910384595394135,0.16202965378761292,0.6454574465751648,0.11381761729717255,0.5143877267837524,0.23672199249267578,0.17693910002708435,0.16271866858005524,0.3226689398288727,0.17890319228172302,0.25597554445266724,0.2032158076763153,0.22259272634983063,0.18333940207958221,2.3102874755859375,0.09132422506809235,0.11079129576683044,0.13003411889076233,0.0700526013970375,0.05054008960723877,0.05129038169980049,0.18814204633235931,0.07378114014863968,1.3792022466659546,0.964190661907196,0.09619121253490448,0.10960011929273605,0.07404842227697372,0.3383430242538452,0.18252377212047577,1.9086556434631348,1.6666332483291626,0.11132901906967163,0.9093754291534424,0.056556738913059235,0.03161340579390526,0.13175641000270844,0.12710845470428467,0.1866622120141983,0.1987052857875824,0.12768369913101196,0.058538805693387985,0.07529903948307037,0.2820357382297516,0.11714290082454681,0.180256187915802,0.075596883893013,0.16149015724658966,0.025517182424664497,0.08665427565574646,0.05170076712965965,0.23582062125205994,0.11729072034358978,0.1322537064552307,0.10470211505889893,0.2793799340724945,0.11505911499261856,0.12706752121448517,0.22205021977424622,0.17741717398166656,0.0282434169203043,0.021846001967787743,0.18614447116851807,0.22161559760570526,0.18111786246299744,0.17633599042892456,0.037398695945739746,0.08054891228675842,1.6983152627944946,0.5440865159034729,1.272832989692688,0.08243157714605331,0.0666644424200058,0.06850167363882065,0.606728196144104,0.21263007819652557,0.1606481820344925,0.16482043266296387,0.4761544205248356,3.2253030724823475,6.620674476027489
a10,a,3,14,2.8146185874938965,3.9351229667663574,0.22387418150901794,0.21371303498744965,0.5051608681678772,0.04535800963640213,0.33675509691238403,0.21223565936088562,0.2477293759584427,0.21763060986995697,0.3734471797943115,0.24910664558410645,0.36541932821273804,0.2896101772785187,0.31576651334762573,0.1279890388250351,2.266481637954712,0.11283554136753082,0.14158771932125092,0.1862158328294754,0.09454242885112762,0.08832190185785294,0.06794948875904083,0.1768994778394699,0.07868767529726028,2.1643600463867188,1.5350093841552734,0.17529766261577606,0.1545175313949585,0.10159426927566528,0.3185999095439911,0.27350202202796936,1.3013888597488403,2.8402440547943115,0.09322052448987961,0.6179423928260803,0.07267232239246368,0.04689281806349754,0.17980517446994781,0.1264527589082718,0.2656603157520294,0.27978214621543884,0.17858092486858368,0.06450501829385757,0.08746540546417236,0.47300073504447937,0.17835745215415955,0.19222378730773926,0.10617328435182571,0.21282880008220673,0.038948334753513336,0.06471461057662964,0.06438780575990677,0.31576424837112427,0.1489713042974472,0.532936692237854,0.0938824862241745,0.4400549530982971,0.10964618623256683,0.4855709373950958,1.0074794292449951,0.21062242984771729,0.06098254770040512,0.07886745035648346,0.2534213960170746,0.3042164742946625,0.23884586989879608,0.23737141489982605,0.0480307973921299,0.04973268508911133,1.3082045316696167,0.45624467730522156,1.0396201610565186,0.11482096463441849,0.11983530223369598,0.03352050855755806,0.6741748452186584,0.22661498188972473,0.22524814307689667,0.22857901453971863,0.45708462595939636,4.6188225746154785,8.153941258788109
b1,b,3,24,1.0378278493881226,1.64364755153656,0.13332723081111908,0.10903161019086838,0.4130024015903473,0.09886816889047623,0.34795379638671875,0.09621147066354752,0.12139475345611572,0.10900142788887024,0.2865522503852844,0.12106296420097351,0.1907387226819992,0.1340893656015396,0.13275745511054993,0.20139707624912262,0.5433014035224915,0.06304902583360672,0.06669139862060547,0.08553755283355713,0.04525231197476387,0.018081681802868843,0.02937667816877365,0.017323892563581467,0.07967589050531387,0.8812191486358643,0.6525368690490723,0.07465855777263641,0.05368851497769356,0.07951336354017258,0.49998530745506287,0.12616409361362457,1.7559380531311035,1.185563325881958,0.09601505845785141,0.8472089171409607,0.043153464794158936,0.022931190207600594,0.09396752715110779,0.03356132283806801,0.1322576254606247,0.15423114597797394,0.09339377284049988,0.034489940851926804,0.05870063230395317,0.21957121789455414,0.08521854877471924,0.14936186373233795,0.054982107132673264,0.11598706245422363,0.01734757423400879,0.06760600954294205,0.039982907474040985,0.1886521428823471,0.09103178977966309,0.13872741162776947,0.12768083810806274,0.19407087564468384,0.10482487082481384,0.09862431138753891,0.19498109817504883,0.12537725269794464,0.020325150340795517,0.022755280137062073,0.12033039331436157,0.16559842228889465,0.11063617467880249,0.10495990514755249,0.024113016203045845,0.03623317554593086,1.142992615699768,0.2657422125339508,0.9144952297210693,0.040053095668554306,0.008504598401486874,0.014612133614718914,0.1293298602104187,0.05446135997772217,0.1073671206831932,0.11729064583778381,0.14291204139590263,1.8410209529101849,4.6963213831186295
