comparison,score,n_a,n_b,mean_a,mean_b,delta,U,p
Tumor a vs b (high vs low risk),score_strict_proxy,9,21,0.4419749772383107,0.27508298493921757,0.16689199229909313,174.0,0.00034989834127645037
Tumor a vs b (high vs low risk),score_broad_proxy,9,21,4.142408091574907,2.6246539937066182,1.517754097868289,187.0,3.132989783237911e-05
Tumor a vs b (high vs low risk),score_immune_total,9,21,7.858127853315738,6.084150297655945,1.7739775556597923,172.0,0.0004926270009862024
T-cell c vs d (high vs low risk),score_strict_proxy,5,9,0.6059897027909755,0.3834734045796924,0.2225162982112831,36.0,0.08291708291708291
T-cell c vs d (high vs low risk),score_broad_proxy,5,9,3.0747562564909456,3.1459045277701483,-0.07114827127920265,18.0,0.6063936063936064
T-cell c vs d (high vs low risk),score_immune_total,5,9,5.471973315626383,6.209084791648719,-0.7371114760223358,11.0,0.14685314685314685
