res,cluster,cluster_rank,grid_index,grid_row,grid_col,slide,spot_id,x,y,dist_to_centroid
224,Ciliated,1,0,0,0,4390-BS1,TCGA-05-4390-01A-01-BS1_x12880y16688,12880,16688,8.898059844970703
224,Ciliated,1,1,0,1,4390-BS1,TCGA-05-4390-01A-01-BS1_x18256y4144,18256,4144,8.966822624206543
224,Ciliated,1,2,0,2,4390-BS1,TCGA-05-4390-01A-01-BS1_x13328y3248,13328,3248,9.013801574707031
224,Ciliated,1,3,0,3,4390-BS1,TCGA-05-4390-01A-01-BS1_x10416y10192,10416,10192,9.032727241516113
224,Ciliated,1,4,0,4,4390-BS1,TCGA-05-4390-01A-01-BS1_x13776y15120,13776,15120,9.133533477783203
224,Ciliated,1,5,0,5,4390-BS1,TCGA-05-4390-01A-01-BS1_x8176y12432,8176,12432,9.138951301574707
224,Ciliated,1,6,0,6,4390-BS1,TCGA-05-4390-01A-01-BS1_x21840y3920,21840,3920,9.166278839111328
224,Ciliated,1,7,0,7,4390-BS1,TCGA-05-4390-01A-01-BS1_x9296y3024,9296,3024,9.308124542236328
224,Ciliated,1,8,0,8,4390-BS1,TCGA-05-4390-01A-01-BS1_x9744y2800,9744,2800,9.31797981262207
224,Ciliated,1,9,0,9,4390-BS1,TCGA-05-4390-01A-01-BS1_x32592y15344,32592,15344,9.335880279541016
224,Ciliated,1,10,1,0,4390-BS1,TCGA-05-4390-01A-01-BS1_x6160y8624,6160,8624,9.409955978393555
224,Ciliated,1,11,1,1,4390-BS1,TCGA-05-4390-01A-01-BS1_x16464y12656,16464,12656,9.42437744140625
224,Ciliated,1,12,1,2,4390-BS1,TCGA-05-4390-01A-01-BS1_x25872y7728,25872,7728,9.448968887329102
224,Ciliated,1,13,1,3,4390-BS1,TCGA-05-4390-01A-01-BS1_x16464y16240,16464,16240,9.45156192779541
224,Ciliated,1,14,1,4,4390-BS1,TCGA-05-4390-01A-01-BS1_x8400y16688,8400,16688,9.461830139160156
224,Ciliated,1,15,1,5,4390-BS1,TCGA-05-4390-01A-01-BS1_x7728y8848,7728,8848,9.483602523803711
224,Ciliated,1,16,1,6,4390-BS1,TCGA-05-4390-01A-01-BS1_x9072y13776,9072,13776,9.508376121520996
224,Ciliated,1,17,1,7,4390-BS1,TCGA-05-4390-01A-01-BS1_x16688y14448,16688,14448,9.508955955505371
224,Ciliated,1,18,1,8,4390-BS1,TCGA-05-4390-01A-01-BS1_x7728y9744,7728,9744,9.510808944702148
224,Ciliated,1,19,1,9,4390-BS1,TCGA-05-4390-01A-01-BS1_x23408y6384,23408,6384,9.523016929626465
224,Ciliated,1,20,2,0,4390-BS1,TCGA-05-4390-01A-01-BS1_x5488y14896,5488,14896,9.525686264038086
224,Ciliated,1,21,2,1,4390-BS1,TCGA-05-4390-01A-01-BS1_x5488y13776,5488,13776,9.540265083312988
