slide,rep,dim,knn_purity_k10
4245-BS1,hist2cell,80,0.7184
4245-TS1,hist2cell,80,0.6779
4390-BS1,hist2cell,80,0.709
4245-BS1,dino768,768,0.4664
4245-TS1,dino768,768,0.3953
4390-BS1,dino768,768,0.3648
4245-BS1,PCA,19,0.4462
4245-TS1,PCA,19,0.3838
4390-BS1,PCA,19,0.3435
4245-BS1,hex_orig,19,0.4425
4245-TS1,hex_orig,19,0.427
4390-BS1,hex_orig,19,0.3983
4245-BS1,hex,19,0.4424
4245-TS1,hex,19,0.4269
4390-BS1,hex,19,0.3965
4245-BS1,pca+hex_orig,38,0.4592
4245-TS1,pca+hex_orig,38,0.4233
4390-BS1,pca+hex_orig,38,0.382
4245-BS1,pca+hex,38,0.4552
4245-TS1,pca+hex,38,0.4198
4390-BS1,pca+hex,38,0.3827
