,A,B,R_val,R_z_score,R_p_val
2243,Fibro_peribronchial,NK_CD11d,0.34723444321997565,94.055285721134,0.0
2703,Mast_cell,Muscle_perivascular_immune_recruiting,0.34705417104039404,94.0064554518759,0.0
1913,Endothelia_vascular_venous_pulmonary,Muscle_perivascular_immune_recruiting,0.346515607852408,93.86057500852131,0.0
1346,DC_activated,Fibro_peribronchial,0.3459277002591583,93.70132866144826,0.0
509,B_plasmablast,Muscle_pericyte_parenchyma,0.34509027094783523,93.47449444414728,0.0
1752,Endothelia_vascular_Cap_g,Megakaryocyte,0.34502329418665323,93.45635246966101,0.0
190,B_memory,Fibro_peribronchial,0.3443016613467528,93.26088400658695,0.0
425,B_plasma_IgG,Macro_dividing,0.34414635621643924,93.21881655420479,0.0
2508,Macro_AW_CX3CR1,Muscle_perivascular_immune_recruiting,0.3439698193868115,93.17099807802782,0.0
701,CD4_TRM,Fibro_peribronchial,0.34358386306117,93.0664542080492,0.0
1988,Erythrocyte,Fibro_peribronchial,0.3432366144615634,92.97239508779201,0.0
2103,Fibro_alveolar,Muscle_perivascular_immune_recruiting,0.3424660034556591,92.76365992411395,0.0
1542,Dividing_AT2,Muscle_perivascular_immune_recruiting,0.3423788860459877,92.7400624584307,0.0
2937,Muscle_perivascular_immune_recruiting,NK_CD56bright,0.34217075032256994,92.68368479971316,0.0
631,CD4_EM_Effector,Fibro_peribronchial,0.34187083925682976,92.60244798254277,0.0
2241,Fibro_peribronchial,NK_CD16hi,0.34078431759605393,92.30814219795869,0.0
2229,Fibro_peribronchial,Macrophage_intermediate,0.3405782569077957,92.25232660336992,0.0
1642,Endothelia_Lymphatic,Macro_int,0.3403731675656283,92.1967741169949,0.0
178,B_memory,Endothelia_Lymphatic,0.3400040187908466,92.0967829030942,0.0
770,CD4_naive_CM,Fibro_peribronchial,0.33943444372048803,91.94250228079929,0.0
396,B_plasma_IgG,DC_1,0.33935666520736796,91.92143443912254,0.0
1812,Endothelia_vascular_arterial_pulmonary,Muscle_perivascular_immune_recruiting,0.33875143937088875,91.75749710488809,0.0
2221,Fibro_peribronchial,Macro_alveolar_metallothioneins,0.3386980428783553,91.74303361355017,0.0
488,B_plasmablast,Fibro_peribronchial,0.33866508253512606,91.73410565562311,0.0
477,B_plasmablast,Endothelia_vascular_Cap_a,0.33807324036659697,91.57379355136692,0.0
397,B_plasma_IgG,DC_2,0.33779098380531863,91.49733880433344,0.0
502,B_plasmablast,Megakaryocyte,0.3377611566636352,91.48925953573536,0.0
971,CD8_TRM_EM,Fibro_peribronchial,0.3376566586020061,91.4609541782579,0.0
1213,DC_1,Endothelia_Lymphatic,0.33669612604469207,91.20077502297349,0.0
1640,Endothelia_Lymphatic,Macro_alv,0.3351412571696628,90.77960817401798,0.0
2225,Fibro_peribronchial,Macro_CCL,0.3336937060807374,90.3875104604321,0.0
2230,Fibro_peribronchial,Monocyte_CD14,0.33365227090226796,90.37628692651735,0.0
1626,Endothelia_Lymphatic,Erythrocyte,0.331642287535532,89.83184335663418,0.0
426,B_plasma_IgG,Macro_int,0.3312444862237077,89.72409103892942,0.0
2215,Fibro_peribronchial,ILC,0.33036149977657564,89.48491677441015,0.0
1660,Endothelia_Lymphatic,NKT,0.33028147937931035,89.46324167427171,0.0
1641,Endothelia_Lymphatic,Macro_dividing,0.32972812520168704,89.31335480015085,0.0
5,AT1,B_plasmablast,0.32936107073860005,89.21393087180802,0.0
838,CD8_EM,Fibro_peribronchial,0.3287869808186779,89.05842731361494,0.0
421,B_plasma_IgG,Macro_interstitial,0.3284262967525488,88.9607289327163,0.0
