A,B,R
AT1,AT1,0.6782242655754089
AT1,AT2,0.6956074833869934
AT1,B_memory,0.6795374751091003
AT1,B_naive,0.6908058524131775
AT1,B_plasma_IgA,0.5053575038909912
AT1,B_plasma_IgG,0.41618525981903076
AT1,B_plasmablast,0.5731920003890991
AT1,Basal,0.23690837621688843
AT1,CD4_EM_Effector,0.6817541718482971
AT1,CD4_TRM,0.6760317087173462
AT1,CD4_naive_CM,0.5359737277030945
AT1,CD8_EM,0.6884883642196655
AT1,CD8_EM_EMRA,0.7009857296943665
AT1,CD8_TRM_EM,0.6991757750511169
AT1,CD8_TRM,0.6835391521453857
AT1,Chondrocyte,0.4389490783214569
AT1,Ciliated,0.34090834856033325
AT1,DC_1,0.6850811839103699
AT1,DC_2,0.6912063956260681
AT1,DC_activated,0.695686936378479
AT1,DC_plasmacytoid,0.6764727830886841
AT1,Deuterosomal,0.23269246518611908
AT1,Dividing_AT2,0.662816047668457
AT1,Dividing_Basal,0.5042968392372131
AT1,Endothelia_Lymphatic,0.37997567653656006
AT1,Endothelia_vascular_Cap_a,0.6940803527832031
AT1,Endothelia_vascular_Cap_g,0.6923600435256958
AT1,Endothelia_vascular_arterial_pulmonary,0.5038813352584839
AT1,Endothelia_vascular_arterial_systemic,0.1879785805940628
AT1,Endothelia_vascular_venous_pulmonary,0.44822317361831665
AT1,Endothelia_vascular_venous_systemic,0.20971262454986572
AT1,Erythrocyte,0.6641712784767151
AT1,Fibro_adventitial,0.2856917679309845
AT1,Fibro_alveolar,0.6742308735847473
AT1,Fibro_immune_recruiting,0.5400256514549255
AT1,Fibro_myofibroblast,0.22370438277721405
AT1,Fibro_peribronchial,0.23007287085056305
AT1,Fibro_perichondrial,0.3284314274787903
AT1,ILC,0.6744174957275391
AT1,Ionocyte_n_Brush,0.3295561671257019
AT1,MAIT,0.7001230120658875
AT1,Macro_CHIT1,0.6761619448661804
AT1,Macro_interstitial,0.7010270357131958
AT1,Macro_AW_CX3CR1,0.6624270081520081
AT1,Macro_alveolar_metallothioneins,0.6132749319076538
AT1,Macro_alv,0.6880176663398743
AT1,Macro_dividing,0.6904030442237854
AT1,Macro_int,0.6600583791732788
AT1,Macro_CCL,0.6973490118980408
AT1,Mast_cell,0.5979857444763184
AT1,Megakaryocyte,0.5959598422050476
AT1,Mesothelia,0.5450840592384338
AT1,Macrophage_intermediate,0.6685042381286621
AT1,Monocyte_CD14,0.6861487030982971
AT1,Monocyte_CD16,0.6862328052520752
AT1,Muscle_airway,-0.17728833854198456
AT1,Muscle_pericyte_airway,0.2903692126274109
AT1,Muscle_pericyte_parenchyma,0.6949571967124939
AT1,Muscle_perivascular_immune_recruiting,0.524424135684967
AT1,Muscle_smooth_pulmonary,-0.17835934460163116
AT1,Muscle_smooth_syst_arterial,-0.18745622038841248
AT1,Myoepithelial,0.5431835055351257
AT1,NAF_endoneurial,-0.019909150898456573
AT1,NAF_perineurial,-0.15588070452213287
AT1,NK_CD16hi,0.6979392766952515
AT1,NKT,0.6976737976074219
AT1,NK_CD11d,0.6889174580574036
AT1,NK_CD56bright,0.6810460090637207
AT1,Neuroendocrine,0.5580487847328186
AT1,SMG_Basal,0.32163214683532715
AT1,SMG_Duct,0.5160514712333679
AT1,SMG_Mucous,0.5662853121757507
AT1,SMG_Serous,0.5220664143562317
AT1,Schwann_Myelinating,0.49194860458374023
AT1,Schwann_nonmyelinating,-0.026571141555905342
AT1,Secretory_Club,0.18238751590251923
AT1,Secretory_Goblet,0.3754751980304718
AT1,Suprabasal,0.22907589375972748
AT1,T_reg,0.6869879961013794
AT1,gdT,0.6852461695671082
AT2,AT2,0.7220974564552307
AT2,B_memory,0.7139577865600586
AT2,B_naive,0.7253506779670715
AT2,B_plasma_IgA,0.5456162691116333
AT2,B_plasma_IgG,0.45922499895095825
AT2,B_plasmablast,0.622853696346283
AT2,Basal,0.2543444335460663
AT2,CD4_EM_Effector,0.7133798003196716
AT2,CD4_TRM,0.7098155617713928
AT2,CD4_naive_CM,0.5686693787574768
AT2,CD8_EM,0.7209527492523193
AT2,CD8_EM_EMRA,0.7319222092628479
AT2,CD8_TRM_EM,0.7301881313323975
AT2,CD8_TRM,0.7125768065452576
AT2,Chondrocyte,0.48559167981147766
AT2,Ciliated,0.3653946816921234
AT2,DC_1,0.7217690348625183
AT2,DC_2,0.7229102253913879
AT2,DC_activated,0.7247613072395325
AT2,DC_plasmacytoid,0.710407018661499
AT2,Deuterosomal,0.25046321749687195
AT2,Dividing_AT2,0.6881148815155029
AT2,Dividing_Basal,0.5375549793243408
AT2,Endothelia_Lymphatic,0.4109004735946655
AT2,Endothelia_vascular_Cap_a,0.7151982188224792
AT2,Endothelia_vascular_Cap_g,0.7149975299835205
AT2,Endothelia_vascular_arterial_pulmonary,0.5168999433517456
AT2,Endothelia_vascular_arterial_systemic,0.18453438580036163
AT2,Endothelia_vascular_venous_pulmonary,0.47474533319473267
AT2,Endothelia_vascular_venous_systemic,0.2313571721315384
AT2,Erythrocyte,0.6858726143836975
AT2,Fibro_adventitial,0.31982946395874023
AT2,Fibro_alveolar,0.6919730305671692
AT2,Fibro_immune_recruiting,0.5893909335136414
AT2,Fibro_myofibroblast,0.2471846044063568
AT2,Fibro_peribronchial,0.2424268275499344
AT2,Fibro_perichondrial,0.35247111320495605
AT2,ILC,0.7084251642227173
AT2,Ionocyte_n_Brush,0.34779754281044006
