cell_type,mean_a,mean_b,delta,U,p,p_bh
Muscle_pericyte_airway,0.08532713891731368,0.139704083048162,-0.05437694413084833,1.0,2.5669159893035912e-05,0.00047871358015503395
Endothelia_vascular_venous_systemic,0.29080882834063637,0.5202443259102958,-0.22943549756965942,3.0,3.816417139026809e-05,0.00047871358015503395
AT2,3.4853572050730386,2.2080778848557245,1.277279320217314,185.0,4.639838874199898e-05,0.00047871358015503395
Endothelia_vascular_Cap_a,2.0272068315082126,1.2001274937675113,0.8270793377407013,185.0,4.639838874199898e-05,0.00047871358015503395
Dividing_AT2,0.0652417176299625,0.04047325315574805,0.024768464474214456,185.0,4.639838874199898e-05,0.00047871358015503395
Erythrocyte,0.2524958699941635,0.15762021428062803,0.09487565571353548,184.0,5.62990215562866e-05,0.00047871358015503395
DC_activated,0.17520776887734732,0.1118475113596235,0.06336025751772383,183.0,6.817896139080862e-05,0.00047871358015503395
Macro_dividing,0.16955161756939358,0.10761074083192008,0.06194087673747349,183.0,6.817896139080862e-05,0.00047871358015503395
Endothelia_vascular_Cap_g,1.424434569146898,0.8643106534367516,0.5601239157101464,182.0,8.24047446568355e-05,0.00047871358015503395
Fibro_adventitial,1.2612348530027602,2.003634906950451,-0.7424000539476909,8.0,9.940473966955899e-05,0.00047871358015503395
CD8_TRM,0.29165587160322404,0.18257135365690505,0.10908451794631899,181.0,9.940473966955899e-05,0.00047871358015503395
AT1,2.5560719437069364,1.479606072107951,1.0764658715989854,181.0,9.940473966955899e-05,0.00047871358015503395
Monocyte_CD14,0.30745389726426864,0.2287436837241763,0.07871021354009233,181.0,9.940473966955899e-05,0.00047871358015503395
Macro_alv,0.4395885037051307,0.27391820436432246,0.16567029934080824,180.0,0.00011967839503875849,0.00047871358015503395
Macro_interstitial,0.17142443193329704,0.1196183321021852,0.05180609983111184,180.0,0.00011967839503875849,0.00047871358015503395
MAIT,0.2430826856030358,0.17074102092356908,0.07234166467946673,180.0,0.00011967839503875849,0.00047871358015503395
DC_2,0.13965051372845969,0.09091967415241968,0.048730839576040005,180.0,0.00011967839503875849,0.00047871358015503395
Fibro_alveolar,2.644493328200446,1.5552006732849848,1.0892926549154613,180.0,0.00011967839503875849,0.00047871358015503395
Muscle_pericyte_parenchyma,0.3956659502453274,0.26190095856076195,0.13376499168456546,180.0,0.00011967839503875849,0.00047871358015503395
CD8_TRM_EM,0.26441037986013627,0.17766630862440383,0.08674407123573244,180.0,0.00011967839503875849,0.00047871358015503395
CD4_EM_Effector,0.2229496720764372,0.15951268516835712,0.06343698690808008,179.0,0.00014380665397539566,0.000500197057305724
T_reg,0.20586880213684505,0.14208218597230457,0.06378661616454048,179.0,0.00014380665397539566,0.000500197057305724
Macro_CCL,0.09919566412766774,0.0700208271543185,0.029174836973349244,179.0,0.00014380665397539566,0.000500197057305724
CD8_EM_EMRA,0.33977048264609444,0.24269962736538478,0.09707085528070966,178.0,0.00017246364381611886,0.0005110033890847966
Fibro_myofibroblast,0.6483169562286801,1.0151716470718384,-0.36685469084315825,11.0,0.00017246364381611886,0.0005110033890847966
Schwann_nonmyelinating,0.08720801522334416,0.042456059938385374,0.04475195528495879,178.0,0.00017246364381611886,0.0005110033890847966
CD8_EM,0.2251885732014974,0.15972168069510234,0.06546689250639506,178.0,0.00017246364381611886,0.0005110033890847966
Mast_cell,0.19766162004735735,0.1527190925109954,0.04494252753636194,177.0,0.00020642975399924826,0.0005897992971407094
gdT,0.20518750449021658,0.1524355649238541,0.05275193956636248,176.0,0.00024660621863950506,0.0006357433978365018
Endothelia_Lymphatic,0.07071714310182466,0.09466887975022906,-0.0239517366484044,13.0,0.00024660621863950506,0.0006357433978365018
Ionocyte_n_Brush,0.133598735762967,0.06214362595762525,0.07145510980534174,175.0,0.0002940313214993821,0.0006357433978365018
Endothelia_vascular_arterial_pulmonary,0.13751550018787384,0.09919471151772,0.038320788670153844,175.0,0.0002940313214993821,0.0006357433978365018
B_memory,0.2092327806684706,0.16311878249758766,0.046113998170882936,175.0,0.0002940313214993821,0.0006357433978365018
NK_CD56bright,0.2181751231352488,0.14444746325413385,0.07372765988111496,175.0,0.0002940313214993821,0.0006357433978365018
B_naive,0.19807476136419508,0.14259653928734006,0.055478222076855016,175.0,0.0002940313214993821,0.0006357433978365018
NKT,0.28016631801923114,0.2118938657499495,0.06827245226928164,175.0,0.0002940313214993821,0.0006357433978365018
NK_CD16hi,0.23018083638615078,0.1636457790931066,0.06653505729304418,175.0,0.0002940313214993821,0.0006357433978365018
DC_plasmacytoid,0.0856921627289719,0.06060916291815894,0.02508299981081296,174.0,0.00034989834127645037,0.0006827284707833179
NK_CD11d,0.21750262710783216,0.15370585982288634,0.06379676728494582,174.0,0.00034989834127645037,0.0006827284707833179
CD4_TRM,0.19675223198201922,0.14569651229040964,0.051055719691609575,174.0,0.00034989834127645037,0.0006827284707833179
DC_1,0.11055040525065528,0.08163893453422047,0.02891147071643481,174.0,0.00034989834127645037,0.0006827284707833179
ILC,0.16126752148071924,0.12219822087458201,0.039069300606137225,173.0,0.0004155753534330102,0.0007731634482474608
Macro_CHIT1,0.2639646265241835,0.1959530164798101,0.06801161004437342,173.0,0.0004155753534330102,0.0007731634482474608
Mesothelia,0.06155049925049146,0.08963751367160253,-0.028087014421111063,18.0,0.0005828383404396029,0.0010597060735265506
Muscle_perivascular_immune_recruiting,0.095573790371418,0.1259010416411218,-0.030327251269703814,19.0,0.0006882408600502944,0.001223539306756079
Ciliated,2.315682523780399,1.1903635192485083,1.1253190045318906,169.0,0.0008111407555657784,0.0013519012592762972
Macro_AW_CX3CR1,0.06199896625346608,0.048356326385622934,0.013642639867843143,169.0,0.0008111407555657784,0.0013519012592762972
Fibro_immune_recruiting,0.08504360831446117,0.11793541056769234,-0.03289180225323117,20.0,0.0008111407555657784,0.0013519012592762972
Monocyte_CD16,0.1401112766729461,0.11408476531505585,0.026026511357890247,168.0,0.0009541495331149166,0.0015577951561059863
Secretory_Goblet,0.56986865401268,0.2805976459667796,0.28927100804590045,165.0,0.0015352333030441096,0.0024563732848705755
Megakaryocyte,0.03254419109887547,0.02392684952134178,0.008617341577533692,161.0,0.002818084078230336,0.0043355139665082094
Basal,0.22489618510007858,0.13385892943257377,0.09103725566750481,161.0,0.002818084078230336,0.0043355139665082094
Secretory_Club,0.05503907044314676,0.0258527676840978,0.029186302759048956,160.0,0.0032645989059973722,0.004927696461882826
Chondrocyte,0.13426847176419365,0.18154594727924891,-0.04727747551505526,31.0,0.004356199244405182,0.006336289810043901
Suprabasal,0.20238380548026827,0.11850451287769136,0.08387929260257691,158.0,0.004356199244405182,0.006336289810043901
B_plasmablast,0.38039252658685047,0.5062681833902994,-0.12587565680344898,36.0,0.00866834893337245,0.0123833556191035
Macrophage_intermediate,0.058923946486579046,0.0511868145494234,0.007737131937155646,152.0,0.009891249915257758,0.013882456021414396
Deuterosomal,0.07140912032789654,0.0364298018005987,0.03497931852729783,151.0,0.011265556692664897,0.015275331108698165
Dividing_Basal,0.1306442850165897,0.08945560313406445,0.04118868188252525,151.0,0.011265556692664897,0.015275331108698165
Endothelia_vascular_arterial_systemic,0.10806773520178264,0.08779770756761233,0.02027002763417031,150.0,0.012806855145407126,0.017075806860542834
NAF_endoneurial,0.04015021357271406,0.03143448888191155,0.008715724690802513,149.0,0.014531900255204977,0.019058229842891773
Macro_int,0.1958948059214486,0.1763200376714979,0.01957476824995069,145.0,0.023647150679052598,0.030512452489100124
SMG_Duct,1.2497719062699213,1.606272158168611,-0.3565002518986897,47.0,0.03341632245353364,0.0424334253378205
B_plasma_IgG,0.07672432271970643,0.097591796623809,-0.020867473904102568,50.0,0.04645050659354011,0.058063133241925136
Schwann_Myelinating,0.08228098311358029,0.06803800467224348,0.014242978441336804,135.0,0.07025682722074256,0.08646994119476006
NAF_perineurial,0.04577814725538095,0.035523821865873675,0.010254325389507275,131.0,0.10326515099344515,0.12516987999205473
Neuroendocrine,0.037963594827387065,0.033856408493149845,0.00410718633423722,130.0,0.11320057404119496,0.13516486452679996
SMG_Serous,0.9497344758775499,1.1208628756659371,-0.17112839978838723,61.0,0.13531752008080955,0.15688987835456178
Endothelia_vascular_venous_pulmonary,0.08666523132059309,0.09251227229833603,-0.00584704097774294,61.0,0.13531752008080955,0.15688987835456178
Fibro_peribronchial,0.058028936800029546,0.05489829572893325,0.003130641071096299,127.0,0.14756083633300757,0.1686409558091515
Muscle_smooth_syst_arterial,0.45008419785234666,0.3208635293302082,0.12922066852213848,126.0,0.16063331540184944,0.18099528495983036
Muscle_smooth_pulmonary,0.23329282386435402,0.17430224943728673,0.05899057442706729,125.0,0.17456255799840437,0.19395839777600485
CD4_naive_CM,0.3634188373883565,0.3442937987191336,0.019125038669222882,121.0,0.23932990653680652,0.26227934962937705
SMG_Mucous,0.4303581615289052,0.382152259349823,0.048205902179082216,120.0,0.25788380323702675,0.27879330079678566
Macro_alveolar_metallothioneins,0.08058409641186397,0.07645445210593087,0.0041296443059331,111.0,0.4690040281311383,0.4936884506643561
B_plasma_IgA,0.5362149940596687,0.49887930495398386,0.0373356891056848,111.0,0.4690040281311383,0.4936884506643561
