comparison,score,n_a,n_b,mean_a,mean_b,delta,U,p
Tumor (High-risk Tumor vs Low-risk Tumor),score_strict_proxy,9,21,0.4207821877466308,0.26378778572238626,0.15699440202424453,172.0,0.0004926270009862024
Tumor (High-risk Tumor vs Low-risk Tumor),score_broad_proxy,9,21,4.108523198299938,2.590370183455802,1.518153014844136,186.0,3.816417139026809e-05
Tumor (High-risk Tumor vs Low-risk Tumor),score_immune_total,9,21,7.763671156018972,6.041768110046784,1.721903045972188,172.0,0.0004926270009862024
T-cell (High-risk T-cell vs Low-risk T-cell),score_strict_proxy,5,9,0.6474701635539531,0.3793063432806068,0.26816382027334634,39.0,0.02897102897102897
T-cell (High-risk T-cell vs Low-risk T-cell),score_broad_proxy,5,9,3.118042566627264,3.065973356780079,0.05206920984718533,19.0,0.6993006993006993
T-cell (High-risk T-cell vs Low-risk T-cell),score_immune_total,5,9,5.34898575246334,6.074628723164399,-0.7256429707010588,11.0,0.14685314685314685
