slide,cell_type,mean_abundance,std,frac_pos_over_0.1,rank_in_slide
4245-BS1,AT1,0.37550199031829834,0.4635458290576935,0.6301847333565702,11
4245-BS1,AT2,0.6135922074317932,0.6847562193870544,0.7274311606831648,8
4245-BS1,B_memory,0.08073416352272034,0.04503974691033363,0.2882537469501569,51
4245-BS1,B_naive,0.0824088603258133,0.05378256365656853,0.314046706169397,50
4245-BS1,B_plasma_IgA,0.5162816047668457,0.4188547730445862,0.7821540606483095,9
4245-BS1,B_plasma_IgG,0.06670528650283813,0.070321224629879,0.21714883234576507,60
4245-BS1,B_plasmablast,0.22606900334358215,0.19097404181957245,0.695364238410596,19
4245-BS1,Basal,0.20519021153450012,0.24410408735275269,0.5364238410596026,20
4245-BS1,CD4_EM_Effector,0.09372182190418243,0.058611590415239334,0.3973509933774834,36
4245-BS1,CD4_TRM,0.09141063690185547,0.05745033919811249,0.381317532241199,41
4245-BS1,CD4_naive_CM,0.14886929094791412,0.08233223855495453,0.6845590798187522,22
4245-BS1,CD8_EM,0.09265775978565216,0.06028854474425316,0.3841059602649007,38
4245-BS1,CD8_EM_EMRA,0.10190341621637344,0.07234176248311996,0.414430115022656,31
4245-BS1,CD8_TRM_EM,0.09191981703042984,0.06714703142642975,0.3652840711049146,40
4245-BS1,CD8_TRM,0.10607551783323288,0.08667805045843124,0.3997908678982224,30
4245-BS1,Chondrocyte,0.12735503911972046,0.0716915875673294,0.6444754269780412,24
4245-BS1,Ciliated,1.6763579845428467,2.1649582386016846,0.9153014987800627,3
4245-BS1,DC_1,0.0410345233976841,0.028715530410408974,0.049843150923666785,69
4245-BS1,DC_2,0.03788234293460846,0.036183491349220276,0.07807598466364588,73
4245-BS1,DC_activated,0.04907485470175743,0.041730813682079315,0.12582781456953643,64
4245-BS1,DC_plasmacytoid,0.039117202162742615,0.02655770629644394,0.028232833739979087,71
4245-BS1,Deuterosomal,0.09256269782781601,0.1362386792898178,0.29557337051237365,39
4245-BS1,Dividing_AT2,0.01833658292889595,0.018132077530026436,0.001742767514813524,80
4245-BS1,Dividing_Basal,0.08506260067224503,0.074617899954319,0.3670268386197281,46
4245-BS1,Endothelia_Lymphatic,0.04866161197423935,0.029505359008908272,0.06448239804810038,65
4245-BS1,Endothelia_vascular_Cap_a,0.35128042101860046,0.37093785405158997,0.7222028581387243,14
4245-BS1,Endothelia_vascular_Cap_g,0.2696163058280945,0.279816597700119,0.6559776925758104,17
4245-BS1,Endothelia_vascular_arterial_pulmonary,0.07951829582452774,0.06359653919935226,0.3279888462879052,52
4245-BS1,Endothelia_vascular_arterial_systemic,0.12835650146007538,0.14404255151748657,0.46950156849076335,23
4245-BS1,Endothelia_vascular_venous_pulmonary,0.06168413534760475,0.03485473245382309,0.14011850819100732,61
4245-BS1,Endothelia_vascular_venous_systemic,0.31862756609916687,0.1804225891828537,0.9076333217148832,16
4245-BS1,Erythrocyte,0.07675201445817947,0.05622675642371178,0.2628093412338794,56
4245-BS1,Fibro_adventitial,1.2742125988006592,0.7058811783790588,0.9982572324851865,5
4245-BS1,Fibro_alveolar,0.36546289920806885,0.4547688961029053,0.6294876263506448,12
4245-BS1,Fibro_immune_recruiting,0.07879359275102615,0.050611305981874466,0.32206343673753923,54
4245-BS1,Fibro_myofibroblast,0.3412138521671295,0.27945002913475037,0.8229348204949459,15
4245-BS1,Fibro_peribronchial,0.04244865104556084,0.02109363302588463,0.011153712094806553,66
4245-BS1,Fibro_perichondrial,0.03258651867508888,0.03565804660320282,0.05437434646218194,74
4245-BS1,ILC,0.0766863152384758,0.04561789706349373,0.2858138724294179,57
4245-BS1,Ionocyte_n_Brush,0.10620713979005814,0.14725467562675476,0.302195887068665,29
4245-BS1,MAIT,0.08415362983942032,0.057125478982925415,0.3265946322760544,48
4245-BS1,Macro_CHIT1,0.08882803469896317,0.08031389117240906,0.36075287556639946,44
4245-BS1,Macro_interstitial,0.04229171946644783,0.03896366432309151,0.09201812478215406,67
4245-BS1,Macro_AW_CX3CR1,0.030832504853606224,0.022556761279702187,0.0038340885325897525,75
4245-BS1,Macro_alveolar_metallothioneins,0.03872210159897804,0.02371550351381302,0.00871383757406762,72
4245-BS1,Macro_alv,0.1149076372385025,0.10175024718046188,0.4503311258278146,27
4245-BS1,Macro_dividing,0.041956447064876556,0.038372840732336044,0.08539560822586267,68
4245-BS1,Macro_int,0.07149884849786758,0.04861427843570709,0.25130707563611016,58
4245-BS1,Macro_CCL,0.03028063289821148,0.024098020046949387,0.011850819100731963,76
4245-BS1,Mast_cell,0.07050682604312897,0.04311462119221687,0.22237713489020564,59
4245-BS1,Megakaryocyte,0.024487221613526344,0.019359201192855835,0.0010456605088881143,78
4245-BS1,Mesothelia,0.054505933076143265,0.03397592529654503,0.11397699546880447,62
4245-BS1,Macrophage_intermediate,0.029831353574991226,0.017260586842894554,0.0,77
4245-BS1,Monocyte_CD14,0.08750061690807343,0.06330617517232895,0.32310909724642733,45
4245-BS1,Monocyte_CD16,0.05138111859560013,0.032717425376176834,0.09201812478215406,63
4245-BS1,Muscle_airway,0.9637845754623413,0.8604995012283325,0.8957825026141513,6
4245-BS1,Muscle_pericyte_airway,0.09061850607395172,0.04830167070031166,0.3736493551760195,43
4245-BS1,Muscle_pericyte_parenchyma,0.08491115272045135,0.08039253950119019,0.32520041826420354,47
4245-BS1,Muscle_perivascular_immune_recruiting,0.09810005873441696,0.055876970291137695,0.4646218194492855,34
4245-BS1,Muscle_smooth_pulmonary,0.6873535513877869,0.6304520964622498,0.8692924363889857,7
4245-BS1,Muscle_smooth_syst_arterial,1.6180729866027832,1.4014735221862793,0.959916347159289,4
4245-BS1,Myoepithelial,0.2491483986377716,0.17686305940151215,0.7431160683164866,18
4245-BS1,NAF_endoneurial,0.07780401408672333,0.053859781473875046,0.3053328685953294,55
4245-BS1,NAF_perineurial,0.12069224566221237,0.09908650815486908,0.5047054722899965,25
4245-BS1,NK_CD16hi,0.09547821432352066,0.06688573956489563,0.4137330080167306,35
4245-BS1,NKT,0.09957840293645859,0.06405942142009735,0.42802370163820147,33
4245-BS1,NK_CD11d,0.09982138127088547,0.07289717346429825,0.42070407807598464,32
4245-BS1,NK_CD56bright,0.09361126273870468,0.07371760904788971,0.36423841059602646,37
4245-BS1,Neuroendocrine,0.0407182015478611,0.027361812070012093,0.028929940745904496,70
4245-BS1,SMG_Basal,0.08317229896783829,0.06707761436700821,0.34890205646566747,49
4245-BS1,SMG_Duct,1.7006759643554688,1.1875759363174438,0.9571279191355873,2
4245-BS1,SMG_Mucous,0.39194491505622864,0.29697510600090027,0.8445451376786337,10
4245-BS1,SMG_Serous,1.7115439176559448,1.1910687685012817,0.9717671662600209,1
4245-BS1,Schwann_Myelinating,0.11118084192276001,0.09052398800849915,0.4897176716626002,28
4245-BS1,Schwann_nonmyelinating,0.11612119525671005,0.10328875482082367,0.49773440223074245,26
4245-BS1,Secretory_Club,0.0230842474848032,0.0379166416823864,0.04078075984663646,79
4245-BS1,Secretory_Goblet,0.35722845792770386,0.49908506870269775,0.6197281282676891,13
4245-BS1,Suprabasal,0.19623196125030518,0.22143052518367767,0.566747995817358,21
4245-BS1,T_reg,0.07919485867023468,0.053254567086696625,0.29627047751829905,53
4245-BS1,gdT,0.09121660143136978,0.0554233118891716,0.39072847682119205,42
4245-TS1,AT1,0.6024976968765259,0.5264835357666016,0.8594334580438269,10
4245-TS1,AT2,1.0700572729110718,0.7362620234489441,0.9738107963655799,5
4245-TS1,B_memory,0.12180111557245255,0.04447502642869949,0.6600748262960984,41
4245-TS1,B_naive,0.1188964694738388,0.05063704028725624,0.6167824692677712,44
4245-TS1,B_plasma_IgA,0.6083382964134216,0.41450035572052,0.8615713522180652,9
4245-TS1,B_plasma_IgG,0.12904000282287598,0.12163669615983963,0.5034740780331374,36
4245-TS1,B_plasmablast,0.5129690170288086,0.2470187544822693,0.9770176376269375,14
4245-TS1,Basal,0.3185042142868042,0.31581351161003113,0.7103153393907001,18
4245-TS1,CD4_EM_Effector,0.12438755482435226,0.05286996066570282,0.655264564404062,39
4245-TS1,CD4_TRM,0.12120863795280457,0.05047116428613663,0.6467129877071085,42
4245-TS1,CD4_naive_CM,0.24936644732952118,0.09633009880781174,0.9716729021913415,21
4245-TS1,CD8_EM,0.1269742101430893,0.05469711124897003,0.6654195617316943,38
4245-TS1,CD8_EM_EMRA,0.15261287987232208,0.07632935792207718,0.7322287546766435,27
