tube_id,section,section_label,n_patches,n_tiles,n_spots,AT1,AT2,B_memory,B_naive,B_plasma_IgA,B_plasma_IgG,B_plasmablast,Basal,CD4_EM_Effector,CD4_TRM,CD4_naive_CM,CD8_EM,CD8_EM_EMRA,CD8_TRM_EM,CD8_TRM,Chondrocyte,Ciliated,DC_1,DC_2,DC_activated,DC_plasmacytoid,Deuterosomal,Dividing_AT2,Dividing_Basal,Endothelia_Lymphatic,Endothelia_vascular_Cap_a,Endothelia_vascular_Cap_g,Endothelia_vascular_arterial_pulmonary,Endothelia_vascular_arterial_systemic,Endothelia_vascular_venous_pulmonary,Endothelia_vascular_venous_systemic,Erythrocyte,Fibro_adventitial,Fibro_alveolar,Fibro_immune_recruiting,Fibro_myofibroblast,Fibro_peribronchial,Fibro_perichondrial,ILC,Ionocyte_n_Brush,MAIT,Macro_CHIT1,Macro_interstitial,Macro_AW_CX3CR1,Macro_alveolar_metallothioneins,Macro_alv,Macro_dividing,Macro_int,Macro_CCL,Mast_cell,Megakaryocyte,Mesothelia,Macrophage_intermediate,Monocyte_CD14,Monocyte_CD16,Muscle_airway,Muscle_pericyte_airway,Muscle_pericyte_parenchyma,Muscle_perivascular_immune_recruiting,Muscle_smooth_pulmonary,Muscle_smooth_syst_arterial,Myoepithelial,NAF_endoneurial,NAF_perineurial,NK_CD16hi,NKT,NK_CD11d,NK_CD56bright,Neuroendocrine,SMG_Basal,SMG_Duct,SMG_Mucous,SMG_Serous,Schwann_Myelinating,Schwann_nonmyelinating,Secretory_Club,Secretory_Goblet,Suprabasal,T_reg,gdT,score_strict_proxy,score_broad_proxy,score_immune_total
e1,e,High-risk Tumor,4,16,25,1.5564088821411133,2.2521777153015137,0.15384235978126526,0.1499166339635849,0.4479110538959503,0.09012775123119354,0.2925287187099457,0.32494422793388367,0.16027922928333282,0.14791004359722137,0.2689291536808014,0.16158612072467804,0.23421820998191833,0.1852339208126068,0.21276423335075378,0.10857285559177399,2.0855040550231934,0.08444814383983612,0.10312185436487198,0.12076925486326218,0.06352438032627106,0.062216728925704956,0.04722750186920166,0.13468287885189056,0.060509443283081055,1.3366522789001465,0.9591010808944702,0.09447574615478516,0.05498684197664261,0.07176966965198517,0.3716358542442322,0.16261497139930725,1.2207353115081787,1.6740858554840088,0.08195652812719345,0.45127570629119873,0.04470355436205864,0.01770569197833538,0.11805536597967148,0.13199104368686676,0.16909833252429962,0.19688354432582855,0.1186555027961731,0.045891452580690384,0.06042350456118584,0.3080436587333679,0.11276685446500778,0.14822492003440857,0.06688764691352844,0.13581141829490662,0.027123866602778435,0.05560166388750076,0.04340888187289238,0.20876461267471313,0.10135522484779358,0.1525374799966812,0.08199092745780945,0.25453534722328186,0.09483059495687485,0.08093814551830292,0.18848320841789246,0.15507979691028595,0.03860727325081825,0.047764502465724945,0.16736015677452087,0.19932585954666138,0.16392897069454193,0.16198313236236572,0.03308098390698433,0.10510049760341644,1.3601711988449097,0.43345746397972107,0.9818578958511353,0.07579469680786133,0.06794631481170654,0.06710045784711838,0.4294803738594055,0.27682676911354065,0.14842675626277924,0.14782972633838654,0.5068546086549759,3.03585909307003,5.700236584991217
e2,e,High-risk Tumor,5,20,36,1.3735181093215942,1.7541755437850952,0.13737140595912933,0.15616962313652039,0.4170700013637543,0.03725571557879448,0.1384623497724533,0.5314671397209167,0.1640470325946808,0.1595984399318695,0.21090015769004822,0.16553689539432526,0.20676758885383606,0.18512821197509766,0.23839540779590607,0.10190682113170624,3.638420581817627,0.07687600702047348,0.09906003624200821,0.11446388065814972,0.06884516775608063,0.13501976430416107,0.04708235710859299,0.1339416801929474,0.055179763585329056,1.2158478498458862,0.8862031698226929,0.12338491529226303,0.08617721498012543,0.07885564863681793,0.405952125787735,0.1487504243850708,0.8706766963005066,1.4218199253082275,0.07741515338420868,0.2641487717628479,0.0571630485355854,0.05530093237757683,0.12151080369949341,0.24141982197761536,0.15922504663467407,0.1579570323228836,0.09701509773731232,0.04604419320821762,0.050487272441387177,0.25104182958602905,0.09105312824249268,0.10258306562900543,0.05837179347872734,0.1263386309146881,0.03796061500906944,0.03935898467898369,0.039450645446777344,0.15982948243618011,0.0886065661907196,0.7298299670219421,0.06924326717853546,0.22971272468566895,0.10198980569839478,0.4133846163749695,0.8991489410400391,0.24097570776939392,0.07611218839883804,0.11114461719989777,0.1761939823627472,0.18213529884815216,0.18388399481773376,0.1837538778781891,0.04485003277659416,0.1627185195684433,1.7747361660003662,0.5800914764404297,1.3048889636993408,0.12359954416751862,0.09119711071252823,0.0799010694026947,0.6707206964492798,0.4206153452396393,0.15402157604694366,0.14768439531326294,0.7124911770224571,2.8872820660471916,5.153135634958744
e3,e,High-risk Tumor,4,16,28,1.0093475580215454,1.6711173057556152,0.13886192440986633,0.1304464340209961,0.43900924921035767,0.11736083775758743,0.33930885791778564,0.26877230405807495,0.13926930725574493,0.13134810328483582,0.2750324010848999,0.1400337815284729,0.19028547406196594,0.15319733321666718,0.17255139350891113,0.13429702818393707,2.156712293624878,0.07391084730625153,0.08270206302404404,0.09588375687599182,0.056439951062202454,0.07334732264280319,0.033560752868652344,0.08335098624229431,0.06924517452716827,0.8837392926216125,0.6433858275413513,0.08804046362638474,0.08737509697675705,0.0748770609498024,0.46449941396713257,0.12804219126701355,1.578320026397705,1.0916740894317627,0.09344229847192764,0.6147840619087219,0.0512525700032711,0.049920063465833664,0.10640063881874084,0.10875821858644485,0.1413021832704544,0.15638503432273865,0.09271395206451416,0.041678287088871,0.05813722312450409,0.22969995439052582,0.0859113335609436,0.13990432024002075,0.054945021867752075,0.1268232762813568,0.026152046397328377,0.0640062615275383,0.04118375480175018,0.17128333449363708,0.09054101258516312,0.38886114954948425,0.1062382161617279,0.18198461830615997,0.10621142387390137,0.2255336195230484,0.47434061765670776,0.16634084284305573,0.0435362346470356,0.05985686928033829,0.14139363169670105,0.16936829686164856,0.1412634551525116,0.13884291052818298,0.03628401830792427,0.08496241271495819,1.3115092515945435,0.41016992926597595,1.1692382097244263,0.0816541239619255,0.0683528333902359,0.05682888627052307,0.4086747467517853,0.23745308816432953,0.1253710687160492,0.13012604415416718,0.3856840431690216,2.2942544370889664,5.058916449546814
e4,e,High-risk Tumor,3,12,24,1.0926610231399536,1.5777591466903687,0.1204526349902153,0.11932405829429626,0.45723262429237366,0.04501360282301903,0.24499690532684326,0.18960577249526978,0.12864120304584503,0.12464284151792526,0.20359791815280914,0.12780101597309113,0.18442803621292114,0.13970987498760223,0.15998594462871552,0.13609299063682556,1.3956924676895142,0.06065352261066437,0.06899763643741608,0.08392450958490372,0.04997558519244194,0.045786891132593155,0.029730448499321938,0.11223673820495605,0.06366921216249466,0.9970086216926575,0.7356975674629211,0.10534894466400146,0.07082512974739075,0.07425202429294586,0.4380607604980469,0.12546385824680328,1.2449513673782349,1.2264450788497925,0.09101235121488571,0.3763566017150879,0.04989486560225487,0.05660456418991089,0.09824415296316147,0.07971325516700745,0.13032931089401245,0.15202155709266663,0.08439907431602478,0.03503059223294258,0.05253561958670616,0.20967525243759155,0.07452252507209778,0.10287047177553177,0.04999999329447746,0.09787150472402573,0.025309855118393898,0.05822082236409187,0.03662742301821709,0.1490812748670578,0.08141163736581802,0.5672245621681213,0.08353451639413834,0.203033447265625,0.11068683862686157,0.3517027199268341,0.7891771197319031,0.23601269721984863,0.06724418699741364,0.09644965082406998,0.14133243262767792,0.16385139524936676,0.13662414252758026,0.12281739711761475,0.035622742027044296,0.10491121560335159,1.820449948310852,0.46531692147254944,1.3512868881225586,0.10429505258798599,0.07766211777925491,0.023908039554953575,0.22413241863250732,0.17655272781848907,0.11917535215616226,0.12269709259271622,0.33157295919954777,2.0858848337084055,4.4804961159825325
e5,e,High-risk Tumor,3,12,21,0.6547476649284363,1.1967427730560303,0.11561175435781479,0.1057623103260994,0.5093762874603271,0.12347331643104553,0.2959847152233124,0.22833722829818726,0.11361625045537949,0.10947703570127487,0.23664666712284088,0.11295171827077866,0.15521949529647827,0.11882267147302628,0.12730607390403748,0.15267343819141388,1.1804248094558716,0.05725486949086189,0.05707596614956856,0.06976509839296341,0.04503917694091797,0.04795238748192787,0.02337498962879181,0.0849732831120491,0.07538288086652756,0.6590262055397034,0.49850475788116455,0.07789045572280884,0.05660633742809296,0.07728645205497742,0.492895245552063,0.09462574869394302,1.6079179048538208,0.7913244366645813,0.10079008340835571,0.5606720447540283,0.04910370707511902,0.05853479728102684,0.09007316827774048,0.059720221906900406,0.11433329433202744,0.12432938814163208,0.07030712068080902,0.03373647481203079,0.05262845382094383,0.17663489282131195,0.06335049867630005,0.1160125732421875,0.04372064769268036,0.10041279345750809,0.022519992664456367,0.06438934057950974,0.03655162826180458,0.13735882937908173,0.07672537118196487,0.48709598183631897,0.11398383975028992,0.14708192646503448,0.11815815418958664,0.26222413778305054,0.5676241517066956,0.19728480279445648,0.056591328233480453,0.08268097788095474,0.11737551540136337,0.14273212850093842,0.11447805911302567,0.10497894138097763,0.03356614336371422,0.07576784491539001,1.492632269859314,0.38038966059684753,1.2822316884994507,0.08671241998672485,0.07125687599182129,0.027872925624251366,0.23344898223876953,0.20882415771484375,0.10079049319028854,0.11020006984472275,0.33668550103902817,1.7422524318099022,4.280113749206066
e6,e,High-risk Tumor,3,12,21,1.1985963582992554,1.8774453401565552,0.14652509987354279,0.13317616283893585,0.2754897177219391,0.08007866889238358,0.2326064556837082,0.24201460182666779,0.14473672211170197,0.13166144490242004,0.26289689540863037,0.14502964913845062,0.2143305540084839,0.1644384115934372,0.18467210233211517,0.2591682970523834,1.7411149740219116,0.07630100846290588,0.0861494317650795,0.10789743065834045,0.05686730146408081,0.07337718456983566,0.03743268549442291,0.05198085680603981,0.06198480725288391,1.0895408391952515,0.8052118420600891,0.10155028849840164,0.057957977056503296,0.07456601411104202,0.34821024537086487,0.1538626104593277,1.0194716453552246,1.4713884592056274,0.07163169234991074,0.4383162558078766,0.0511171780526638,0.0429341159760952,0.10789128392934799,0.09057986736297607,0.15360566973686218,0.16370253264904022,0.1038808599114418,0.03621567413210869,0.052239492535591125,0.26570430397987366,0.0981874093413353,0.12662936747074127,0.06016818806529045,0.12985044717788696,0.02695123851299286,0.046026114374399185,0.039402496069669724,0.19404356181621552,0.09294768422842026,0.4298865497112274,0.07700138539075851,0.2254112958908081,0.08393778651952744,0.24681562185287476,0.49190786480903625,0.1572551280260086,0.04858003929257393,0.07487896829843521,0.14638304710388184,0.18127334117889404,0.14020945131778717,0.13995856046676636,0.03204604983329773,0.04994859918951988,0.9741516709327698,0.3220650851726532,0.9274440407752991,0.07498861104249954,0.06273054331541061,0.03538369759917259,0.2329893559217453,0.23561394214630127,0.1330426186323166,0.13436861336231232,0.3314281441271305,2.444487426429987,4.942561659961939
e7,e,High-risk Tumor,4,16,30,0.9895312190055847,1.6493840217590332,0.140552818775177,0.14199642837047577,0.6478492021560669,0.09900856018066406,0.28618770837783813,0.342949777841568,0.1533324420452118,0.145939901471138,0.24272358417510986,0.15412288904190063,0.19817250967025757,0.16711635887622833,0.1891472339630127,0.18256838619709015,2.3227241039276123,0.07587261497974396,0.0844351276755333,0.10024330765008926,0.06367214024066925,0.09087549895048141,0.03718269243836403,0.08400985598564148,0.06398209929466248,0.9132302403450012,0.6927813291549683,0.09483537077903748,0.061528366059064865,0.083145871758461,0.44701460003852844,0.12790007889270782,1.5860297679901123,1.1079832315444946,0.10892908275127411,0.5584194660186768,0.055351193994283676,0.05785728245973587,0.11903023719787598,0.13472425937652588,0.15240995585918427,0.16363440454006195,0.09203891456127167,0.04889670014381409,0.05899866297841072,0.2012118250131607,0.08150079101324081,0.1283176690340042,0.05812302976846695,0.1219552755355835,0.033560771495103836,0.06683525443077087,0.044772084802389145,0.1645095944404602,0.09358493983745575,0.4783625900745392,0.10250827670097351,0.20271386206150055,0.12254870682954788,0.27796465158462524,0.5700726509094238,0.23855060338974,0.0629279837012291,0.07835886627435684,0.162013441324234,0.18008437752723694,0.16441412270069122,0.15802210569381714,0.04670075327157974,0.12552125751972198,1.988095760345459,0.4923417568206787,1.603194236755371,0.12089242041110992,0.09782110899686813,0.05609079822897911,0.4769675135612488,0.2965644896030426,0.13709668815135956,0.14534547924995422,0.4641423262655735,2.4100908376276493,5.3663331270217896
e8,e,High-risk Tumor,4,16,25,1.3654663562774658,1.9654849767684937,0.14369067549705505,0.13904090225696564,0.39928171038627625,0.0823807641863823,0.3175349235534668,0.2461482286453247,0.15154005587100983,0.13942214846611023,0.2636924386024475,0.15306131541728973,0.21200862526893616,0.1715751737356186,0.19012413918972015,0.12779441475868225,2.077099084854126,0.07716520130634308,0.09040272980928421,0.10793363302946091,0.06048979610204697,0.06578399240970612,0.038920361548662186,0.10005751252174377,0.06373497098684311,1.1405305862426758,0.8205088376998901,0.08661158382892609,0.060652583837509155,0.07655076682567596,0.4000999927520752,0.14289700984954834,1.4602512121200562,1.4493353366851807,0.09264226257801056,0.5965505838394165,0.05085782706737518,0.03681288659572601,0.1140279546380043,0.10627789795398712,0.15753568708896637,0.16862495243549347,0.10411421209573746,0.04551616311073303,0.05839373171329498,0.24004851281642914,0.09722180664539337,0.14101554453372955,0.061385706067085266,0.1291036605834961,0.027271686121821404,0.06439916044473648,0.04311858117580414,0.18555329740047455,0.09605227410793304,0.2362273782491684,0.09347827732563019,0.2289814054965973,0.0995582789182663,0.13650880753993988,0.2729591727256775,0.17711617052555084,0.035936761647462845,0.03868519887328148,0.15647800266742706,0.18521898984909058,0.15462160110473633,0.15154722332954407,0.03636586666107178,0.10440526902675629,1.5285658836364746,0.45724523067474365,1.1455076932907104,0.08264114707708359,0.05654975399374962,0.055806368589401245,0.3718785345554352,0.2280164361000061,0.13615256547927856,0.14148357510566711,0.38512610271573067,2.5786275155842304,5.266558274626732
e9,e,High-risk Tumor,4,16,30,1.7687500715255737,2.5364973545074463,0.18018750846385956,0.1768971085548401,0.5479174852371216,0.07372112572193146,0.3168187737464905,0.32738450169563293,0.1893807053565979,0.17727932333946228,0.3015577793121338,0.19084884226322174,0.2766362130641937,0.21749208867549896,0.25236329436302185,0.15962038934230804,2.5375442504882812,0.10049940645694733,0.11982594430446625,0.141029492020607,0.0757240355014801,0.08640407025814056,0.052932120859622955,0.14712010324001312,0.0707022100687027,1.5053244829177856,1.090080738067627,0.1278247982263565,0.08316586911678314,0.08963872492313385,0.48652052879333496,0.19596531987190247,1.1893430948257446,1.8897408246994019,0.09675662964582443,0.44801244139671326,0.056406278163194656,0.031179135665297508,0.1409282088279724,0.15253104269504547,0.19874310493469238,0.21831196546554565,0.13656531274318695,0.05404586344957352,0.07008230686187744,0.3514776825904846,0.1306162029504776,0.15421922504901886,0.07864290475845337,0.15830421447753906,0.03566623106598854,0.0617547370493412,0.051372721791267395,0.23517556488513947,0.11845337599515915,0.37083855271339417,0.09302012622356415,0.295892596244812,0.11630863696336746,0.22742000222206116,0.4574918746948242,0.22763694822788239,0.056102655827999115,0.07602131366729736,0.20274189114570618,0.23641957342624664,0.19857655465602875,0.19207584857940674,0.04219204559922218,0.11731892824172974,1.7843873500823975,0.522634744644165,1.3783150911331177,0.11288149654865265,0.08661533892154694,0.06575914472341537,0.4592968821525574,0.2965872883796692,0.17737317085266113,0.17604699730873108,0.527436725795269,3.3605213686823845,6.6183518171310425
e10,e,High-risk Tumor,6,24,40,1.2636692523956299,1.8220902681350708,0.13869962096214294,0.16119658946990967,0.4460546672344208,0.04866630956530571,0.1580607146024704,0.6708157062530518,0.1627124398946762,0.1595032960176468,0.21011202037334442,0.1657143384218216,0.19836686551570892,0.1878698468208313,0.2513676583766937,0.09342167526483536,4.535463333129883,0.08199875801801682,0.1095796525478363,0.12136582285165787,0.07072898000478745,0.1489458829164505,0.052745986729860306,0.12077078223228455,0.04493066295981407,1.1094297170639038,0.8091087341308594,0.10673286765813828,0.09569384902715683,0.06900547444820404,0.39323732256889343,0.14460904896259308,0.8183725476264954,1.268283724784851,0.06596697121858597,0.2695290446281433,0.04987523332238197,0.060148801654577255,0.11867722868919373,0.3002072870731354,0.15714722871780396,0.15790091454982758,0.09585762768983841,0.04638839140534401,0.04680423066020012,0.25761091709136963,0.08953236788511276,0.09889937192201614,0.05737653747200966,0.12987414002418518,0.037396062165498734,0.035349830985069275,0.03699702396988869,0.1538100391626358,0.08536255359649658,0.5508085489273071,0.06352339684963226,0.20489297807216644,0.08870872110128403,0.3054765462875366,0.6968039870262146,0.18043310940265656,0.06268686801195145,0.0893734022974968,0.1711704581975937,0.17421065270900726,0.18523694574832916,0.19368676841259003,0.04049726203083992,0.15003620088100433,1.4582996368408203,0.5316758751869202,1.2263298034667969,0.09853824228048325,0.078330859541893,0.11197853088378906,0.8654388785362244,0.5405539870262146,0.1546841859817505,0.14237241446971893,0.8443324752151966,3.206976730376482,5.225597579032183
