protein_marker,hist2cell_type,predicted_direction,observed_direction,matches_hypothesis,delta,p,p_bh
KIF20A / KIF22 / INCENP (mitosis),Dividing_AT2,e>f,e>f,True,0.012933493219316007,0.0031964880119685845,0.008472010757884119
KIF20A / KIF22 / INCENP (mitosis),Dividing_Basal,e>f,e>f,True,0.06511138088237017,0.00022849842810712263,0.008151786614276946
KIF20A / KIF22 / INCENP (mitosis),Basal,e>f,e>f,True,0.1282584324861184,0.003706504706574302,0.008472010757884119
MYH11 / TAGLN (smooth muscle),Muscle_smooth_syst_arterial,e>f,e<f,False,-0.18021675439981322,0.01880710166283665,0.023147202046568185
MYH11 / TAGLN (smooth muscle),Muscle_smooth_pulmonary,e>f,e<f,False,-0.10049945796147375,0.0075447859428227045,0.011177460656033636
MYH11 / TAGLN (smooth muscle),Muscle_airway,e>f,e<f,False,-0.19947853195361603,0.004954365778050534,0.009436887196286731
(generic active Tumor),AT2,e>f,e>f,True,0.40518389206666217,0.016602337989206427,0.021422371598976035
(generic active Tumor),Suprabasal,e>f,e>f,True,0.11353029746275681,0.0031964880119685845,0.008472010757884119
