comparison,score,n_a,n_b,mean_a,mean_b,delta,U,p
Tumor (High-risk Tumor vs Low-risk Tumor),score_strict_proxy,13,15,0.47244971789992773,0.26614641131212313,0.2063033065878046,173.0,0.0005504953311901259
Tumor (High-risk Tumor vs Low-risk Tumor),score_broad_proxy,13,15,2.5534724871126504,1.828454990995427,0.7250174961172233,163.0,0.00275122798231847
Tumor (High-risk Tumor vs Low-risk Tumor),score_immune_total,13,15,5.220155331091239,4.059821827088793,1.1603335040024456,172.0,0.000652408184556037
T-cell (High-risk T-cell vs Low-risk T-cell),score_strict_proxy,7,8,0.44957117177546024,0.2446776227443479,0.20489354903111234,45.0,0.054079254079254076
T-cell (High-risk T-cell vs Low-risk T-cell),score_broad_proxy,7,8,2.0560982192733457,2.0589173295884393,-0.0028191103150936314,29.0,0.9550893550893552
T-cell (High-risk T-cell vs Low-risk T-cell),score_immune_total,7,8,3.6017398639981235,4.306687234900892,-0.7049473709027683,15.0,0.151981351981352
