slide,rep,dim,knn_purity_k10
4245-BS1,prediction_log1p,80,0.6122
4245-TS1,prediction_log1p,80,0.6438
4390-BS1,prediction_log1p,80,0.7319
4245-BS1,dino768,768,0.3728
4245-TS1,dino768,768,0.4519
4390-BS1,dino768,768,0.5091
4245-BS1,dino19_pca,19,0.3609
4245-TS1,dino19_pca,19,0.4338
4390-BS1,dino19_pca,19,0.487
4245-BS1,dino19_imp,19,0.3526
4245-TS1,dino19_imp,19,0.4304
4390-BS1,dino19_imp,19,0.486
4245-BS1,hex19,19,0.36
4245-TS1,hex19,19,0.4242
4390-BS1,hex19,19,0.477
4245-BS1,dino19pca+hex19,38,0.381
4245-TS1,dino19pca+hex19,38,0.4487
4390-BS1,dino19pca+hex19,38,0.4982
4245-BS1,dino19imp+hex19,38,0.3791
4245-TS1,dino19imp+hex19,38,0.4419
4390-BS1,dino19imp+hex19,38,0.4965
