cell_type,mean,median,max,fraction_nonzero
AT2,1.4151279926300049,1.3197585344314575,6.129952430725098,0.9953180438201836
Fibro_alveolar,1.119978427886963,1.029773235321045,5.426319122314453,0.995244888254874
Ciliated,1.0976823568344116,0.522588849067688,20.74435806274414,0.9715790628772084
AT1,0.9406951069831848,0.8381479978561401,4.627974987030029,0.9917334211200117
Endothelia_vascular_Cap_a,0.7874792814254761,0.7088534832000732,3.556356430053711,0.9950254215589451
Muscle_smooth_syst_arterial,0.6624460220336914,0.39295944571495056,14.196965217590332,0.9132009217601229
Fibro_adventitial,0.5834783315658569,0.38611653447151184,3.7451884746551514,0.9788214638428618
Endothelia_vascular_Cap_g,0.5501499176025391,0.48708319664001465,2.5248701572418213,0.9919163100332857
Muscle_airway,0.5124956965446472,0.3015919327735901,10.431939125061035,0.9459014594535279
Macro_alv,0.3836897313594818,0.25712043046951294,3.287632942199707,0.9516807491129887
SMG_Duct,0.3506069481372833,0.07906444370746613,4.6946611404418945,0.7413950766304547
SMG_Serous,0.3184327781200409,0.10133956372737885,4.024551868438721,0.8731848275357548
Muscle_smooth_pulmonary,0.3105565309524536,0.1658552587032318,7.166327476501465,0.926844434690369
Endothelia_vascular_venous_systemic,0.23859108984470367,0.19223652780056,2.309493064880371,0.9874903983320531
Fibro_myofibroblast,0.22506731748580933,0.1166519820690155,2.2838423252105713,0.8740992721021251
CD4_naive_CM,0.2146565169095993,0.20577535033226013,0.8280643820762634,0.9977321774754014
Macro_CHIT1,0.20646905899047852,0.14971046149730682,1.7123448848724365,0.9347086579611544
Secretory_Goblet,0.17650923132896423,0.05596696585416794,5.1560893058776855,0.7648048575295365
CD8_EM_EMRA,0.15011197328567505,0.1415165215730667,0.5695863962173462,0.9977687552580563
Muscle_pericyte_parenchyma,0.1422637552022934,0.12372713536024094,0.7001570463180542,0.9953546216028384
Suprabasal,0.14007017016410828,0.0606430284678936,3.4384891986846924,0.8371191338381068
Monocyte_CD14,0.13927903771400452,0.1318332701921463,0.5482993125915527,0.9909287099016058
B_plasmablast,0.13438168168067932,0.08244407922029495,1.1059268712997437,0.7684992135776729
Basal,0.13075506687164307,0.060930535197257996,2.9441161155700684,0.8962288306082885
CD8_TRM,0.12504443526268005,0.11193937063217163,0.6697929501533508,0.9999634222173451
NKT,0.12212185561656952,0.11452580988407135,0.4535132944583893,0.9989026665203555
Erythrocyte,0.11639463901519775,0.10902681946754456,0.4495623707771301,0.9935988880354073
SMG_Mucous,0.11529358476400375,0.03125181421637535,1.7850104570388794,0.690588536522916
CD8_TRM_EM,0.11270614713430405,0.10473190248012543,0.46141868829727173,0.9996342221734519
B_memory,0.10883378982543945,0.1061813235282898,0.34870946407318115,0.999597644390797
MAIT,0.10612117499113083,0.09980788081884384,0.39748144149780273,0.9992318665642489
Macro_dividing,0.1054779663681984,0.08351506292819977,0.6921816468238831,0.9505834156333443
Macro_int,0.10216052085161209,0.09659834206104279,0.3976520299911499,0.9663484399575698
CD4_EM_Effector,0.09847468882799149,0.09101778268814087,0.3701379895210266,0.9998536888693808
