group,n_celltypes,mean_per_spot,max_per_spot,fraction_spots_nonzero,sum_total
Epithelial-airway,14,2.5905239582061768,35.91860580444336,1.0,70822.3359375
Epithelial-alveolar,3,2.378690719604492,10.774429321289062,0.9987563553897363,65031.02734375
Immune-lymphoid,20,2.1325435638427734,7.488365173339844,1.0,58301.60546875
Stromal-fibroblast,6,2.025003433227539,8.031655311584473,1.0,55361.5703125
Vascular,7,1.7832285165786743,7.024773120880127,1.0,48751.68359375
Cancer-proxy (proliferative epithelial),5,1.7302234172821045,7.744308948516846,1.0,47302.578125
Stromal-muscle,6,1.7129830121994019,30.340770721435547,1.0,46831.2421875
Immune-myeloid,16,1.526055097579956,6.566411972045898,0.9997805333040711,41720.8203125
Stromal-other,4,0.19575722515583038,1.3771181106567383,0.9969640440396503,5351.806640625
Other-blood,2,0.12939786911010742,0.4903104305267334,0.998792933172391,3537.6083984375
Neural,2,0.069684237241745,0.8655836582183838,0.7968104173525001,1905.097412109375
