rep,4245-BS1,4245-TS1,4390-BS1
prediction_log1p,0.7184,0.6779,0.709
dino768,0.4664,0.3953,0.3648
dino19_pca,0.4462,0.3838,0.3435
dino19_imp,0.4353,0.3641,0.3336
hex19,0.4425,0.427,0.3983
dino19pca+hex19,0.4592,0.4233,0.382
dino19imp+hex19,0.4471,0.4179,0.3814
